child_prime,lag,model,mean_cross_entropy_bits,gain_vs_marginal_bits,min_fold_gain_vs_marginal_bits,mean_active_states,declared_state_count
7,1,left_gap,3.159357480153823,0.27411857722421873,-1.4288432988038746,3.0,3
7,1,right_gap,3.159357480153823,0.27411857722421873,-1.4288432988038746,3.0,3
7,1,ordered_pair,3.2999180862090913,0.1335579711689503,-1.4288432988038746,5.5,9
7,1,marginal,3.4334760573780416,0.0,0.0,1.0,1
7,1,pair_plus_gate,3.584962500721156,-0.15148644334311445,-1.2064508774674265,7.0,63
7,1,merged_sum,3.5923993365696694,-0.15892327919162774,-1.7914133781885826,3.0,3
7,1,gate_branch,3.640560606055268,-0.20708454867722637,-1.4288432988038746,6.25,7
7,2,right_gap,3.159357480153823,0.2741185772242192,-1.4288432988038746,3.0,3
7,2,gate_branch,3.244319980874979,0.1891560765030631,-1.2064508774674265,6.25,7
7,2,marginal,3.433476057378042,0.0,0.0,1.0,1
7,2,pair_plus_gate,3.584962500721156,-0.151486443343114,-1.2064508774674265,7.0,63
7,2,merged_sum,3.5923993365696694,-0.1589232791916273,-1.7914133781885826,3.0,3
7,2,ordered_pair,3.69615871138938,-0.26268265401133783,-1.4288432988038746,5.5,9
7,2,left_gap,3.951838730514401,-0.5183626731363589,-1.6214883767462704,3.0,3
11,1,right_gap,2.1087476006750228,0.9575130129778091,0.4852546818212726,5.0,5
11,1,ordered_pair,2.4092741743109287,0.6569864393419032,-0.13816651330072593,12.5,25
11,1,left_gap,2.734025293880425,0.33223531977240706,-0.18349171301846923,5.0,5
11,1,merged_sum,2.7911070179228155,0.2751535957300164,-0.37156691887638216,5.0,5
11,1,marginal,3.066260613652832,0.0,0.0,1.0,1
11,1,pair_plus_gate,3.4424402934651233,-0.3761796798122914,-0.7860339024802823,37.5,275
11,1,gate_branch,3.6139787491320896,-0.5477181354792577,-1.1383485597190997,11.0,11
11,2,right_gap,2.8241909495100557,0.31563361190790085,-0.6298419875523549,5.0,5
11,2,merged_sum,3.0444018236020285,0.09542273781592803,-1.2467224984298628,5.0,5
11,2,marginal,3.1398245614179565,0.0,0.0,1.0,1
11,2,ordered_pair,3.163739661602161,-0.02391510018420462,-1.023379988415368,12.5,25
11,2,left_gap,3.4543118676675846,-0.31448730624962806,-1.084734055895077,5.0,5
11,2,pair_plus_gate,3.6405606060552684,-0.5007360446373119,-1.0853437830169113,37.5,275
11,2,gate_branch,3.680018853328805,-0.5401942919108484,-1.1648948525929002,11.0,11
13,1,ordered_pair,1.6074951002739966,1.3693548657570764,1.2381507568012298,26.25,49
13,1,right_gap,1.670569491698628,1.306280474332445,1.1523197500441245,7.0,7
13,1,merged_sum,2.460297187995521,0.5165527780355519,0.39419016332816526,8.0,8
13,1,left_gap,2.5466987669445613,0.43015119908651167,0.2977257517917393,7.0,7
13,1,pair_plus_gate,2.8823657324627283,0.09448423356834468,0.013944077763026641,179.0,637
13,1,marginal,2.976849966031073,0.0,0.0,1.0,1
13,1,gate_branch,3.237303425859593,-0.2604534598285202,-0.36288013807262587,13.0,13
13,2,ordered_pair,2.4664708493572003,0.5097443908849071,0.39374318002049513,26.25,49
13,2,right_gap,2.5444123658313504,0.43180287441075693,0.3339005119538929,7.0,7
13,2,merged_sum,2.7249625933780286,0.2512526468640788,0.1338714395246261,8.0,8
13,2,left_gap,2.9519742220808545,0.024241018161252903,-0.11815951114838397,7.0,7
13,2,marginal,2.9762152402421074,0.0,0.0,1.0,1
13,2,gate_branch,3.2497950958720816,-0.2735798556299742,-0.4016233473067654,13.0,13
13,2,pair_plus_gate,3.5288393164527423,-0.5526240762106349,-0.769475064695837,179.0,637
17,1,ordered_pair,1.4819456807528448,1.5641923804322229,1.5461128191508502,47.75,100
17,1,right_gap,1.6877241399037928,1.358413921281275,1.3429160283298474,10.0,10
17,1,pair_plus_gate,1.933004962566538,1.1131330986185297,1.0886439864393798,503.25,1700
17,1,merged_sum,2.4823185226890976,0.5638195384959701,0.5467030728198163,11.0,11
17,1,left_gap,2.6365501907672564,0.4095878704178113,0.3893867010191614,10.0,10
17,1,marginal,3.0461380611850677,0.0,0.0,1.0,1
17,1,gate_branch,3.0698044629806835,-0.023666401795615855,-0.0359431333718625,17.0,17
17,2,ordered_pair,2.4242144422820378,0.621939468016588,0.5903994125278995,47.75,100
17,2,right_gap,2.6366149492718516,0.4095389610267741,0.3884840724834908,10.0,10
17,2,merged_sum,2.760410379086534,0.28574353121209173,0.2650041922893758,11.0,11
17,2,pair_plus_gate,2.8093374510258884,0.2368164592727373,0.2127577026593941,503.25,1700
17,2,left_gap,2.9648715562292858,0.08128235406933992,0.06340513784274693,10.0,10
17,2,marginal,3.0461539102986257,0.0,0.0,1.0,1
17,2,gate_branch,3.0717994590464417,-0.025645548747815994,-0.03312318701562189,17.0,17
19,1,ordered_pair,1.5494995264960367,1.5487483961729505,1.545244215030078,75.5,169
19,1,pair_plus_gate,1.6223348334106378,1.4759130892583494,1.4720080293028193,1060.25,3211
19,1,right_gap,1.7712452942238959,1.3270026284450913,1.3250919980126727,13.0,13
19,1,merged_sum,2.5667751787595425,0.5314727439094447,0.5298446775059253,14.0,14
19,1,left_gap,2.7510031158595196,0.34724480680946757,0.3446208004469349,13.0,13
19,1,marginal,3.098247922668987,0.0,0.0,1.0,1
19,1,gate_branch,3.0993153432707548,-0.0010674206017675658,-0.001377098548844824,19.0,19
19,2,ordered_pair,2.5341211811046334,0.5641268510418493,0.5579964370917314,75.5,169
19,2,pair_plus_gate,2.6008608667948003,0.49738716535168237,0.4888440744188438,1060.25,3211
19,2,right_gap,2.751001970219627,0.3472460619268558,0.34475636212957506,13.0,13
19,2,merged_sum,2.842203560538211,0.2560444716082717,0.2534264084661997,14.0,14
19,2,left_gap,3.0316006665755038,0.06664736557097894,0.06254292706590814,13.0,13
