child_prime,lag,event_count,pair_gain_beyond_best_single_bits,pair_min_fold_gain_beyond_best_single_bits,gate_increment_beyond_pair_or_gate_bits,gate_min_fold_increment_bits,pair_null_mean_bits,pair_null_max_bits,pair_exceeds_all_target_permutations,pair_null_p_upper,gate_null_mean_bits,gate_null_max_bits,gate_exceeds_all_target_permutations,gate_null_p_upper
7,1,8,-0.14056060605526843,-1.3923174227787602,-0.28504441451206475,-1.362570079384708,,,,,,,,
7,2,8,-0.536801231235557,-1.3923174227787602,-0.3406425198461771,-1.362570079384708,-0.19297067649891014,0.2556800191250206,False,1.0,-0.054327563701200315,0.055598105334111914,False,1.0
11,1,48,-0.30052657363590596,-0.9357166459274533,-1.0331661191541945,-1.8170341186454146,,,,,,,,
11,2,48,-0.33954871209210546,-1.3942396476300685,-0.4768209444531073,-1.5679927300271244,-0.23152198252870987,-0.05010909687631582,False,0.8235294117647058,-0.21656077644207755,-0.05863330240675557,False,1.0
13,1,480,0.06307439142463145,-0.009831540954865048,-1.2748706321887318,-1.5729744303175976,,,,,,,,
13,2,480,0.07794151647415015,0.03538045395878653,-1.062368467095542,-1.2765640731637848,-0.13802011015431426,-0.0749395318137851,True,0.058823529411764705,-0.3654051241000017,-0.2680507632491609,False,1.0
17,1,5760,0.20577845915094795,0.19190002183667754,-0.45105928181369315,-0.4632279700251498,,,,,,,,
17,2,5760,0.21240050698981383,0.19884220326707558,-0.38512300874385064,-0.4076125582101602,-0.03307761944445789,-0.029795539907231827,True,0.058823529411764705,-0.2738715355558373,-0.25043304143737366,False,1.0
19,1,92160,0.22174576772785914,0.2198556258310822,-0.07283530691460105,-0.07571111745520032,,,,,,,,
19,2,92160,0.21688078911499353,0.21324007496215636,-0.06673968569016697,-0.070015059872087,-0.004429976229783833,-0.003960286697643145,True,0.058823529411764705,-0.05839208797969839,-0.056333156656379835,False,1.0
23,1,1658880,0.2089533620787447,0.2087881582949105,-0.008523040495814982,-0.008860773528745147,,,,,,,,
23,2,1658880,0.1897650555601822,0.18913326736738423,-0.007899369602387907,-0.008166564761915573,-0.00039893619716532824,-0.00035643097511073307,True,0.058823529411764705,-0.007771774001293724,-0.007631577565686332,False,0.8823529411764706
