anchor,event_index,gate,old_candidate,old_delta,new_candidate,new_delta,candidate_shift,lower_child_after_gate,lower_delta_after_gate,upper_child_after_gate,gates_crossed_this_event,silent_gates_before_event,processed_nonbase_gate_count,cohort
100000000,1,17,100000001,1,100000003,3,2,99999997,3,100000003,5,4,5,scale
100000000,2,643,100000003,3,100000007,7,4,99999997,3,100000007,110,109,115,scale
1000000000,1,23,1000000003,3,1000000007,7,4,999999997,3,1000000007,7,6,7,scale
10000000000,1,101,10000000001,1,10000000009,9,8,9999999983,17,10000000009,24,23,24,scale
10000000000,2,33889,10000000009,9,10000000019,19,10,9999999967,33,10000000019,3603,3602,3627,scale
100000000000,1,11,100000000001,1,100000000003,3,2,99999999997,3,100000000003,3,2,3,scale
400000000000,1,59,400000000003,3,400000000009,9,6,399999999991,9,400000000009,15,14,15,scale
400000000000,2,379,400000000009,9,400000000013,13,4,399999999991,9,400000000013,58,57,73,scale
400000000000,3,36943,400000000013,13,400000000019,19,6,399999999991,9,400000000019,3844,3843,3917,scale
700000000000,1,41149,700000000001,1,700000000009,9,8,699999999989,11,700000000009,4304,4303,4304,scale
900000000000,1,634939,900000000001,1,900000000013,13,12,899999999981,19,900000000013,51713,51712,51713,scale
4000001229,1,23,4000001231,2,4000001233,4,2,4000001227,2,4000001233,7,6,7,sample
4000001229,2,29,4000001233,4,4000001237,8,4,4000001227,2,4000001237,1,0,8,sample
4000001229,3,67,4000001237,8,4000001249,20,12,4000001227,2,4000001249,9,8,17,sample
4000002564,1,5,4000002565,1,4000002569,5,4,4000002563,1,4000002569,2,1,2,sample
4000002564,2,19,4000002569,5,4000002571,7,2,4000002563,1,4000002571,4,3,6,sample
4000002564,3,31,4000002571,7,4000002577,13,6,4000002563,1,4000002577,3,2,9,sample
4000002564,4,67,4000002577,13,4000002581,17,4,4000002563,1,4000002581,8,7,17,sample
4000002564,5,4157,4000002581,17,4000002619,55,38,4000002553,11,4000002619,553,552,570,sample
4000002702,1,23,4000002703,1,4000002707,5,4,4000002701,1,4000002707,7,6,7,sample
4000002702,2,239,4000002707,5,4000002731,29,24,4000002701,1,4000002731,43,42,50,sample
4000002702,3,33181,4000002731,29,4000002737,35,6,4000002689,13,4000002737,3504,3503,3554,sample
4000002702,4,58991,4000002737,35,4000002751,49,14,4000002689,13,4000002751,2406,2405,5960,sample
4000003010,1,3,4000003011,1,4000003013,3,2,4000003009,1,4000003013,1,0,1,sample
4000003388,1,3,4000003389,1,4000003391,3,2,4000003387,1,4000003391,1,0,1,sample
4000003388,2,73,4000003391,3,4000003409,21,18,4000003387,1,4000003409,18,17,19,sample
4000003653,1,5,4000003655,2,4000003657,4,2,4000003649,4,4000003657,2,1,2,sample
4000003653,2,13,4000003657,4,4000003661,8,4,4000003649,4,4000003661,2,1,4,sample
4000003653,3,17,4000003661,8,4000003663,10,2,4000003649,4,4000003663,1,0,5,sample
4000003653,4,43,4000003663,10,4000003673,20,10,4000003649,4,4000003673,7,6,12,sample
4000003653,5,5281,4000003673,20,4000003699,46,26,4000003643,10,4000003699,687,686,699,sample
4000004655,1,11,4000004657,2,4000004663,8,6,4000004653,2,4000004663,3,2,3,sample
4000004878,1,13,4000004879,1,4000004881,3,2,4000004873,5,4000004881,4,3,4,sample
4000005341,1,19,4000005343,2,4000005349,8,6,4000005341,0,4000005349,6,5,6,sample
4000005341,2,9791,4000005349,8,4000005353,12,4,4000005329,12,4000005353,1200,1199,1206,sample
4000005341,3,18143,4000005353,12,4000005377,36,24,4000005329,12,4000005377,872,871,2078,sample
4000005730,1,37,4000005731,1,4000005743,13,12,4000005727,3,4000005743,10,9,10,sample
4000005730,2,2477,4000005743,13,4000005767,37,24,4000005719,11,4000005767,355,354,365,sample
4000006566,1,23,4000006567,1,4000006573,7,6,4000006561,5,4000006573,7,6,7,sample
4000006566,2,107,4000006573,7,4000006579,13,6,4000006561,5,4000006579,19,18,26,sample
4000006566,3,15973,4000006579,13,4000006583,17,4,4000006541,25,4000006583,1833,1832,1859,sample
4000007262,1,3,4000007265,3,4000007267,5,2,4000007261,1,4000007267,1,0,1,sample
4000007262,2,67,4000007267,5,4000007269,7,2,4000007261,1,4000007269,16,15,17,sample
4000007262,3,6883,4000007269,7,4000007279,17,10,4000007233,29,4000007279,867,866,884,sample
4000007262,4,55541,4000007279,17,4000007293,31,14,4000007233,29,4000007293,4750,4749,5634,sample
4000007534,1,3,4000007535,1,4000007537,3,2,4000007533,1,4000007537,1,0,1,sample
4000007534,2,17,4000007537,3,4000007549,15,12,4000007533,1,4000007549,4,3,5,sample
4000007534,3,509,4000007549,15,4000007551,17,2,4000007513,21,4000007551,90,89,95,sample
4000008170,1,3,4000008171,1,4000008175,5,4,4000008169,1,4000008175,1,0,1,sample
4000008170,2,5,4000008175,5,4000008179,9,4,4000008169,1,4000008179,1,0,2,sample
4000008170,3,47,4000008179,9,4000008191,21,12,4000008169,1,4000008191,11,10,13,sample
4000008170,4,59,4000008191,21,4000008197,27,6,4000008169,1,4000008197,2,1,15,sample
4000008178,1,47,4000008179,1,4000008191,13,12,4000008169,9,4000008191,13,12,13,sample
4000008178,2,59,4000008191,13,4000008197,19,6,4000008169,9,4000008197,2,1,15,sample
4000008668,1,3,4000008669,1,4000008671,3,2,4000008667,1,4000008671,1,0,1,sample
4000008970,1,1997,4000008973,3,4000008979,9,6,4000008967,3,4000008979,300,299,300,sample
4000009339,1,3,4000009341,2,4000009343,4,2,4000009339,0,4000009343,1,0,1,sample
4000009339,2,11,4000009343,4,4000009351,12,8,4000009339,0,4000009351,2,1,3,sample
4000009339,3,13,4000009351,12,4000009357,18,6,4000009339,0,4000009357,1,0,4,sample
4000009339,4,37,4000009357,18,4000009361,22,4,4000009337,2,4000009361,6,5,10,sample
4000009339,5,6379,4000009361,22,4000009367,28,6,4000009331,8,4000009367,820,819,830,sample
4000009355,1,37,4000009357,2,4000009361,6,4,4000009337,18,4000009361,10,9,10,sample
4000009355,2,6379,4000009361,6,4000009367,12,6,4000009331,24,4000009367,820,819,830,sample
4000009735,1,3,4000009737,2,4000009739,4,2,4000009735,0,4000009739,1,0,1,sample
4000009735,2,11,4000009739,4,4000009747,12,8,4000009733,2,4000009747,2,1,3,sample
4000009735,3,17,4000009747,12,4000009751,16,4,4000009733,2,4000009751,2,1,5,sample
4000009735,4,19,4000009751,16,4000009753,18,2,4000009733,2,4000009753,1,0,6,sample
4000009735,5,31223,4000009753,18,4000009771,36,18,4000009723,12,4000009771,3356,3355,3362,sample
4000009735,6,46441,4000009771,36,4000009837,102,66,4000009723,12,4000009837,1435,1434,4797,sample
4000009825,1,3,4000009827,2,4000009829,4,2,4000009823,2,4000009829,1,0,1,sample
4000009825,2,1279,4000009829,4,4000009837,12,8,4000009807,18,4000009837,204,203,205,sample
4000009986,1,599,4000009987,1,4000010009,23,22,4000009973,13,4000010009,107,106,107,sample
4000010320,1,19,4000010321,1,4000010323,3,2,4000010317,3,4000010323,6,5,6,sample
4000010320,2,521,4000010323,3,4000010327,7,4,4000010317,3,4000010327,90,89,96,sample
4000011238,1,199,4000011241,3,4000011263,25,22,4000011229,9,4000011263,44,43,44,sample
4000011238,2,823,4000011263,25,4000011269,31,6,4000011229,9,4000011269,97,96,141,sample
4000011238,3,941,4000011269,31,4000011289,51,20,4000011229,9,4000011289,17,16,158,sample
4000011869,1,31,4000011871,2,4000011877,8,6,4000011863,6,4000011877,9,8,9,sample
4000011869,2,1721,4000011877,8,4000011881,12,4,4000011863,6,4000011881,257,256,266,sample
4000012997,1,751,4000012999,2,4000013009,12,10,4000012997,0,4000013009,131,130,131,sample
4000013446,1,647,4000013447,1,4000013461,15,14,4000013429,17,4000013461,116,115,116,sample
4000013734,1,5,4000013735,1,4000013737,3,2,4000013729,5,4000013737,2,1,2,sample
