task,baseline_model,ara_model,block,start,end,events,baseline_loss_bits,ara_loss_bits,delta_bits
candidate,candidate_pnt29,ara_i3_b12_l64,0,100000000,100250000,39495,0.9298178144553447,0.9300479184633428,-0.00023010400799807555
candidate,candidate_pnt29,ara_i3_b12_l64,1,100250000,100500000,39476,0.9263785080979449,0.92663486157959,-0.00025635348164519727
candidate,candidate_pnt29,ara_i3_b12_l64,2,100500000,100750000,39495,0.9267445509244101,0.9268775163690561,-0.0001329654446460788
candidate,candidate_pnt29,ara_i3_b12_l64,3,100750000,101000000,39483,0.9284504414146552,0.9285875095723707,-0.00013706815771546407
candidate,candidate_pnt29,ara_i3_b12_l64,4,101000000,101250000,39485,0.9292386634561417,0.9294424957340456,-0.00020383227790386524
candidate,candidate_pnt29,ara_i3_b12_l64,5,101250000,101500000,39489,0.9291355035905945,0.9294152497817837,-0.0002797461911891718
candidate,candidate_pnt29,ara_i3_b12_l64,6,101500000,101750000,39486,0.9262000064588546,0.9265689770512069,-0.00036897059235224623
candidate,candidate_pnt29,ara_i3_b12_l64,7,101750000,102000000,39492,0.9293486064325108,0.9295896204568567,-0.00024101402434576887
candidate,candidate_pnt29,ara_i3_b12_l64,8,102000000,102250000,39481,0.9292729405813992,0.9294398729259095,-0.0001669323445103026
candidate,candidate_pnt29,ara_i3_b12_l64,9,102250000,102500000,39490,0.9299344874705647,0.9301233955633784,-0.0001889080928136789
candidate,candidate_pnt29,ara_i3_b12_l64,10,102500000,102750000,39482,0.927249899677316,0.927196893916502,5.300576081398086e-05
candidate,candidate_pnt29,ara_i3_b12_l64,11,102750000,103000000,39493,0.9272314100651987,0.9273252754618307,-9.386539663197781e-05
candidate,candidate_pnt29,ara_i3_b12_l64,12,103000000,103250000,39483,0.9265768071583326,0.9266498821150555,-7.307495672290553e-05
candidate,candidate_pnt29,ara_i3_b12_l64,13,103250000,103500000,39491,0.9297865485519401,0.9298133630376121,-2.681448567199593e-05
candidate,candidate_pnt29,ara_i3_b12_l64,14,103500000,103750000,39484,0.9262834050148969,0.9263110433776559,-2.7638362759005955e-05
candidate,candidate_pnt29,ara_i3_b12_l64,15,103750000,104000000,39490,0.9287040496438629,0.9290185996664468,-0.00031455002258398116
candidate,candidate_pnt29,ara_i3_b12_l64,16,104000000,104250000,39486,0.9304710829809907,0.9306301368552389,-0.0001590538742481806
candidate,candidate_pnt29,ara_i3_b12_l64,17,104250000,104500000,39486,0.9271688151933518,0.927440794556673,-0.00027197936332127583
candidate,candidate_pnt29,ara_i3_b12_l64,18,104500000,104750000,39486,0.9263842144882065,0.9265092863944817,-0.00012507190627517135
candidate,candidate_pnt29,ara_i3_b12_l64,19,104750000,105000000,39489,0.9273581338014746,0.9274895292938541,-0.0001313954923795594
candidate,candidate_pnt29,ara_i3_b12_l64,20,105000000,105250000,39483,0.9280254481137604,0.9282200832096131,-0.00019463509585265735
