number,theta_1_fraction,theta_13_fraction,orientation_1_13,phase_a_1_13,phase_b_1_13,tie_1_13,x_dynamic_1_13_fraction,x_dynamic_1_13_decimal,x_static_1_13_fraction,x_static_1_13_decimal,theta_3_fraction,theta_11_fraction,orientation_3_11,phase_a_3_11,phase_b_3_11,tie_3_11,x_dynamic_3_11_fraction,x_dynamic_3_11_decimal,x_static_3_11_fraction,x_static_3_11_decimal,theta_5_fraction,theta_9_fraction,orientation_5_9,phase_a_5_9,phase_b_5_9,tie_5_9,x_dynamic_5_9_fraction,x_dynamic_5_9_decimal,x_static_5_9_fraction,x_static_5_9_decimal,dynamic_rung_0_fraction,dynamic_rung_0_decimal,dynamic_epsilon_0_fraction,dynamic_epsilon_0_decimal,dynamic_rung_1_fraction,dynamic_rung_1_decimal,dynamic_rung_2_fraction,dynamic_rung_2_decimal,dynamic_ridge_distance_2_fraction,dynamic_ridge_distance_2_decimal,static_rung_0_fraction,static_rung_0_decimal,static_epsilon_0_fraction,static_epsilon_0_decimal,static_ridge_distance_2_fraction,static_ridge_distance_2_decimal,unresolved_by_declared_children
1001,0,0,tie,1,13,1,1,1,1,1,2/3,0,11->3,11,3,0,12/1007,0.0119165839126117,2002/1007,1.98808341608739,1/5,2/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,16196/21147,0.765876956542299,-4951/21147,-0.234123043457701,37343/42294,0.88293847827115,79637/84588,0.941469239135575,4951/84588,0.0585307608644252,10042/7049,1.42459923393389,2993/7049,0.424599233933891,2993/28196,0.106149808483473,0
1003,0,2/13,1->13,1,13,0,52/1029,0.0505344995140913,52/1029,0.0505344995140913,1/3,2/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,3/5,4/9,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,1228/3087,0.397797214123745,-1859/3087,-0.602202785876255,4315/6174,0.698898607061872,10489/12348,0.849449303530936,1859/12348,0.150550696469064,2992/3087,0.969225785552316,-95/3087,-0.0307742144476838,95/12348,0.00769355361192096,1
1005,0,4/13,1->13,1,13,0,52/1031,0.0504364694471387,52/1031,0.0504364694471387,0,4/11,3->11,3,11,0,44/1027,0.0428432327166504,44/1027,0.0428432327166504,0,2/3,5->9,5,9,0,12/341,0.0351906158357771,12/341,0.0351906158357771,46385932/1083190251,0.0428234393331888,-1036804319/1083190251,-0.957176560666811,1129576183/2166380502,0.521411719666594,3295956685/4332761004,0.760705859833297,1036804319/4332761004,0.239294140166703,46385932/1083190251,0.0428234393331888,-1036804319/1083190251,-0.957176560666811,1036804319/4332761004,0.239294140166703,0
1007,0,6/13,1->13,1,13,0,52/1033,0.0503388189738625,52/1033,0.0503388189738625,2/3,6/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,2/5,8/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,12760/21693,0.588208177753192,-8933/21693,-0.411791822246808,34453/43386,0.794104088876596,77839/86772,0.897052044438298,8933/86772,0.102947955561702,7008/7231,0.969160558705573,-223/7231,-0.0308394412944268,223/28924,0.00770986032360669,1
1009,0,8/13,1->13,1,13,0,52/1035,0.0502415458937198,52/1035,0.0502415458937198,1/3,8/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,4/5,1/9,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,16924/21735,0.778651943869335,-4811/21735,-0.221348056130665,38659/43470,0.889325971934668,82129/86940,0.944662985967334,4811/86940,0.0553370140326662,21064/21735,0.969128134345526,-671/21735,-0.0308718656544744,671/86940,0.00771796641361859,1
1011,0,10/13,1->13,1,13,0,52/1037,0.0501446480231437,52/1037,0.0501446480231437,0,10/11,3->11,3,11,0,44/1033,0.042594385285576,44/1033,0.042594385285576,1/5,1/3,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,10336397/22495641,0.459484439674335,-12159244/22495641,-0.540515560325665,16416019/22495641,0.729742219837168,19455830/22495641,0.864871109918584,3039811/22495641,0.135128890081416,10336397/22495641,0.459484439674335,-12159244/22495641,-0.540515560325665,3039811/22495641,0.135128890081416,0
1013,0,12/13,1->13,1,13,0,52/1039,0.0500481231953802,52/1039,0.0500481231953802,2/3,1/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,3/5,5/9,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,2892/7273,0.397635088684174,-4381/7273,-0.602364911315826,10165/14546,0.698817544342087,24711/29092,0.849408772171044,4381/29092,0.150591227828956,7048/7273,0.969063660112746,-225/7273,-0.0309363398872542,225/29092,0.00773408497181356,1
1015,0,1/13,1->13,1,13,0,52/1041,0.0499519692603266,52/1041,0.0499519692603266,1/3,3/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,0,7/9,5->9,5,9,0,36/1033,0.0348499515972895,36/1033,0.0348499515972895,3864403/22582413,0.171124449809682,-18718010/22582413,-0.828875550190318,13223408/22582413,0.585562224904841,35805821/45164826,0.79278111245242,9359005/45164826,0.20721888754758,12467227/22582413,0.552076830762062,-10115186/22582413,-0.447923169237938,5057593/45164826,0.111980792309484,0
1017,0,3/13,1->13,1,13,0,52/1043,0.049856184084372,52/1043,0.049856184084372,0,5/11,3->11,3,11,0,44/1039,0.0423484119345525,44/1039,0.0423484119345525,2/5,0,9->5,9,5,0,20/1027,0.0194741966893866,2034/1027,1.98052580331061,41430460/1112936279,0.0372262642361037,-1071505819/1112936279,-0.962773735763896,1154366739/2225872558,0.518613132118052,3380239297/4451745116,0.759306566059026,1071505819/4451745116,0.240693433940974,2306816858/3338808837,0.690910133109846,-1031991979/3338808837,-0.309089866890154,1031991979/13355235348,0.0772724667225385,0
1019,0,5/13,1->13,1,13,0,52/1045,0.0497607655502392,52/1045,0.0497607655502392,2/3,7/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,4/5,2/9,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,2908/7315,0.397539302802461,-4407/7315,-0.602460697197539,10223/14630,0.69876965140123,24853/29260,0.849384825700615,4407/29260,0.150615174299385,7088/7315,0.968967874231032,-227/7315,-0.0310321257689679,227/29260,0.00775803144224197,1
1021,0,7/13,1->13,1,13,0,52/1047,0.049665711556829,52/1047,0.049665711556829,1/3,9/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,1/5,4/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,21304/21987,0.968936189566562,-683/21987,-0.0310638104334379,43291/43974,0.984468094783281,87265/87948,0.992234047391641,683/87948,0.00776595260835948,21304/21987,0.968936189566562,-683/21987,-0.0310638104334379,683/87948,0.00776595260835948,1
1023,0,9/13,1->13,1,13,0,52/1049,0.0495710200190658,52/1049,0.0495710200190658,0,0,tie,3,11,1,1,1,1,1,3/5,2/3,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,5716/7343,0.77842843524445,-1627/7343,-0.22157156475555,13059/14686,0.889214217622225,27745/29372,0.944607108811113,1627/29372,0.0553928911888874,5716/7343,0.77842843524445,-1627/7343,-0.22157156475555,1627/29372,0.0553928911888874,0
1025,0,11/13,1->13,1,13,0,52/1051,0.049476688867745,52/1051,0.049476688867745,2/3,2/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,0,8/9,5->9,5,9,0,36/1043,0.0345158197507191,36/1043,0.0345158197507191,80267/469797,0.170854645729964,-389530/469797,-0.829145354270036,275032/469797,0.585427322864982,744829/939594,0.792713661432491,194765/939594,0.207286338567509,604887/1096193,0.551807026682345,-491306/1096193,-0.448192973317655,245653/2192386,0.112048243329414,0
1027,0,0,tie,1,13,1,1,1,1,1,1/3,4/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,2/5,1/9,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,23/21,1.0952380952381,2/21,0.0952380952380952,22/21,1.04761904761905,43/42,1.02380952380952,1/42,0.0238095238095238,9/7,1.28571428571429,2/7,0.285714285714286,1/14,0.0714285714285714,0
1029,0,2/13,1->13,1,13,0,52/1055,0.0492890995260664,52/1055,0.0492890995260664,0,6/11,3->11,3,11,0,44/1051,0.0418648905803996,44/1051,0.0418648905803996,4/5,1/3,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,2083843/7761635,0.26847990146406,-5677792/7761635,-0.73152009853594,4922739/7761635,0.63423995073203,6342187/7761635,0.817119975366015,1419448/7761635,0.182880024633985,10686749/23284905,0.458956091940251,-12598156/23284905,-0.541043908059749,3149539/23284905,0.135260977014937,0
1031,0,4/13,1->13,1,13,0,52/1057,0.0491958372753075,52/1057,0.0491958372753075,2/3,8/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,1/5,5/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,1024/1057,0.968779564806055,-33/1057,-0.0312204351939451,2081/2114,0.984389782403027,4195/4228,0.992194891201514,33/4228,0.00780510879848628,1024/1057,0.968779564806055,-33/1057,-0.0312204351939451,33/4228,0.00780510879848628,1
1033,0,6/13,1->13,1,13,0,52/1059,0.0491029272898961,52/1059,0.0491029272898961,1/3,10/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,3/5,7/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,21544/22239,0.968748594810918,-695/22239,-0.0312514051890822,43783/44478,0.984374297405459,88261/88956,0.992187148702729,695/88956,0.00781285129727056,21544/22239,0.968748594810918,-695/22239,-0.0312514051890822,695/88956,0.00781285129727056,1
1035,0,8/13,1->13,1,13,0,52/1061,0.0490103675777568,52/1061,0.0490103675777568,0,1/11,3->11,3,11,0,44/1057,0.0416272469252602,44/1057,0.0416272469252602,0,0,tie,5,9,1,1,1,1,1,1223125/3364431,0.363545871501006,-2141306/3364431,-0.636454128498994,2293778/3364431,0.681772935750503,5658209/6728862,0.840886467875251,1070653/6728862,0.159113532124749,1223125/3364431,0.363545871501006,-2141306/3364431,-0.636454128498994,1070653/6728862,0.159113532124749,0
1037,0,10/13,1->13,1,13,0,52/1063,0.0489181561618062,52/1063,0.0489181561618062,2/3,3/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,2/5,2/9,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,2956/7441,0.397258433006316,-4485/7441,-0.602741566993684,10397/14882,0.698629216503158,25279/29764,0.849314608251579,4485/29764,0.150685391748421,7208/7441,0.968687004434888,-233/7441,-0.0313129955651122,233/29764,0.00782824889127805,1
1039,0,12/13,1->13,1,13,0,52/1065,0.0488262910798122,52/1065,0.0488262910798122,1/3,5/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,4/5,4/9,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,17404/22365,0.778180192264699,-4961/22365,-0.221819807735301,39769/44730,0.88909009613235,84499/89460,0.944545048066175,4961/89460,0.0554549519338252,21664/22365,0.96865638274089,-701/22365,-0.0313436172591102,701/89460,0.00783590431477755,1
1041,0,1/13,1->13,1,13,0,52/1067,0.0487347703842549,52/1067,0.0487347703842549,0,7/11,3->11,3,11,0,44/1063,0.0413922859830668,44/1063,0.0413922859830668,1/5,2/3,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,10923557/23818641,0.458613780693869,-12895084/23818641,-0.541386219306131,17371099/23818641,0.729306890346935,20594870/23818641,0.864653445173467,3223771/23818641,0.135346554826533,10923557/23818641,0.458613780693869,-12895084/23818641,-0.541386219306131,3223771/23818641,0.135346554826533,0
1043,0,3/13,1->13,1,13,0,52/1069,0.048643592142189,52/1069,0.048643592142189,2/3,9/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,3/5,8/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,7248/7483,0.968595483095015,-235/7483,-0.0314045169049846,14731/14966,0.984297741547508,29697/29932,0.992148870773754,235/29932,0.00785112922624616,7248/7483,0.968595483095015,-235/7483,-0.0314045169049846,235/29932,0.00785112922624616,1
1045,0,5/13,1->13,1,13,0,52/1071,0.0485527544351074,52/1071,0.0485527544351074,1/3,0,11->3,11,3,0,12/1051,0.0114176974310181,2090/1051,1.98858230256898,0,1/9,5->9,5,9,0,36/1063,0.0338664158043274,36/1063,0.0338664158043274,112279108/3589605369,0.0312789558901509,-3477326261/3589605369,-0.968721044109849,3701884477/7179210738,0.515639477945075,10881095215/14358421476,0.757819738972538,3477326261/14358421476,0.242180261027462,2478026002/3589605369,0.690333824269472,-1111579367/3589605369,-0.309666175730528,1111579367/14358421476,0.0774165439326319,0
1047,0,7/13,1->13,1,13,0,52/1073,0.0484622553588071,52/1073,0.0484622553588071,0,2/11,3->11,3,11,0,44/1069,0.0411599625818522,44/1069,0.0411599625818522,2/5,1/3,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,2151595/8029259,0.267969310742125,-5877664/8029259,-0.732030689257876,5090427/8029259,0.633984655371062,6559843/8029259,0.816992327685531,1469416/8029259,0.183007672314469,11042933/24087777,0.458445501218315,-13044844/24087777,-0.541554498781685,3261211/24087777,0.135388624695421,0
1049,0,9/13,1->13,1,13,0,52/1075,0.0483720930232558,52/1075,0.0483720930232558,2/3,4/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,4/5,5/9,9->5,9,5,0,5/7,0.714285714285714,9/7,1.28571428571429,2988/7525,0.397076411960133,-4537/7525,-0.602923588039867,10513/15050,0.698538205980066,25563/30100,0.849269102990033,4537/30100,0.150730897009967,7288/7525,0.968504983388704,-237/7525,-0.0314950166112957,237/30100,0.00787375415282392,1
1051,0,11/13,1->13,1,13,0,52/1077,0.0482822655524605,52/1077,0.0482822655524605,1/3,6/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,1/5,7/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,21904/22617,0.968475040898439,-713/22617,-0.0315249591015608,44521/45234,0.98423752044922,89755/90468,0.99211876022461,713/90468,0.00788123977539019,21904/22617,0.968475040898439,-713/22617,-0.0315249591015608,713/90468,0.00788123977539019,1
1053,0,0,tie,1,13,1,1,1,1,1,0,8/11,3->11,3,11,0,44/1075,0.0409302325581395,44/1075,0.0409302325581395,3/5,0,9->5,9,5,0,20/1063,0.0188146754468485,2106/1063,1.98118532455315,1210997/3428175,0.353248302668329,-2217178/3428175,-0.646751697331671,2319586/3428175,0.676624151334165,5747761/6856350,0.838312075667082,1108589/6856350,0.161687924332918,1151149/1142725,1.00737185237043,8424/1142725,0.00737185237043033,2106/1142725,0.00184296309260758,0
1055,0,2/13,1->13,1,13,0,52/1081,0.0481036077705828,52/1081,0.0481036077705828,2/3,10/11,3->11,3,11,0,11/7,1.57142857142857,11/7,1.57142857142857,0,2/9,5->9,5,9,0,36/1073,0.0335507921714818,36/1073,0.0335507921714818,4474009/8119391,0.551027657123545,-3645382/8119391,-0.448972342876455,6296700/8119391,0.775513828561773,14416091/16238782,0.887756914280886,1822691/16238782,0.112243085719114,4474009/8119391,0.551027657123545,-3645382/8119391,-0.448972342876455,1822691/16238782,0.112243085719114,0
1057,0,4/13,1->13,1,13,0,52/1083,0.0480147737765466,52/1083,0.0480147737765466,1/3,1/11,11->3,11,3,0,3/7,0.428571428571429,11/7,1.57142857142857,2/5,4/9,5->9,5,9,0,9/7,1.28571428571429,9/7,1.28571428571429,13360/22743,0.587433496020754,-9383/22743,-0.412566503979246,36103/45486,0.793716748010377,81589/90972,0.896858374005188,9383/90972,0.103141625994812,22024/22743,0.968385876973135,-719/22743,-0.0316141230268654,719/90972,0.00790353075671635,1
