gate_rank,gate_q,first_eligible_parent,eligible_parent_count,mean_phase_a,mean_ridge_distance,below_ridge_share,equal_ridge_share,above_ridge_share,phi_nearest_folded_residue,phi_observed_hits,phi_observed_share,phi_expected_share,phi_occupancy_excess,phi_occupancy_lift,phi_observed_mean_distance,phi_expected_mean_distance,phi_distance_delta,quarter_nearest_folded_residue,quarter_observed_hits,quarter_observed_share,quarter_expected_share,quarter_occupancy_excess,quarter_occupancy_lift,quarter_observed_mean_distance,quarter_expected_mean_distance,quarter_distance_delta,third_nearest_folded_residue,third_observed_hits,third_observed_share,third_expected_share,third_occupancy_excess,third_occupancy_lift,third_observed_mean_distance,third_expected_mean_distance,third_distance_delta,half_nearest_folded_residue,half_observed_hits,half_observed_share,half_expected_share,half_occupancy_excess,half_occupancy_lift,half_observed_mean_distance,half_expected_mean_distance,half_distance_delta,two_thirds_nearest_folded_residue,two_thirds_observed_hits,two_thirds_observed_share,two_thirds_expected_share,two_thirds_occupancy_excess,two_thirds_occupancy_lift,two_thirds_observed_mean_distance,two_thirds_expected_mean_distance,two_thirds_distance_delta
1,2,4000000007,45166,1.0,0.0,0.0,1.0,0.0,1,45166,1.0,1.0,0.0,1.0,0.6180339887498949,0.6180339887498949,0.0,1,45166,1.0,1.0,0.0,1.0,0.75,0.75,0.0,1,45166,1.0,1.0,0.0,1.0,0.6666666666666667,0.6666666666666667,0.0,1,45166,1.0,1.0,0.0,1.0,0.5,0.5,0.0,1,45166,1.0,1.0,0.0,1.0,0.33333333333333337,0.33333333333333337,0.0
2,3,4000000007,45166,1.0006937371769327,0.3333333333333333,0.49895939423460123,0.0,0.5010406057653988,1,45166,1.0,1.0,0.0,1.0,0.28470065541656153,0.2847006554165616,-5.551115123125783e-17,1,45166,1.0,1.0,0.0,1.0,0.41666666666666663,0.4166666666666667,-5.551115123125783e-17,1,45166,1.0,1.0,0.0,1.0,0.3333333333333333,0.3333333333333333,0.0,1,45166,1.0,1.0,0.0,1.0,0.16666666666666666,0.16666666666666666,0.0,1,45166,1.0,1.0,0.0,1.0,0.0,0.0,0.0
3,5,4000000007,45166,0.9999291502457601,0.400885621927999,0.49949076739140064,0.0,0.5005092326085994,1,22683,0.5022140548199974,0.5,0.0022140548199973686,1.0044281096399947,0.21714836682189598,0.2180339887498949,-0.0008856219279989308,1,22683,0.5022140548199974,0.5,0.0022140548199973686,1.0044281096399947,0.3491143780720011,0.35,-0.000885621927998903,1,22683,0.5022140548199974,0.5,0.0022140548199973686,1.0044281096399947,0.2657810447386678,0.2666666666666667,-0.000885621927998903,1,22683,0.5022140548199974,0.5,0.0022140548199973686,1.0044281096399947,0.19955718903600056,0.2,-0.0004428109639994515,2,22483,0.49778594518000263,0.5,-0.0022140548199973686,0.9955718903600053,0.200295207309333,0.2,0.00029520730933299544
4,7,4000000007,45166,1.0003352711584568,0.4276415255470297,0.49920294026480094,0.0,0.5007970597351991,1,15004,0.33219678519240137,0.3333333333333333,-0.0011365481409319478,0.9965903555772041,0.2543414907873063,0.25363037720234594,0.0007111135849603434,1,15004,0.33219678519240137,0.3333333333333333,-0.0011365481409319478,0.9965903555772041,0.32235847445297033,0.32142857142857145,0.0009299030243988815,1,15004,0.33219678519240137,0.3333333333333333,-0.0011365481409319478,0.9965903555772041,0.2706629301855799,0.2698412698412699,0.0008216603443100268,2,15011,0.3323517690298012,0.3333333333333333,-0.0009815643035321342,0.9970553070894036,0.21472852524971373,0.21428571428571427,0.0004428109639994515,2,15011,0.3323517690298012,0.3333333333333333,-0.0009815643035321342,0.9970553070894036,0.22209921917666675,0.2222222222222221,-0.0001230030455553477
5,11,4000000007,45166,0.9997222367589458,0.45413082246098235,0.5007970597351991,0.0,0.49920294026480094,2,9107,0.20163397245715803,0.2,0.0016339724571580172,1.00816986228579,0.25091800933167674,0.2508795250227063,3.848430897046562e-05,1,8984,0.1989106850285613,0.2,-0.0010893149714387151,0.9945534251428064,0.32299336186109423,0.32272727272727275,0.0002660891338214788,2,9107,0.20163397245715803,0.2,0.0016339724571580172,1.00816986228579,0.2728118093658545,0.2727272727272727,8.453663858176697e-05,3,8982,0.19886640393216137,0.2,-0.001133596067838638,0.9943320196608069,0.2274397877727816,0.22727272727272727,0.00016706050005432793,4,9008,0.19944205818536068,0.2,-0.0005579418146393345,0.9972102909268034,0.24249804425157565,0.24242424242424246,7.380182733318641e-05
6,13,4000000007,45166,1.0008106846879374,0.46103093204895446,0.49960147013240047,0.0,0.5003985298675995,2,7612,0.16853385289819775,0.16666666666666666,0.0018671862315310928,1.0112031173891867,0.2573846467402632,0.25729338086534953,9.126587491364857e-05,2,7612,0.16853385289819775,0.16666666666666666,0.0018671862315310928,1.0112031173891867,0.3207279812248151,0.32051282051282054,0.00021516071199456643,2,7612,0.16853385289819775,0.16666666666666666,0.0018671862315310928,1.0112031173891867,0.27356180108250255,0.27350427350427353,5.752757822902188e-05,3,7498,0.16600983040340078,0.16666666666666666,-0.0006568362632658753,0.9960589824204047,0.2308918553438768,0.23076923076923078,0.00012262457464601306,4,7487,0.16576628437320107,0.16666666666666666,-0.0009003822934655903,0.9945977062392064,0.24779020297773344,0.24786324786324782,-7.304488551437838e-05
7,17,4000000007,45166,1.001153913276775,0.4705439541977177,0.49736527476420317,0.0,0.5026347252357969,3,5689,0.12595757870964885,0.125,0.0009575787096488542,1.0076606296771908,0.25710932700896805,0.25744967365806193,-0.0003403466490938811,2,5646,0.12500553513704998,0.125,5.53513704998343e-06,1.0000442810963999,0.31599967179893257,0.3161764705882353,-0.0001767987893027123,3,5689,0.12595757870964885,0.125,0.0009575787096488542,1.0076606296771908,0.2741946267060161,0.27450980392156865,-0.0003151772155525756,4,5616,0.12434131869105079,0.125,-0.0006586813089492077,0.9947305495284063,0.2349450784166122,0.23529411764705882,-0.00034903923044662943,6,5662,0.12535978390824956,0.125,0.0003597839082495613,1.0028782712659965,0.2544878022944554,0.25490196078431365,-0.00041415848985826287
8,19,4000000007,45166,0.998781104556991,0.47522006539618755,0.5007527786387991,0.0,0.4992472213612009,4,5049,0.11178762786166585,0.1111111111111111,0.0006765167505547454,1.0060886507549927,0.2578693832983039,0.25864290853066674,-0.0007735252323628483,2,5034,0.11145551963866625,0.1111111111111111,0.00034440852755514284,1.0030996767479963,0.31609885871300486,0.3172514619883041,-0.0011526032752992577,3,5006,0.110835584289067,0.1111111111111111,-0.0002755268220441115,0.997520258601603,0.2739539367836853,0.27485380116959063,-0.0008998643859053357,5,5016,0.11105698977106673,0.1111111111111111,-5.412134004437186e-05,0.9995129079396007,0.23648203003190568,0.23684210526315788,-0.0003600752312521993,6,5075,0.11236328211486517,0.1111111111111111,0.0012521710037540629,1.0112695390337865,0.257681022287375,0.2573099415204678,0.0003710807669071725
9,23,4000000007,45166,1.000334996120591,0.47788544287834833,0.5009963246689988,0.0,0.4990036753310012,4,4047,0.08960279856529248,0.09090909090909091,-0.0013062923437984347,0.9856307842182173,0.2597687318322411,0.2594638151136077,0.00030491671863336345,3,4155,0.0919939777708896,0.09090909090909091,0.001084886861798695,1.0119337554797856,0.3155182139701083,0.31521739130434784,0.00030082266576048067,4,4047,0.08960279856529248,0.09090909090909091,-0.0013062923437984347,0.9856307842182173,0.2757133588366779,0.2753623188405797,0.00035103999609820136,6,4093,0.09062126378249126,0.09090909090909091,-0.0002878271265996518,0.9968339016074038,0.23927771755976504,0.2391304347826087,0.00014728277715633786,8,4096,0.09068768542709117,0.09090909090909091,-0.00022140548199973964,0.9975645396980029,0.2607611086189625,0.2608695652173913,-0.00010845659842878552
10,29,4000000007,45166,0.997315649397548,0.4830853846423996,0.5030775361997963,0.0,0.4969224638002037,6,3181,0.07042908382411549,0.07142857142857142,-0.000999487604455937,0.9860071735376169,0.26037841075685614,0.2603249820073591,5.3428749497042016e-05,4,3221,0.07131470575211442,0.07142857142857142,-0.00011386567645700618,0.9984058805296019,0.3151321485340667,0.31527093596059114,-0.00013878742652445597,5,3210,0.07107115972191472,0.07142857142857142,-0.0003574117066567073,0.9949962361068061,0.2758635958998759,0.27586206896551724,1.526934358675458e-06,7,3271,0.07242173316211309,0.07142857142857142,0.0009931617335416643,1.0139042642695832,0.24140068742584825,0.2413793103448276,2.13770810206515e-05,10,3229,0.07149183013771421,0.07142857142857142,6.325870914278275e-05,1.000885621927999,0.26448691697192633,0.264367816091954,0.00011910087997235586
