rung,entity,axis,axis_bin,coordinate_low,coordinate_high,starting_events,threshold_index,threshold_q,adult_progress,conditional_survival,global_survival,redistribution_log2
r9,edge,u,0,0.0,0.16666666666666666,0,0,31,0.0,nan,0.9354781932627863,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,0,31,0.0,nan,0.9354781932627863,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,0,31,0.0,0.934134056567222,0.9354781932627863,-0.0020744190986626554
r9,edge,u,3,0.5,0.6666666666666666,65805,0,31,0.0,0.9357799559304004,0.9354781932627863,0.00046530352645784046
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,0,31,0.0,0.9354142354735798,0.9354781932627863,-9.863911354066224e-05
r9,edge,u,5,0.8333333333333334,1.0,306444,0,31,0.0,0.9353617626711569,0.9354781932627863,-0.0001795705045057721
r9,edge,u,6,1.0,1.1666666666666667,608675,0,31,0.0,0.9355107405429827,0.9354781932627863,5.019356222806392e-05
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,0,31,0.0,0.935382817890973,0.9354781932627863,-0.00014709545523349107
r9,edge,u,8,1.3333333333333333,1.5,83755,0,31,0.0,0.9358127872962808,0.9354781932627863,0.0005159188634936095
r9,edge,u,9,1.5,1.6666666666666667,6073,0,31,0.0,0.9374279598221636,0.9354781932627863,0.0030038019338540045
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,0,31,0.0,nan,0.9354781932627863,nan
r9,edge,u,11,1.8333333333333333,2.0,0,0,31,0.0,nan,0.9354781932627863,nan
r9,edge,u,0,0.0,0.16666666666666666,0,1,41,0.04033062259354249,nan,0.8417661412148156,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,1,41,0.04033062259354249,nan,0.8417661412148156,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,1,41,0.04033062259354249,0.8473459899263851,0.8417661412148156,0.009531693247667925
r9,edge,u,3,0.5,0.6666666666666666,65805,1,41,0.04033062259354249,0.8420332801458855,0.8417661412148156,0.00045777425675220835
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,1,41,0.04033062259354249,0.8417895705301561,0.8417661412148156,4.015472350528572e-05
r9,edge,u,5,0.8333333333333334,1.0,306444,1,41,0.04033062259354249,0.8412238451397319,0.8417661412148156,-0.0009297356391150941
r9,edge,u,6,1.0,1.1666666666666667,608675,1,41,0.04033062259354249,0.8420273544995277,0.8417661412148156,0.00044762153369857664
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,1,41,0.04033062259354249,0.8417484787654476,0.8417661412148156,-3.027182278292285e-05
r9,edge,u,8,1.3333333333333333,1.5,83755,1,41,0.04033062259354249,0.8414781207092114,0.8417661412148156,-0.0004937200958464418
r9,edge,u,9,1.5,1.6666666666666667,6073,1,41,0.04033062259354249,0.8414292771282726,0.8417661412148156,-0.0005774637315446984
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,1,41,0.04033062259354249,nan,0.8417661412148156,nan
r9,edge,u,11,1.8333333333333333,2.0,0,1,41,0.04033062259354249,nan,0.8417661412148156,nan
r9,edge,u,0,0.0,0.16666666666666666,0,2,53,0.07736292532020142,nan,0.739533487900341,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,2,53,0.07736292532020142,nan,0.739533487900341,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,2,53,0.07736292532020142,0.7524215420379697,0.739533487900341,0.024925676619312158
r9,edge,u,3,0.5,0.6666666666666666,65805,2,53,0.07736292532020142,0.7407035939518274,0.739533487900341,0.0022808596948477268
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,2,53,0.07736292532020142,0.7395978126232192,0.739533487900341,0.00012548035286468807
r9,edge,u,5,0.8333333333333334,1.0,306444,2,53,0.07736292532020142,0.7386635078513529,0.739533487900341,-0.0016981715574727247
r9,edge,u,6,1.0,1.1666666666666667,608675,2,53,0.07736292532020142,0.739954819895675,0.739533487900341,0.0008217078748994221
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,2,53,0.07736292532020142,0.7392964682265856,0.739533487900341,-0.0004624562944933688
r9,edge,u,8,1.3333333333333333,1.5,83755,2,53,0.07736292532020142,0.7387618649632858,0.739533487900341,-0.0015060815603164322
r9,edge,u,9,1.5,1.6666666666666667,6073,2,53,0.07736292532020142,0.7409846863164828,0.739533487900341,0.0028282495484165246
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,2,53,0.07736292532020142,nan,0.739533487900341,nan
r9,edge,u,11,1.8333333333333333,2.0,0,2,53,0.07736292532020142,nan,0.739533487900341,nan
r9,edge,u,0,0.0,0.16666666666666666,0,3,73,0.12354767087366712,nan,0.6335337386179886,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,3,73,0.12354767087366712,nan,0.6335337386179886,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,3,73,0.12354767087366712,0.6323130569546688,0.6335337386179886,-0.0027824408675941647
r9,edge,u,3,0.5,0.6666666666666666,65805,3,73,0.12354767087366712,0.6344958589772813,0.6335337386179886,0.002189296748421075
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,3,73,0.12354767087366712,0.6335586294244395,0.6335337386179886,5.66807029082317e-05
r9,edge,u,5,0.8333333333333334,1.0,306444,3,73,0.12354767087366712,0.6324613958830977,0.6335337386179886,-0.0024440282171546077
r9,edge,u,6,1.0,1.1666666666666667,608675,3,73,0.12354767087366712,0.6340805848769869,0.6335337386179886,0.0012447515309730057
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,3,73,0.12354767087366712,0.6334334420676244,0.6335337386179886,-0.00022841528705203426
r9,edge,u,8,1.3333333333333333,1.5,83755,3,73,0.12354767087366712,0.6327502835651603,0.6335337386179886,-0.0017852027568802066
r9,edge,u,9,1.5,1.6666666666666667,6073,3,73,0.12354767087366712,0.6369175037049234,0.6335337386179886,0.007685068881648261
r9,edge,u,10,1.6666666666666667,1.8333333333333333,0,3,73,0.12354767087366712,nan,0.6335337386179886,nan
r9,edge,u,11,1.8333333333333333,2.0,0,3,73,0.12354767087366712,nan,0.6335337386179886,nan
r9,edge,u,0,0.0,0.16666666666666666,0,4,103,0.17320917637713604,nan,0.5545462833641244,nan
r9,edge,u,1,0.16666666666666666,0.3333333333333333,0,4,103,0.17320917637713604,nan,0.5545462833641244,nan
r9,edge,u,2,0.3333333333333333,0.5,2581,4,103,0.17320917637713604,0.55288647810926,0.5545462833641244,-0.004324586893909131
r9,edge,u,3,0.5,0.6666666666666666,65805,4,103,0.17320917637713604,0.5549578299521313,0.5545462833641244,0.0010702731818957834
r9,edge,u,4,0.6666666666666666,0.8333333333333334,251077,4,103,0.17320917637713604,0.5547859819895888,0.5545462833641244,0.0006234597774671612
r9,edge,u,5,0.8333333333333334,1.0,306444,4,103,0.17320917637713604,0.5537096500502539,0.5545462833641244,-0.0021782097904615456
r9,edge,u,6,1.0,1.1666666666666667,608675,4,103,0.17320917637713604,0.5547804657658028,0.5545462833641244,0.0006091150237721264
r9,edge,u,7,1.1666666666666667,1.3333333333333333,255056,4,103,0.17320917637713604,0.5546429019509441,0.5545462833641244,0.00025133883067122856
