train_rung,test_rung,primary_transfer,entity,model,test_events,baseline_loss_bits,model_loss_bits,gain_bits_per_event,permutation_mean_gain,permutation_lower_95,permutation_upper_95,permutation_p_ge_observed
r6,r7,False,candidate,u,15801,3.108310419259226,3.119649614249622,-0.011339194990396262,,,,
r6,r7,False,candidate,v,15801,3.108310419259226,3.1289355096049114,-0.020625090345685493,,,,
r6,r7,False,candidate,uv,15801,3.108310419259226,3.13614902662197,-0.027838607362744128,,,,
r6,r7,False,edge,u,15801,3.4711351817632576,3.4797347612387686,-0.008599579475510932,,,,
r6,r7,False,edge,v,15801,3.4711351817632576,3.4920407080755447,-0.020905526312287037,,,,
r6,r7,False,edge,uv,15801,3.4711351817632576,3.49489667637192,-0.023761494608662392,,,,
r7,r8,True,candidate,u,157949,3.2000225855818214,3.2032027592215244,-0.003180173639703021,-0.0031904088231032458,-0.003780856902008178,-0.002758418200211521,0.504950495049505
r7,r8,True,candidate,v,157949,3.2000225855818214,3.204874295216922,-0.0048517096351003985,-0.004613856129692291,-0.005172098985326212,-0.00392591364763174,0.8217821782178217
r7,r8,True,candidate,uv,157949,3.2000225855818214,3.2165340128290585,-0.016511427247237087,,,,
r7,r8,True,edge,u,157949,3.3569120625415034,3.358664925424694,-0.0017528628831904314,-0.0017464412085750115,-0.0021353780806842916,-0.0014177461188072504,0.49504950495049505
r7,r8,True,edge,v,157949,3.3569120625415034,3.3609268596107538,-0.004014797069250342,-0.0037574779033286944,-0.004197414275008071,-0.0032543531541194726,0.8613861386138614
r7,r8,True,edge,uv,157949,3.3569120625415034,3.3700116348170517,-0.013099572275548255,,,,
r8,r9,True,candidate,u,1579467,3.252998624069578,3.253234986984568,-0.0002363629149897406,-0.0002353952035002216,-0.00027405041650714336,-0.00020117828314173414,0.5445544554455446
r8,r9,True,candidate,v,1579467,3.252998624069578,3.2534083899893305,-0.00040976591975239174,-0.0003728593698930993,-0.00042808047027833587,-0.0003147487466788724,0.900990099009901
r8,r9,True,candidate,uv,1579467,3.252998624069578,3.255120894245749,-0.0021222701761707263,,,,
r8,r9,True,edge,u,1579466,3.2587607164351553,3.2590743197712317,-0.0003136033360764401,-0.0003074875540848554,-0.00034792148130122766,-0.0002655845202934382,0.6039603960396039
r8,r9,True,edge,v,1579466,3.2587607164351553,3.2590351642998687,-0.000274447864713423,-0.0002948210449956612,-0.0003446654708959329,-0.00025235478535867717,0.16831683168316833
r8,r9,True,edge,uv,1579466,3.2587607164351553,3.26069529199001,-0.0019345755548547672,,,,
