rung,signal,window,bin_left_k,bin_right_k,frequency,period,power_fraction,normalized_mean_power
r6,raw_prime_indicator,rectangular,1,1,0.0001,10000.0,6.407107289934353e-05,0.32035536449671764
r6,raw_prime_indicator,rectangular,2,2,0.0002,5000.0,4.238913767981178e-05,0.21194568839905892
r6,raw_prime_indicator,rectangular,3,3,0.0003,3333.3333333333335,5.486843595315368e-05,0.2743421797657684
r6,raw_prime_indicator,rectangular,4,4,0.0004,2500.0,4.1950030281570156e-05,0.20975015140785078
r6,raw_prime_indicator,rectangular,5,5,0.0005,2000.0,8.383486403422745e-06,0.041917432017113725
r6,raw_prime_indicator,rectangular,6,6,0.0006,1666.6666666666667,4.1270475633336125e-05,0.20635237816668062
r6,raw_prime_indicator,rectangular,7,7,0.0007,1428.5714285714287,7.222802277716171e-05,0.3611401138858086
r6,raw_prime_indicator,rectangular,8,8,0.0008,1250.0,0.00027785725349874744,1.3892862674937374
r6,raw_prime_indicator,rectangular,9,9,0.0009,1111.111111111111,1.1055036569276165e-05,0.055275182846380826
r6,raw_prime_indicator,rectangular,10,10,0.001,1000.0,0.00021655492919961475,1.0827746459980738
r6,raw_prime_indicator,rectangular,11,11,0.0011,909.0909090909091,1.958235751267287e-05,0.09791178756336436
r6,raw_prime_indicator,rectangular,12,12,0.0012,833.3333333333334,0.0003442185950275112,1.7210929751375559
r6,raw_prime_indicator,rectangular,13,13,0.0013,769.2307692307693,0.00021127539444010216,1.0563769722005107
r6,raw_prime_indicator,rectangular,14,14,0.0014,714.2857142857143,5.942211918485996e-05,0.2971105959242998
r6,raw_prime_indicator,rectangular,15,15,0.0015,666.6666666666666,5.328613288151064e-05,0.2664306644075532
r6,raw_prime_indicator,rectangular,16,16,0.0016,625.0,5.2477496662938694e-05,0.26238748331469347
r6,raw_prime_indicator,rectangular,17,17,0.0017,588.2352941176471,9.12648377106037e-06,0.04563241885530185
r6,raw_prime_indicator,rectangular,18,18,0.0018,555.5555555555555,0.0001436945757351378,0.718472878675689
r6,raw_prime_indicator,rectangular,19,19,0.0019,526.3157894736842,8.11305849791945e-05,0.40565292489597254
r6,raw_prime_indicator,rectangular,20,20,0.002,500.0,4.787668256797533e-05,0.23938341283987666
r6,raw_prime_indicator,rectangular,21,21,0.0021,476.1904761904762,7.340690713092399e-06,0.036703453565461994
r6,raw_prime_indicator,rectangular,22,22,0.0022,454.54545454545456,0.0002452340587280323,1.2261702936401615
r6,raw_prime_indicator,rectangular,23,23,0.0023,434.7826086956522,7.757653724267358e-05,0.3878826862133679
r6,raw_prime_indicator,rectangular,24,24,0.0024,416.6666666666667,1.8034484052988332e-05,0.09017242026494166
r6,raw_prime_indicator,rectangular,25,25,0.0025,400.0,8.249236256788385e-05,0.41246181283941924
r6,raw_prime_indicator,rectangular,26,26,0.0026,384.61538461538464,3.434826608189014e-05,0.1717413304094507
r6,raw_prime_indicator,rectangular,27,27,0.0027,370.3703703703704,0.00022804527396309599,1.14022636981548
r6,raw_prime_indicator,rectangular,28,28,0.0028,357.14285714285717,0.0001544106846239172,0.7720534231195859
r6,raw_prime_indicator,rectangular,29,29,0.0029,344.82758620689657,0.00012267667057250532,0.6133833528625267
r6,raw_prime_indicator,rectangular,30,30,0.003,333.3333333333333,1.3380425030043132e-05,0.06690212515021565
r6,raw_prime_indicator,rectangular,31,31,0.0031,322.5806451612903,0.00014700705293628326,0.7350352646814162
r6,raw_prime_indicator,rectangular,32,32,0.0032,312.5,7.962121536693718e-05,0.3981060768346859
r6,raw_prime_indicator,rectangular,33,33,0.0033,303.030303030303,0.00018288062569783562,0.914403128489178
r6,raw_prime_indicator,rectangular,34,34,0.0034,294.11764705882354,0.00021963169574710432,1.0981584787355216
r6,raw_prime_indicator,rectangular,35,35,0.0035,285.7142857142857,0.00018792455855720695,0.9396227927860348
r6,raw_prime_indicator,rectangular,36,36,0.0036,277.77777777777777,1.6175947377926285e-05,0.08087973688963143
r6,raw_prime_indicator,rectangular,37,37,0.0037,270.27027027027026,0.00019753177061050743,0.9876588530525372
r6,raw_prime_indicator,rectangular,38,38,0.0038,263.1578947368421,3.430676366643068e-05,0.17153381833215342
r6,raw_prime_indicator,rectangular,39,39,0.0039,256.4102564102564,3.3970296888153264e-05,0.16985148444076634
r6,raw_prime_indicator,rectangular,40,40,0.004,250.0,1.3395177862350007e-05,0.06697588931175004
r6,raw_prime_indicator,rectangular,41,41,0.0041,243.90243902439025,0.00020610550042347853,1.0305275021173927
r6,raw_prime_indicator,rectangular,42,42,0.0042,238.0952380952381,0.00013733852271682952,0.6866926135841476
r6,raw_prime_indicator,rectangular,43,43,0.0043,232.5581395348837,7.949900016567591e-05,0.3974950008283795
r6,raw_prime_indicator,rectangular,44,44,0.0044,227.27272727272728,0.00037197841918864606,1.8598920959432304
r6,raw_prime_indicator,rectangular,45,45,0.0045,222.22222222222223,7.846007278611405e-05,0.3923003639305703
r6,raw_prime_indicator,rectangular,46,46,0.0046,217.3913043478261,4.027769299344672e-05,0.20138846496723362
r6,raw_prime_indicator,rectangular,47,47,0.0047,212.7659574468085,2.5791439034995625e-05,0.12895719517497814
r6,raw_prime_indicator,rectangular,48,48,0.0048,208.33333333333334,8.944580669267892e-05,0.4472290334633946
r6,raw_prime_indicator,rectangular,49,49,0.0049,204.08163265306123,0.0003764628125760588,1.882314062880294
r6,raw_prime_indicator,rectangular,50,50,0.005,200.0,0.00013656438609906146,0.6828219304953073
r6,raw_prime_indicator,rectangular,51,51,0.0051,196.07843137254903,0.00031050330689047983,1.552516534452399
r6,raw_prime_indicator,rectangular,52,52,0.0052,192.30769230769232,4.9907161110971835e-05,0.24953580555485919
r6,raw_prime_indicator,rectangular,53,53,0.0053,188.67924528301887,0.00010431644470759125,0.5215822235379562
r6,raw_prime_indicator,rectangular,54,54,0.0054,185.1851851851852,0.00035618582967793277,1.7809291483896639
r6,raw_prime_indicator,rectangular,55,55,0.0055,181.8181818181818,1.7128525586014695e-05,0.08564262793007348
r6,raw_prime_indicator,rectangular,56,56,0.0056,178.57142857142858,0.00023185892233553332,1.1592946116776666
r6,raw_prime_indicator,rectangular,57,57,0.0057,175.43859649122808,6.7846772439372e-05,0.33923386219685997
r6,raw_prime_indicator,rectangular,58,58,0.0058,172.41379310344828,0.00013435494167250828,0.6717747083625414
r6,raw_prime_indicator,rectangular,59,59,0.0059,169.4915254237288,5.285069061735538e-05,0.2642534530867769
r6,raw_prime_indicator,rectangular,60,60,0.006,166.66666666666666,1.2574607690971976e-06,0.006287303845485988
r6,raw_prime_indicator,rectangular,61,61,0.0061,163.9344262295082,0.000157938097534751,0.7896904876737549
r6,raw_prime_indicator,rectangular,62,62,0.0062,161.29032258064515,0.0001353557907357594,0.676778953678797
r6,raw_prime_indicator,rectangular,63,63,0.0063,158.73015873015873,0.00020676653717431042,1.033832685871552
r6,raw_prime_indicator,rectangular,64,64,0.0064,156.25,0.00016557804817501258,0.827890240875063
r6,raw_prime_indicator,rectangular,65,65,0.0065,153.84615384615384,0.00012996707287107892,0.6498353643553947
r6,raw_prime_indicator,rectangular,66,66,0.0066,151.5151515151515,0.00014103472041583723,0.7051736020791862
r6,raw_prime_indicator,rectangular,67,67,0.0067,149.2537313432836,1.8565048603592758e-05,0.0928252430179638
r6,raw_prime_indicator,rectangular,68,69,0.006849817515817483,145.98929061844595,5.743613494697418e-05,0.14359033736743546
r6,raw_prime_indicator,rectangular,70,70,0.007,142.85714285714286,5.7574635470286386e-05,0.2878731773514319
r6,raw_prime_indicator,rectangular,71,71,0.0071,140.8450704225352,0.00029304161082839043,1.4652080541419523
r6,raw_prime_indicator,rectangular,72,72,0.0072,138.88888888888889,0.00016382759384688713,0.8191379692344356
r6,raw_prime_indicator,rectangular,73,73,0.0073,136.986301369863,0.00032518352726215505,1.6259176363107752
r6,raw_prime_indicator,rectangular,74,75,0.00744983221287567,134.23121104280486,0.00010627493872994181,0.2656873468248545
r6,raw_prime_indicator,rectangular,76,76,0.0076,131.57894736842104,1.3587193388189408e-05,0.06793596694094704
r6,raw_prime_indicator,rectangular,77,77,0.0077,129.87012987012986,0.0005165867793474173,2.5829338967370865
r6,raw_prime_indicator,rectangular,78,78,0.0078,128.2051282051282,0.0004958520981013823,2.4792604905069116
r6,raw_prime_indicator,rectangular,79,80,0.007949842765740716,125.7886513566569,8.23923509437372e-05,0.205980877359343
r6,raw_prime_indicator,rectangular,81,81,0.0081,123.45679012345678,2.642740050150127e-05,0.13213700250750635
r6,raw_prime_indicator,rectangular,82,83,0.008249848483457136,121.21434739137725,0.0001583112661510153,0.39577816537753824
r6,raw_prime_indicator,rectangular,84,84,0.0084,119.04761904761905,4.87685724717275e-05,0.24384286235863747
r6,raw_prime_indicator,rectangular,85,85,0.0085,117.6470588235294,0.0001320486732049066,0.6602433660245329
r6,raw_prime_indicator,rectangular,86,87,0.008649855490122364,115.6088678177274,0.0003290188278700165,0.8225470696750413
