ara_numerator,ara_denominator,ara_value,mirror_numerator,mirror_denominator,mirror_value,distance_from_ridge,count,share,mirror_count,count_minus_mirror,r7_count,r8_count,r9_count,r10_count,r11_count
1,87,0.011494252873563218,173,87,1.9885057471264367,-0.9885057471264368,1,2.2542623536225736e-08,0,1,0,0,0,0,1
1,80,0.0125,159,80,1.9875,-0.9875,1,2.2542623536225736e-08,1,0,0,0,0,0,1
1,78,0.01282051282051282,155,78,1.9871794871794872,-0.9871794871794872,1,2.2542623536225736e-08,0,1,0,0,0,0,1
2,151,0.013245033112582781,300,151,1.9867549668874172,-0.9867549668874173,2,4.508524707245147e-08,1,1,0,0,0,0,2
2,147,0.013605442176870748,292,147,1.9863945578231292,-0.9863945578231292,1,2.2542623536225736e-08,0,1,0,0,0,0,1
2,145,0.013793103448275862,288,145,1.986206896551724,-0.9862068965517241,1,2.2542623536225736e-08,1,0,0,0,0,0,1
1,71,0.014084507042253521,141,71,1.9859154929577465,-0.9859154929577465,1,2.2542623536225736e-08,0,1,0,0,0,0,1
2,141,0.014184397163120567,280,141,1.9858156028368794,-0.9858156028368794,2,4.508524707245147e-08,1,1,0,0,0,0,2
2,139,0.014388489208633094,276,139,1.985611510791367,-0.9856115107913669,1,2.2542623536225736e-08,0,1,0,0,0,0,1
1,69,0.014492753623188406,137,69,1.9855072463768115,-0.9855072463768116,1,2.2542623536225736e-08,1,0,0,0,0,0,1
1,68,0.014705882352941176,135,68,1.9852941176470589,-0.9852941176470589,3,6.762787060867721e-08,0,3,0,0,0,0,3
2,135,0.014814814814814815,268,135,1.9851851851851852,-0.9851851851851852,5,1.1271311768112868e-07,2,3,0,0,0,0,5
2,133,0.015037593984962405,264,133,1.9849624060150375,-0.9849624060150376,4,9.017049414490294e-08,4,0,0,0,0,0,4
1,66,0.015151515151515152,131,66,1.9848484848484849,-0.9848484848484849,1,2.2542623536225736e-08,1,0,0,0,0,0,1
1,65,0.015384615384615385,129,65,1.9846153846153847,-0.9846153846153847,4,9.017049414490294e-08,2,2,0,0,0,0,4
2,129,0.015503875968992248,256,129,1.9844961240310077,-0.9844961240310077,3,6.762787060867721e-08,2,1,0,0,0,1,2
2,127,0.015748031496062992,252,127,1.984251968503937,-0.984251968503937,2,4.508524707245147e-08,2,0,0,0,0,1,1
1,63,0.015873015873015872,125,63,1.9841269841269842,-0.9841269841269842,5,1.1271311768112868e-07,8,-3,0,0,0,1,4
1,62,0.016129032258064516,123,62,1.9838709677419355,-0.9838709677419355,5,1.1271311768112868e-07,4,1,0,0,0,0,5
2,123,0.016260162601626018,244,123,1.983739837398374,-0.983739837398374,3,6.762787060867721e-08,3,0,0,0,0,0,3
2,121,0.01652892561983471,240,121,1.9834710743801653,-0.9834710743801653,6,1.3525574121735442e-07,8,-2,0,0,0,0,6
1,60,0.016666666666666666,119,60,1.9833333333333334,-0.9833333333333333,10,2.2542623536225736e-07,6,4,0,0,0,0,10
1,59,0.01694915254237288,117,59,1.9830508474576272,-0.9830508474576272,5,1.1271311768112868e-07,3,2,0,0,0,0,5
2,117,0.017094017094017096,232,117,1.982905982905983,-0.9829059829059829,2,4.508524707245147e-08,5,-3,0,0,0,0,2
2,115,0.017391304347826087,228,115,1.982608695652174,-0.9826086956521739,11,2.479688588984831e-07,5,6,0,0,0,0,11
1,57,0.017543859649122806,113,57,1.9824561403508771,-0.9824561403508771,6,1.3525574121735442e-07,8,-2,0,0,0,0,6
1,56,0.017857142857142856,111,56,1.9821428571428572,-0.9821428571428571,10,2.2542623536225736e-07,18,-8,0,0,0,0,10
2,111,0.018018018018018018,220,111,1.981981981981982,-0.9819819819819819,16,3.606819765796118e-07,19,-3,0,0,0,0,16
2,109,0.01834862385321101,216,109,1.981651376146789,-0.981651376146789,15,3.3813935304338605e-07,12,3,0,0,0,2,13
1,54,0.018518518518518517,107,54,1.9814814814814814,-0.9814814814814815,11,2.479688588984831e-07,17,-6,0,0,0,1,10
1,53,0.018867924528301886,105,53,1.9811320754716981,-0.9811320754716981,38,8.56619694376578e-07,38,0,0,0,0,2,36
2,105,0.01904761904761905,208,105,1.980952380952381,-0.9809523809523809,46,1.036960682666384e-06,43,3,0,0,0,2,44
2,103,0.019417475728155338,204,103,1.9805825242718447,-0.9805825242718447,26,5.861082119418691e-07,30,-4,0,0,0,2,24
1,51,0.0196078431372549,101,51,1.9803921568627452,-0.9803921568627451,29,6.537360825505463e-07,36,-7,0,0,0,1,28
1,50,0.02,99,50,1.98,-0.98,60,1.3525574121735442e-06,50,10,0,0,0,2,58
2,99,0.020202020202020204,196,99,1.97979797979798,-0.9797979797979798,63,1.4201852827822213e-06,53,10,0,0,1,2,60
2,97,0.020618556701030927,192,97,1.9793814432989691,-0.979381443298969,53,1.194759047419964e-06,57,-4,0,0,0,1,52
1,48,0.020833333333333332,95,48,1.9791666666666667,-0.9791666666666666,78,1.7583246358256075e-06,74,4,0,0,1,5,72
1,47,0.02127659574468085,93,47,1.9787234042553192,-0.9787234042553191,62,1.3976426592459958e-06,64,-2,0,0,0,1,61
2,93,0.021505376344086023,184,93,1.978494623655914,-0.978494623655914,58,1.3074721651010927e-06,61,-3,0,0,0,3,55
