target,bins,model,events,cross_entropy_bits,brier_score,top1_accuracy,top3_accuracy,perplexity
R10,12,X-M2,4341926,3.2037636577505118,0.8778115247074723,0.16695977775761264,0.4505518979365378,9.213591644905147
R10,12,XY-M2,4341926,3.005997888515474,0.8555476073914299,0.19456642052397946,0.5174408776197476,8.033328588568105
R10,12,RawGap-M1,4341926,2.837125167099317,0.840569797922994,0.22377557793476904,0.5609674140001465,7.145946768710547
R10,24,X-M2,4341926,4.09953420461011,0.9323207427164296,0.10686801202968452,0.28517597950771156,17.142839688143
R10,24,XY-M2,4341926,4.259040231416847,0.9388934155374736,0.08487408583195569,0.26454826728967745,19.146917340796772
R10,24,RawGap-M1,4341926,3.5728371696357084,0.9038864195555872,0.14835029431639324,0.3793417944018392,11.899566974200683
R10,48,X-M2,4341926,4.880050765726379,0.9568910408616599,0.08310113990887914,0.22100261496856463,29.44704098778062
R10,48,XY-M2,4341926,5.5883398133889015,0.9804956810589484,0.014632446522580072,0.05904545586451727,48.112498414767416
R10,48,RawGap-M1,4341926,4.082362877539461,0.930578757047135,0.1172901150319006,0.30492735251591113,16.940010661449072
R11,12,X-M2,39475587,3.2121816679060786,0.8782376801281538,0.16673436673658584,0.4478944163642202,9.267509364931092
R11,12,XY-M2,39475587,3.02082551731252,0.8544342921143963,0.19707985596262317,0.5189785018269646,8.116318707984384
R11,12,RawGap-M1,39475587,2.862400443425033,0.8425272158694692,0.22311067850618663,0.5517074134958398,7.2722431806071315
R11,24,X-M2,39475587,4.112585101000682,0.9331517731371476,0.10420817808231705,0.27952306320359466,17.298620657962594
R11,24,XY-M2,39475587,4.171775720874248,0.9294184875997407,0.10008517416093142,0.28188893049266117,18.02310559421419
R11,24,RawGap-M1,39475587,3.62187145769536,0.9071270195716651,0.1440510054986643,0.3631580449962657,12.310960821370974
R11,48,X-M2,39475587,4.8726462399051815,0.9578649670390348,0.07912130603656381,0.21101750811203895,29.29629340454606
R11,48,XY-M2,39475587,5.634074321751121,0.98088580958588,0.024082833777747243,0.08626828019048836,49.662132997778365
R11,48,RawGap-M1,39475587,4.162437421425891,0.9347057404311641,0.10999458982079229,0.2890602741385454,17.90682209598376
