gate_id,description,passed,value
C1,88 records form 22 complete four-state cells,True,"{""cells"": 22, ""records"": 88}"
C2,Hadamard inverse maximum error <= 1e-12,True,1.1102230246251565e-16
C3,Parseval maximum error <= 1e-12,True,2.220446049250313e-16
C4,common real-energy share >= 50% in both conditions,True,"{""Hahn"": 0.8013055069477127, ""Ramsey"": 0.9522131464884893}"
C5,non-common imaginary-energy share >= 50% in both conditions,False,"{""Hahn"": 0.6744652827199393, ""Ramsey"": 0.4128377215796296}"
C6,held-out error improves zero by >= 10% in both conditions,False,"{""Hahn"": -46.59107948828492, ""Ramsey"": 22.559498759037385}"
C7,held-out error improves LOO mean by >= 5% in both conditions,False,"{""Hahn"": -106.46253258005721, ""Ramsey"": -32.71762081763263}"
C8,held-out real sign accuracy >= 75% in both conditions,False,"{""Hahn"": 0.5, ""Ramsey"": 0.9210526315789473}"
C9,held-out imaginary sign accuracy >= 60% in both conditions,True,"{""Hahn"": 0.7, ""Ramsey"": 0.75}"
C10,interaction complex-energy share <= 25% in both conditions,True,"{""Hahn"": 0.10255302352640622, ""Ramsey"": 0.036906698392645154}"
