state,wait_index,ramsey_wait_us,hahn_wait_us,R_A_amplitude,R_A_direction,R_B_amplitude,R_B_direction,H_A_amplitude,H_A_direction,H_B_amplitude,H_B_direction
Phi-plus,0,0.02,1.0,1.0,0.10918087529852061,-1.0,-0.39961142666172145,0.9855473996179922,1.0,-0.9577739112676271,-1.0
Phi-plus,1,4.02,1.99,0.8797480203340404,0.45415639958312726,-0.7310702360548191,-0.7738048169379995,0.9521952865787828,0.2998936264696048,-0.9210818829124003,-0.2666990498753179
Phi-plus,2,8.02,3.98,0.6122166342405866,0.6670018492047372,-0.2906212168313309,-0.9495672601148935,0.9938414009329082,-0.2787482668123735,-0.9758497913519709,0.3478653001857368
Phi-plus,3,12.02,7.94,0.310225665722756,1.0,0.13943722625667743,-1.0,1.0,0.04610811837977469,-1.0,-0.012899507068526939
Phi-plus,4,16.02,15.85,-0.24163760213120566,0.9150537645365948,0.6261200177034076,-0.7407089703179083,0.9187621379304769,0.25494083888666785,-0.8857452123586251,-0.27536993468398496
Phi-plus,5,20.02,31.62,-0.471096867634772,0.3852285733227254,0.8184756821368717,-0.30667166007671365,0.6178034694927861,0.28414136672474744,-0.579122096937176,-0.2883094357685565
Phi-plus,6,24.02,63.09,-0.5705666514342762,0.3919502638668,0.907258573958952,-0.11797562456577226,0.4278840519780358,0.09538160585655842,-0.2097013462009798,-0.14554432953485474
Phi-plus,7,28.02,125.89,-0.805765260884481,0.5029351969845306,0.9266288018463047,-0.10116423538875274,0.2541250345049739,0.0607056987132395,-0.07858823208067978,-0.05237155703772167
Phi-plus,8,32.02,251.19,-1.0,0.007417944978445501,1.0,-0.01723451528129516,-0.23507393689960965,0.0690828070135785,0.5496495415813205,-0.06735188131480108
Phi-plus,9,36.02,501.18,-0.8120991046294996,-0.14436084926795,0.942428392661887,0.07669300867533524,-0.9689289453879407,0.038127952357426276,1.0,-0.019801892928846376
Phi-plus,10,40.02,1000.0,-0.8767368772863311,0.44716556652972117,0.9296923565467896,-0.021122098868660566,-1.0,-0.0357245206231952,0.9383282861092939,0.02402740239322232
Phi-minus,0,0.02,1.0,1.0,1.0,-1.0,-1.0,0.9648195380321647,1.0,-0.8861743368991142,-1.0
Phi-minus,1,4.02,1.99,0.6887170119820771,0.4438163994961368,-0.5666722926431709,-0.6260911009914625,0.903412901388057,0.2773171596541124,-0.8448505319745001,-0.10247311932567849
Phi-minus,2,8.02,3.98,0.617257443495653,0.5266480153828454,-0.3326262686666829,-0.6923913551248583,0.9901941442768476,-0.2068639724142356,-0.9653390732142082,0.37301721807625277
Phi-minus,3,12.02,7.94,0.23454134831932483,0.9135139412762192,0.1713733391839929,-0.8348032865823664,0.8844276603459911,0.1330706014767693,-0.8226540603106524,-0.21831105220908031
Phi-minus,4,16.02,15.85,-0.17054729216388564,0.717330466612478,0.5572215241122587,-0.5620491690439536,1.0,-0.07511908612293772,-1.0,0.16295945153056435
Phi-minus,5,20.02,31.62,-0.3840768392046495,0.5958295102552522,0.770482399420849,-0.3278797244907796,0.8850563011278472,0.09709768016641296,-0.8776571332297863,-0.13904056111786633
Phi-minus,6,24.02,63.09,-0.6843843433740979,0.503604792476418,0.9067206861598207,-0.15832166274328086,0.45380602575083073,0.12130700252693294,-0.37232900814734693,-0.19457960592078216
Phi-minus,7,28.02,125.89,-0.8183802717932043,0.15935324950308805,0.9392433331708387,0.0014506921179917587,-0.04518433634110186,0.06590330900334362,0.387133846422441,-0.11985563763760765
Phi-minus,8,32.02,251.19,-0.8218088958947583,0.09982830610230509,0.9051743396133405,-0.05699836035146921,-0.4608890818650534,0.030168654598655253,0.7699429262366015,-0.029937138442994837
Phi-minus,9,36.02,501.18,-0.9044711443532822,0.20662487853067213,1.0,-0.05312329498028123,-1.0,0.01406088529183136,0.9435197946773981,-0.006607417350602662
Phi-minus,10,40.02,1000.0,-1.0,0.2364643159224762,0.961800430505813,0.19646972531840023,-0.8939584082961147,-0.01843863583099492,1.0,0.00361683814012026
Psi-plus,0,0.02,1.0,1.0,0.18897560315462503,-1.0,-0.22344092800193283,0.9037085212857343,1.0,-0.8518660683473025,-1.0
Psi-plus,1,4.02,1.99,0.8999504702257675,0.4281301141734799,-0.8314170631050186,-0.45359749878670597,0.8144057116161809,0.19353530948597353,-0.6692189971633729,-0.2258431890692547
Psi-plus,2,8.02,3.98,0.7223541094987413,1.0,-0.5482159033342249,-1.0,1.0,-0.3322551444395079,-1.0,0.30771481178359017
Psi-plus,3,12.02,7.94,0.2514422683739448,0.9429854216566702,0.1645851147602,-0.8098642190891313,0.8597069868605163,0.1857427227372368,-0.7868206809563483,-0.09951695513167991
Psi-plus,4,16.02,15.85,0.11082032932769148,0.6033210708870911,0.25841062265366466,-0.35549655951035786,0.753778284604161,0.07315723602188862,-0.9271516097628836,0.009397986193860675
Psi-plus,5,20.02,31.62,-0.13981639444635852,0.8520219101877107,0.5186604622561088,-0.4098652629642737,0.6527608643186558,0.041841395817074245,-0.5029206048942181,-0.06063283105129047
Psi-plus,6,24.02,63.09,-0.4417228675864957,0.9166637957488875,0.6666373171973818,-0.3323733801911768,0.4588200261609967,0.04096117324069537,-0.47181787665181585,-0.013460537997141864
Psi-plus,7,28.02,125.89,-0.7342803843301358,0.4080249508050964,0.8497050727909452,-0.16327079134095046,0.06638413878203808,0.03500503729606175,0.16652840651222567,-0.026955992580963817
Psi-plus,8,32.02,251.19,-0.7063303947437871,0.3263385149761935,0.8292553809547458,-0.054177846208565805,-0.3571617357345318,0.018057038251155788,0.6704725911671923,-0.009324728917065706
Psi-plus,9,36.02,501.18,-0.9459135878723411,0.45283869104143304,0.9036663256067237,-0.1714299655561191,-0.7148811192753635,0.007568628541197331,0.7660843221512204,-0.0013665328073432237
Psi-plus,10,40.02,1000.0,-1.0,-0.11923358336067003,1.0,-0.2154514149635629,-1.0,-5.744131716722833e-06,1.0,-0.001749290869644815
Psi-minus,0,0.02,1.0,1.0,-0.030143410745750665,-1.0,-0.09080568936925393,0.8931382520786342,1.0,-0.8597982648852105,-1.0
Psi-minus,1,4.02,1.99,0.9131720565782879,0.46874279878353375,-0.8481962333121338,-0.4804056239540422,0.806578636952598,0.5158182981272899,-0.7266884876723518,-0.5031331618307963
Psi-minus,2,8.02,3.98,0.6288186958564068,1.0,-0.48931415360127817,-1.0,0.7998771912208453,-0.12708433830373367,-0.7253510010199977,0.12716129245744412
Psi-minus,3,12.02,7.94,0.12130644262779788,0.6882294398565838,0.21483429950189592,-0.7346478530100249,1.0,-0.1814207948071902,-1.0,0.18883052300998915
Psi-minus,4,16.02,15.85,0.08383346792557123,0.6545339020717793,0.2916389450146515,-0.4966454737839764,0.6977578319346001,0.277531360262123,-0.7051377501788528,-0.16721314090000583
Psi-minus,5,20.02,31.62,-0.3969964475876816,0.8931874651229099,0.7427836021181524,-0.5041893416574371,0.38758335218989326,0.13774113265706722,-0.46488324650801516,-0.08560566439103157
Psi-minus,6,24.02,63.09,-0.6234509725168635,0.5920698179457475,0.8276076095159117,-0.24196520226088924,0.12481552593757028,0.04325184189484821,0.02208566100846565,-0.05304852268218807
Psi-minus,7,28.02,125.89,-0.8658361774768459,0.372177926319329,1.0,-0.06930417123916621,0.2325654958938237,0.005526205986046584,-0.1318102928333047,-0.003581549503931636
Psi-minus,8,32.02,251.19,-0.9181658746405394,0.16942751416346047,0.901280059594517,0.13676609427655095,-0.43563801757073983,0.03500485177716994,0.7213050070533498,-0.027001673747888644
Psi-minus,9,36.02,501.18,-1.0,0.011491540494716679,0.8546134659303042,0.02919599951190177,-0.7994580817781652,0.009567206935396255,0.9423368879773357,-0.0035080070660634677
Psi-minus,10,40.02,1000.0,-0.9272656304096252,-0.37889918294816116,0.8702438206773417,-0.08801032051041968,-1.0,-0.0025972783244611053,1.0,0.0022156666889330268
