branch,split,child,record_index,residual_axis_1,predicted_survivor
AA,development,C00,0,-0.05408194610369493,C11
AA,development,C00,1,-0.06325985127333808,C11
AA,development,C00,2,-0.09556770498053889,C11
AA,development,C00,3,-0.09461724039322811,C11
AA,development,C00,4,-0.10788653684937916,C11
AA,development,C00,5,-0.15321815383304055,C11
AA,development,C00,6,-0.07965107367247919,C11
AA,development,C00,7,-0.0890115473912204,C11
AA,development,C00,8,-0.0646583233384837,C11
AA,development,C00,9,-0.09680901344551397,C11
AA,development,C00,10,-0.08585385995571186,C11
AA,development,C00,11,-0.17553619472212345,C11
AA,development,C00,12,0.02813630358733373,C11
AA,development,C00,13,-0.08170830338692465,C11
AA,development,C00,14,-0.08549586884869856,C11
AA,development,C00,15,-0.1905198530885388,C11
AA,development,C00,16,-0.00837001919306947,C11
AA,development,C00,17,-0.08483372187845668,C11
AA,development,C00,18,-0.12116212440141899,C11
AA,development,C00,19,-0.01991669473457358,C11
AA,development,C00,20,-0.04960348833203827,C11
AA,development,C00,21,-0.057327048983571965,C11
AA,development,C00,22,-0.10027161533404763,C11
AA,development,C00,23,-0.051839826941472066,C11
AA,development,C00,24,-0.029667864623300004,C11
AA,development,C00,25,-0.056710005151432846,C11
AA,development,C00,26,-0.027015052145311885,C11
AA,development,C00,27,-0.08652586814409004,C11
AA,development,C00,28,-0.04980092671908499,C11
AA,development,C00,29,-0.08298500895423663,C11
AA,development,C00,30,-0.07785399518546823,C11
AA,development,C00,31,-0.10404531767758204,C11
AA,development,C00,32,-0.1282689394587767,C11
AA,development,C00,33,-0.015338649195594273,C11
AA,development,C00,34,-0.18447166475223453,C11
AA,development,C00,35,-0.07175317984044315,C11
AA,development,C00,36,-0.0025061236010427423,C11
AA,development,C00,37,-0.03680984276279726,C11
AA,development,C00,38,0.07845671777031356,C11
AA,development,C00,39,-0.07681326634879884,C11
AA,development,C01,0,-0.036006878508271487,C11
AA,development,C01,1,-0.061761524466121806,C11
AA,development,C01,2,-0.09445352171445376,C11
AA,development,C01,3,0.023412501701589834,C11
AA,development,C01,4,-0.13683630571208763,C11
AA,development,C01,5,-0.08307713883907797,C11
AA,development,C01,6,-0.09401769574308994,C11
AA,development,C01,7,-0.0705301971065777,C11
AA,development,C01,8,-0.06513550342446492,C11
AA,development,C01,9,-0.04517266417145248,C11
AA,development,C01,10,-0.1034755039351611,C11
AA,development,C01,11,-0.1529947977716168,C11
AA,development,C01,12,-0.08104816607117347,C11
AA,development,C01,13,-0.1183291185536468,C11
AA,development,C01,14,-0.06361105027915036,C11
AA,development,C01,15,-0.04066762260800044,C11
AA,development,C01,16,-0.14325825889225507,C11
AA,development,C01,17,-0.0048831756262297105,C11
AA,development,C01,18,-0.051299522217163954,C11
AA,development,C01,19,-0.0762489604694507,C11
AA,development,C01,20,0.02588210018432133,C11
AA,development,C01,21,-0.08913632685195366,C11
AA,development,C01,22,-0.024835819136422143,C11
AA,development,C01,23,-0.1266574316001945,C11
AA,development,C01,24,0.032742304358797644,C11
AA,development,C01,25,-0.05853539462440832,C11
AA,development,C01,26,-0.07016961022373717,C11
AA,development,C01,27,-0.09681845035927826,C11
AA,development,C01,28,-0.11544231123439201,C11
AA,development,C01,29,-0.11722629593324922,C11
AA,development,C01,30,-0.09567539924284751,C11
AA,development,C01,31,-0.10782859444836645,C11
AA,development,C01,32,-0.1481700077925297,C11
AA,development,C01,33,-0.05277457222784871,C11
AA,development,C01,34,-0.09242315688624207,C11
AA,development,C01,35,-0.06648422845678076,C11
AA,development,C01,36,-0.054318069822955686,C11
AA,development,C01,37,-0.06485337300676025,C11
AA,development,C01,38,-0.006412802952814295,C11
AA,development,C01,39,-0.1066401496185968,C11
AA,development,C10,0,-0.07382247758504054,C11
AA,development,C10,1,0.07240683855698661,C11
AA,development,C10,2,-0.04753839370259271,C11
AA,development,C10,3,-0.104754880585737,C11
AA,development,C10,4,-0.09360553132596798,C11
AA,development,C10,5,-0.06834581205392214,C11
AA,development,C10,6,-0.08455105908356009,C11
AA,development,C10,7,-0.05683366819313025,C11
AA,development,C10,8,-0.09870126247512219,C11
AA,development,C10,9,-0.062045584029335604,C11
AA,development,C10,10,-0.069513897578924,C11
AA,development,C10,11,-0.04173124039026569,C11
AA,development,C10,12,-0.082599482651614,C11
AA,development,C10,13,-0.09025831341264964,C11
AA,development,C10,14,-0.06229025534019044,C11
AA,development,C10,15,-0.1354407919552844,C11
AA,development,C10,16,0.01140603277287313,C11
AA,development,C10,17,-0.05161117093093225,C11
AA,development,C10,18,-0.14040896980067882,C11
AA,development,C10,19,-0.15075799504371384,C11
AA,development,C10,20,-0.03353525216736093,C11
AA,development,C10,21,-0.0976473152754661,C11
AA,development,C10,22,-0.06894314993340117,C11
AA,development,C10,23,-0.10170478094828168,C11
AA,development,C10,24,-0.06629677193216992,C11
AA,development,C10,25,-0.14692240655529015,C11
AA,development,C10,26,-0.07566074465086081,C11
AA,development,C10,27,-0.07564328920215344,C11
AA,development,C10,28,0.015912227052377728,C11
AA,development,C10,29,-0.04247504637697661,C11
AA,development,C10,30,-0.1036078539664691,C11
AA,development,C10,31,-0.08600693391065423,C11
AA,development,C10,32,-0.07078170619421749,C11
AA,development,C10,33,-0.01973277592404426,C11
AA,development,C10,34,-0.06067276774987654,C11
AA,development,C10,35,-0.14780673347355697,C11
AA,development,C10,36,-0.076572064464089,C11
AA,development,C10,37,-0.12313522865974239,C11
AA,development,C10,38,-0.08341936811220338,C11
AA,development,C10,39,-0.039522817030882104,C11
AA,development,C11,0,0.29966459061423567,C11
AA,development,C11,1,0.33297609213441604,C11
AA,development,C11,2,0.23170896641240096,C11
AA,development,C11,3,0.2577988950422453,C11
AA,development,C11,4,0.28509616618841493,C11
AA,development,C11,5,0.2768031466994756,C11
AA,development,C11,6,0.18477961258052888,C11
AA,development,C11,7,0.19991514630743196,C11
AA,development,C11,8,0.21043736366925292,C11
AA,development,C11,9,0.275483999056744,C11
AA,development,C11,10,0.2769545828775663,C11
AA,development,C11,11,0.2269458802821493,C11
AA,development,C11,12,0.19761126770093046,C11
AA,development,C11,13,0.22301081973798026,C11
AA,development,C11,14,0.21547239135144727,C11
AA,development,C11,15,0.15013666333765915,C11
AA,development,C11,16,0.19939031567970392,C11
AA,development,C11,17,0.17910675870432988,C11
AA,development,C11,18,0.21173510212638041,C11
AA,development,C11,19,0.20018270116387307,C11
AA,development,C11,20,0.22586968130390472,C11
AA,development,C11,21,0.23406088538746045,C11
AA,development,C11,22,0.2003904194952605,C11
AA,development,C11,23,0.20111272388482876,C11
AA,development,C11,24,0.26913201934841224,C11
AA,development,C11,25,0.21718583983434653,C11
AA,development,C11,26,0.22410772484376285,C11
AA,development,C11,27,0.2361242421287207,C11
AA,development,C11,28,0.17075271171720788,C11
AA,development,C11,29,0.10408562082349501,C11
AA,development,C11,30,0.23525536562617735,C11
AA,development,C11,31,0.20837053107233663,C11
AA,development,C11,32,0.22348698558141317,C11
AA,development,C11,33,0.1931184841096689,C11
AA,development,C11,34,0.28632170563886516,C11
AA,development,C11,35,0.17450327366867574,C11
AA,development,C11,36,0.22384989125562602,C11
AA,development,C11,37,0.12935660380715364,C11
AA,development,C11,38,0.2369318524944984,C11
AA,development,C11,39,0.17629105916338633,C11
AA,holdout,C00,0,-0.1058100181660698,C11
AA,holdout,C00,1,-0.0568915500746533,C11
AA,holdout,C00,2,-0.08843437751887029,C11
AA,holdout,C00,3,-0.08280074427049065,C11
AA,holdout,C00,4,-0.007689860589998799,C11
AA,holdout,C00,5,-0.10016376100105742,C11
AA,holdout,C00,6,-0.08042101688262421,C11
AA,holdout,C00,7,-0.10511946744561997,C11
AA,holdout,C00,8,-0.17022128723681715,C11
AA,holdout,C00,9,-0.06061386608776835,C11
AA,holdout,C00,10,-0.0928453699711072,C11
AA,holdout,C00,11,-0.14301096663885163,C11
AA,holdout,C00,12,-0.14293806046619018,C11
AA,holdout,C00,13,-0.08112689481947649,C11
AA,holdout,C00,14,0.007517075702622694,C11
AA,holdout,C00,15,-0.13654190972380037,C11
AA,holdout,C00,16,-0.1362048142764279,C11
AA,holdout,C00,17,-0.08717729531610817,C11
AA,holdout,C00,18,-0.05810313029838626,C11
AA,holdout,C00,19,-0.08335198020689374,C11
AA,holdout,C00,20,0.049381778801978034,C11
AA,holdout,C00,21,-0.1224052937928562,C11
AA,holdout,C00,22,-0.1330592551640962,C11
AA,holdout,C00,23,-0.14244294745091193,C11
AA,holdout,C00,24,-0.06786918843803741,C11
AA,holdout,C00,25,-0.10742847656627648,C11
AA,holdout,C00,26,-0.09283076126653436,C11
AA,holdout,C00,27,-0.17235312854133344,C11
AA,holdout,C00,28,-0.12489559901569895,C11
AA,holdout,C00,29,-0.009411348741457465,C11
AA,holdout,C00,30,-0.18071124188091636,C11
AA,holdout,C00,31,-0.2392400386176955,C11
AA,holdout,C00,32,-0.127354878800791,C11
AA,holdout,C00,33,-0.1255114299068947,C11
AA,holdout,C00,34,-0.08700739201345727,C11
AA,holdout,C00,35,-0.022069376989510878,C11
AA,holdout,C00,36,-0.09227899398639416,C11
AA,holdout,C00,37,-0.038216315684455125,C11
AA,holdout,C00,38,-0.23490667347628202,C11
AA,holdout,C00,39,-0.10960060709309999,C11
AA,holdout,C01,0,0.05643153295831664,C11
AA,holdout,C01,1,-0.1399195608945335,C11
AA,holdout,C01,2,-0.08848344242667902,C11
AA,holdout,C01,3,-0.17497366006992154,C11
AA,holdout,C01,4,0.02925840177474349,C11
