base_id,family,shots,time,true_rx,true_ry,true_rz,observed_xx,observed_xy,observed_xz,estimated_rx,estimated_ry,estimated_rz,true_radius,estimated_radius
T0000,U,128,0.0,1.0,0.0,0.0,0.0,0.890625,0.96875,0.9935923900429277,0.10867416766094522,0.03104976218884149,1.0,1.0
T0000,U,128,0.0625,0.9964461108858353,0.08423270208472176,0.0,0.0,1.03125,1.09375,0.9951526617137967,-0.031098520678556146,-0.09329556203566844,1.0,1.0
T0000,U,128,0.125,0.985809703799013,0.1678666968034524,0.0,0.015625,0.96875,0.828125,0.984375,0.03125,0.171875,1.0,0.9997558295653994
T0000,U,128,0.1875,0.9681663799622523,0.2503075322693819,0.0,0.0,0.84375,1.046875,0.9869541417930107,0.1542115846551579,-0.04626347539654738,1.0,1.0
T0000,U,128,0.25,0.9436415442085956,0.33096923730706024,0.0,0.03125,0.859375,0.984375,0.96875,0.140625,0.015625,1.0,0.9790281373637838
T0000,U,128,0.3125,0.912409513631666,0.4092784864055607,0.0,0.046875,0.484375,1.015625,0.8794520317318231,0.4757691319204944,-0.014417246421833164,1.0,1.0
T0000,U,128,0.375,0.8746922785784247,0.4846786747890643,0.0,0.09375,0.625,1.046875,0.90625,0.375,-0.046875,1.0,0.981891708960311
T0000,U,128,0.4375,0.830757924791016,0.5566338746401666,0.0,0.234375,0.484375,1.0625,0.765625,0.515625,-0.0625,1.0,0.9251794589429664
T0000,U,128,0.5,0.7809187279127656,0.6246326443559509,0.0,0.1875,0.390625,1.03125,0.799621570461323,0.5997161778459922,-0.03075467578697396,0.9999999999999999,1.0
T0000,U,128,0.5625,0.7255289339021624,0.6881916637614782,0.0,0.15625,0.234375,1.015625,0.7404906741551296,0.6719267228444695,-0.01371279026213203,1.0,1.0
T0000,U,128,0.625,0.6649822411311465,0.7468591694424042,0.0,0.3125,0.359375,1.140625,0.6875,0.640625,-0.140625,1.0,0.9501747372194232
T0000,U,128,0.6875,0.5997090020643929,0.8002181657791393,0.0,0.375,0.21875,1.1875,0.6140055598455167,0.7675069498068959,-0.18420166795365503,1.0,1.0
T0000,U,128,0.75,0.530173164409433,0.8478893888592358,0.0,0.34375,0.109375,0.828125,0.5861669909951382,0.7955123449219734,0.15351992621301241,1.0,1.0
T0000,U,128,0.8125,0.4568689734792392,0.8895340022011672,0.0,0.703125,0.109375,1.09375,0.296875,0.890625,-0.09375,0.9999999999999999,0.943470571215658
T0000,U,128,0.875,0.3803174592061507,0.9248560051288947,0.0,0.515625,0.109375,0.984375,0.47771521450499765,0.8783795879608022,0.015410168209838634,1.0,1.0
T0000,U,128,0.9375,0.3010627327766631,0.9536043366790272,0.0,0.765625,0.03125,1.140625,0.23284515771189987,0.9624266518758527,-0.13970709462713993,1.0,1.0
T0000,U,128,1.0,0.2196681192097843,0.9755746600864723,0.0,0.921875,0.015625,0.953125,0.078125,0.984375,0.046875,1.0,0.9885822787583237
T0000,U,128,1.0625,0.13671215336772813,0.9906108151648451,0.0,0.796875,0.0,0.90625,0.1982250933428549,0.975877382610978,0.09148850461977918,1.0,1.0
T0000,U,128,1.125,0.05278446785841683,0.9986059282584415,0.0,0.859375,0.0,0.96875,0.13918820228935172,0.98978277183539,0.030930711619855937,0.9999999999999999,0.9999999999999999
T0000,U,128,1.1875,-0.03151839794233248,0.9995031718764822,0.0,1.109375,0.0,1.0625,-0.10851735059850129,0.9921586340434404,-0.062009914627715025,0.9999999999999999,1.0
T0000,U,128,1.25,-0.11559723796039546,0.9932961686103132,0.0,1.125,0.0,0.96875,-0.12397514547474874,0.9918011637979899,0.030993786368687184,1.0,1.0
T0000,U,128,1.3125,-0.19885443844722878,0.9800290364626129,0.0,1.140625,0.046875,1.0,-0.140625,0.953125,0.0,1.0,0.9634431255917497
T0000,U,128,1.375,-0.28069822568586,0.9597960752664131,0.0,1.28125,0.0625,0.9375,-0.28125,0.9375,0.0625,1.0,0.980772176654701
T0000,U,128,1.4375,-0.36054687218723064,0.9327410964227988,0.0,1.15625,0.046875,0.8125,-0.15625,0.953125,0.1875,1.0,0.9838788432144479
T0000,U,128,1.5,-0.4378328314801768,0.8990564007213625,0.0,1.40625,0.09375,1.0,-0.40625,0.90625,0.0,1.0,0.993140536379419
T0000,U,128,1.5625,-0.5120067721058801,0.858981411508839,0.0,1.484375,0.15625,1.046875,-0.484375,0.84375,-0.046875,1.0,0.9740279609692938
T0000,U,128,1.625,-0.5825414821440524,0.8128009729210532,0.0,1.578125,0.234375,1.0,-0.578125,0.765625,0.0,1.0,0.959380089563047
T0000,U,128,1.6875,-0.6489356165183422,0.7608433252739746,0.0,1.515625,0.125,1.0625,-0.5067337185762254,0.8599117648566249,-0.06142226891833035,1.0,1.0
T0000,U,128,1.75,-0.7107172604459558,0.7034777720043437,0.0,1.625,0.34375,1.09375,-0.625,0.65625,-0.09375,1.0,0.9110862335695782
T0000,U,128,1.8125,-0.7674472837032736,0.641112054742747,0.0,1.796875,0.40625,0.859375,-0.7939726897628095,0.5915874943330738,0.1401128276052017,1.0,1.0
T0000,U,128,1.875,-0.8187224618660951,0.5741894551765301,0.0,1.84375,0.578125,0.90625,-0.84375,0.421875,0.09375,1.0,0.9479882070073445
