basis,split,model,prevalence,accuracy,balanced_accuracy,auroc,average_precision,error_rate
X,development,child_topology,0.41848,0.53606,0.5361704146673776,0.5530637048086743,0.4529619315479707,0.46394
X,holdout,child_topology,0.4962,0.50508,0.5053165150819111,0.5076556437899853,0.49990513007173937,0.49492
X,development,grandchildren_only,0.41848,0.54416,0.5426860421481208,0.5644100399617201,0.4608061487737705,0.45584
X,holdout,grandchildren_only,0.4962,0.50422,0.504205802927177,0.5070299228483437,0.4986207526588654,0.49578
X,development,parent_xy,0.41848,0.54864,0.5454794650314108,0.5694632050051153,0.46362532503884357,0.45136
X,holdout,parent_xy,0.4962,0.50316,0.5031519740580216,0.5063239996742211,0.4993673186692598,0.49683999999999995
X,development,q20_global_xt,0.41848,0.52932,0.5289147244070405,0.5408620831953618,0.4433003692236623,0.47068
X,holdout,q20_global_xt,0.4962,0.5009,0.5012799219282906,0.5010315707835284,0.495686182620149,0.4991
X,development,count_only,0.41848,0.53298,0.5302661323902693,0.5434205812983695,0.4515805601134746,0.46702
X,holdout,count_only,0.4962,0.50144,0.5031483578491494,0.5024932064076021,0.4992590157838831,0.49856
X,development,topology_plus_count,0.41848,0.5386,0.5406724396836442,0.5582333501358177,0.4564986138139138,0.46140000000000003
X,holdout,topology_plus_count,0.4962,0.50546,0.5060727587625461,0.5077459626068002,0.49969251256827363,0.49454
X,development,spatial_shuffle_topology,0.41848,0.51716,0.5185799604824715,0.5246951482583209,0.4325058342544888,0.48284000000000005
X,holdout,spatial_shuffle_topology,0.4962,0.49622,0.4969112695949318,0.4956479854276383,0.49107392106544284,0.50378
Z,development,child_topology,0.35712,0.5576,0.5585272161251074,0.5825398121647033,0.41251030705801456,0.4424
Z,holdout,child_topology,0.48386,0.50964,0.5106162340989451,0.5166880393102604,0.4933056667368684,0.49036
Z,development,grandchildren_only,0.35712,0.56802,0.5669425421624197,0.5960401413425651,0.4230407869498054,0.43198000000000003
Z,holdout,grandchildren_only,0.48386,0.51154,0.5111267892966442,0.5177122665534091,0.4929086937967998,0.48846
Z,development,parent_xy,0.35712,0.58202,0.5770842365270262,0.6107436834145539,0.4327115909559816,0.41798
Z,holdout,parent_xy,0.48386,0.51274,0.5137369170455824,0.5205164148714698,0.49529277999288474,0.48726
Z,development,q20_global_xt,0.35712,0.54228,0.5412599646795513,0.5615992742350842,0.39593231724917205,0.45772
Z,holdout,q20_global_xt,0.48386,0.5075,0.5071200590901799,0.5114051049010587,0.4919080199562784,0.49250000000000005
Z,development,count_only,0.35712,0.54798,0.5364202821175676,0.5539235225340136,0.3938414730934871,0.45202
Z,holdout,count_only,0.48386,0.50258,0.5091501216120796,0.509617094597183,0.48913963358194623,0.49742
Z,development,topology_plus_count,0.35712,0.55954,0.5633468974070089,0.5878244709403562,0.416882663209172,0.44045999999999996
Z,holdout,topology_plus_count,0.48386,0.51086,0.513045391677255,0.5173184113569245,0.49381218687874195,0.48914
Z,development,spatial_shuffle_topology,0.35712,0.54606,0.5461415593315743,0.5643184177724656,0.39878662854483654,0.45394
Z,holdout,spatial_shuffle_topology,0.48386,0.50794,0.5090495319978625,0.5117610942413817,0.49140933220258565,0.49206000000000005
