basis,split,model,feature_count,prevalence,accuracy,balanced_accuracy,auroc,average_precision,error_rate
X,development,vertical_state,18,0.41002,0.51944,0.5234792611990549,0.5334751562746072,0.4364387107844207,0.48056
X,holdout,vertical_state,18,0.49132,0.50174,0.5025625946881361,0.5043192024763226,0.4963552634738471,0.49826000000000004
X,development,vertical_travel,34,0.41002,0.50992,0.5160360945699627,0.5260196053734125,0.42947283762362753,0.49007999999999996
X,holdout,vertical_travel,34,0.49132,0.49776,0.49994734413112185,0.5012427521277116,0.493727401589319,0.50224
X,development,vertical_both,42,0.41002,0.51188,0.519251987187048,0.5297469380856621,0.4332525438579013,0.48812
X,holdout,vertical_both,42,0.49132,0.4985,0.5005510764776977,0.5021559025234812,0.49433849910162175,0.5015000000000001
X,development,past_travel_control,34,0.41002,0.51644,0.5199622502847618,0.5276314722519739,0.42903525825433586,0.48356
X,holdout,past_travel_control,34,0.49132,0.49706,0.5007415850912023,0.5007129092491752,0.4937141652790435,0.5029399999999999
X,development,broken_vertical_both,42,0.41002,0.51304,0.5135991916012812,0.5186247158266759,0.42428240502462283,0.48695999999999995
X,holdout,broken_vertical_both,42,0.49132,0.50188,0.5027557745066608,0.5027158248670539,0.4942530107979907,0.49812
X,development,q21_child_topology,24,0.41002,0.54482,0.5453753099091958,0.5679717235592554,0.45616568501760957,0.45518000000000003
X,holdout,q21_child_topology,24,0.49132,0.50542,0.5059325190809024,0.5074849293301582,0.4944492390310822,0.49458
X,development,event_fraction,1,0.41002,0.53724,0.5367344438639763,0.5508862531204765,0.44915821440677983,0.46275999999999995
X,holdout,event_fraction,1,0.49132,0.5033,0.5041140350450959,0.5059584677010277,0.49442770999753805,0.49670000000000003
X,development,vertical_both_plus_count,43,0.41002,0.51818,0.5248961636369135,0.5372645575134303,0.439965515172194,0.48182
X,holdout,vertical_both_plus_count,43,0.49132,0.4986,0.5006493701004073,0.5034492410964095,0.4948460988887412,0.5014000000000001
Z,development,vertical_state,18,0.41276,0.52502,0.5260035614526666,0.5371798663239354,0.4397259864685273,0.47497999999999996
Z,holdout,vertical_state,18,0.4931,0.5019,0.5027826259232808,0.5036259425244943,0.4952686154835074,0.4981
Z,development,vertical_travel,34,0.41276,0.51266,0.5176392574852796,0.5222770057084858,0.4283095952657597,0.48734
Z,holdout,vertical_travel,34,0.4931,0.50112,0.5024582401472536,0.5028743625936123,0.49517132876120473,0.49888
Z,development,vertical_both,42,0.41276,0.51434,0.5198111068837864,0.5254443153730445,0.4310731806893639,0.48566
Z,holdout,vertical_both,42,0.4931,0.50206,0.5034505931309559,0.5031200061739758,0.49523067087986355,0.49794000000000005
Z,development,past_travel_control,34,0.41276,0.51632,0.5201364728890641,0.5286598153070052,0.43256122381461454,0.48368
Z,holdout,past_travel_control,34,0.4931,0.49874,0.5020728187476022,0.5036595057162686,0.4956939145434931,0.50126
Z,development,broken_vertical_both,42,0.41276,0.51248,0.51375725751035,0.5180215088674683,0.42545794045314517,0.48751999999999995
Z,holdout,broken_vertical_both,42,0.4931,0.50014,0.5009852996404636,0.5012468894576283,0.4936605891278512,0.49985999999999997
Z,development,q21_child_topology,24,0.41276,0.54334,0.544718835604274,0.5657688806165139,0.45862781168944317,0.45665999999999995
Z,holdout,q21_child_topology,24,0.4931,0.5062,0.5056719881734277,0.5069424845267533,0.4983819871838132,0.4938
Z,development,event_fraction,1,0.41276,0.53364,0.5293191071054992,0.5432275182260774,0.44455034233522944,0.46636
Z,holdout,event_fraction,1,0.4931,0.50536,0.5072737892204191,0.5069329971199715,0.49720986627938074,0.49463999999999997
Z,development,vertical_both_plus_count,43,0.41276,0.51726,0.5226932223028118,0.531566931841757,0.4362306184932813,0.48273999999999995
Z,holdout,vertical_both_plus_count,43,0.4931,0.50226,0.5039680916833802,0.5042176584108677,0.4965822473101106,0.49773999999999996
