dataset,basis,rounds,block,connection_raw_web_stability,bit_raw_retention,connection_ara,bit_ara,parent_ara,parent_ridge_distance
X_r13,X,r13,0,1.9606238523671107,1.8639999999999999,0.265,0.385,1.1846153846153846,0.18461538461538463
X_r13,X,r13,1,1.9820325467583297,1.856,1.455,0.235,0.2781065088757396,0.7218934911242604
X_r13,X,r13,2,1.9773609978233877,1.8719999999999999,1.035,0.585,0.7222222222222222,0.2777777777777778
X_r13,X,r13,3,1.9728909131309778,1.84,0.745,0.055,0.13749999999999998,0.8625
X_r13,X,r13,4,1.9725446904362227,1.8719999999999999,0.695,0.585,0.9140625000000001,0.08593749999999989
X_r13,X,r13,5,1.9825301559640423,1.848,1.505,0.145,0.17575757575757575,0.8242424242424242
X_r13,X,r13,6,1.9692689711104314,1.848,0.555,0.145,0.4142857142857142,0.5857142857142859
X_r13,X,r13,7,1.9760780696063802,1.88,0.955,0.835,0.9329608938547486,0.06703910614525144
X_r13,X,r13,8,1.9815506404896808,1.904,1.395,1.685,1.094155844155844,0.0941558441558441
X_r13,X,r13,9,1.9798513886664002,1.88,1.275,0.835,0.7914691943127963,0.20853080568720372
X_r13,X,r13,10,1.9823318646646964,1.88,1.475,0.835,0.7229437229437229,0.2770562770562771
X_r13,X,r13,11,1.9777219523462741,1.832,1.065,0.005,0.009345794392523366,0.9906542056074766
X_r13,X,r13,12,1.9681186504531756,1.84,0.525,0.055,0.1896551724137931,0.8103448275862069
X_r13,X,r13,13,1.9430064413293806,1.904,0.015,1.685,1.9823529411764707,0.9823529411764707
X_r13,X,r13,14,1.9722495232676545,1.88,0.675,0.835,1.1059602649006621,0.10596026490066213
X_r13,X,r13,15,1.9596886519956682,1.8719999999999999,0.215,0.585,1.4625000000000001,0.46250000000000013
X_r13,X,r13,16,1.9860508987021994,1.88,1.795,0.835,0.6349809885931559,0.3650190114068441
X_r13,X,r13,17,1.9893145573930593,1.8719999999999999,1.945,0.585,0.46245059288537543,0.5375494071146245
X_r13,X,r13,18,1.9814650631512005,1.88,1.385,0.835,0.7522522522522523,0.24774774774774766
X_r13,X,r13,19,1.9844729633228368,1.848,1.645,0.145,0.16201117318435754,0.8379888268156425
X_r13,X,r13,20,1.9849215529615658,1.904,1.665,1.685,1.0059701492537314,0.005970149253731405
X_r13,X,r13,21,1.9795557201906593,1.912,1.245,1.84,1.192868719611021,0.19286871961102103
X_r13,X,r13,22,1.9696313546832502,1.912,0.575,1.84,1.523809523809524,0.523809523809524
X_r13,X,r13,23,1.9797194885660434,1.888,1.255,1.155,0.95850622406639,0.04149377593361003
X_r13,X,r13,24,1.9736788695735663,1.856,0.815,0.235,0.4476190476190477,0.5523809523809523
X_r13,X,r13,25,1.9873944931571172,1.896,1.895,1.45,0.866965620328849,0.13303437967115095
X_r13,X,r13,26,1.9678687601429803,1.888,0.505,1.155,1.391566265060241,0.39156626506024095
X_r13,X,r13,27,1.9766698631993125,1.904,0.975,1.685,1.2669172932330828,0.2669172932330828
X_r13,X,r13,28,1.9781107281895907,1.896,1.095,1.45,1.1394891944990178,0.13948919449901775
X_r13,X,r13,29,1.9530109826771347,1.896,0.095,1.45,1.877022653721683,0.877022653721683
X_r13,X,r13,30,1.9568205993876173,1.896,0.135,1.45,1.8296529968454258,0.8296529968454258
X_r13,X,r13,31,1.9870766319975972,1.904,1.885,1.685,0.9439775910364145,0.05602240896358546
X_r13,X,r13,32,1.990267910540569,1.888,1.965,1.155,0.7403846153846154,0.2596153846153846
X_r13,X,r13,33,1.9744103502388004,1.888,0.895,1.155,1.126829268292683,0.12682926829268304
X_r13,X,r13,34,1.9546682648110745,1.88,0.125,0.835,1.7395833333333333,0.7395833333333333
X_r13,X,r13,35,1.9837802938497384,1.8639999999999999,1.605,0.385,0.3869346733668342,0.6130653266331658
X_r13,X,r13,36,1.9772546826346686,1.888,1.025,1.155,1.059633027522936,0.05963302752293598
X_r13,X,r13,37,1.9525058770888535,1.904,0.075,1.685,1.9147727272727273,0.9147727272727273
X_r13,X,r13,38,1.9880297812966892,1.88,1.915,0.835,0.6072727272727273,0.3927272727272727
X_r13,X,r13,39,1.9774829741265172,1.888,1.045,1.155,1.05,0.050000000000000044
X_r13,X,r13,40,1.9802924601759306,1.8639999999999999,1.325,0.385,0.45029239766081874,0.5497076023391813
X_r13,X,r13,41,1.9817969049580513,1.904,1.415,1.685,1.0870967741935484,0.08709677419354844
X_r13,X,r13,42,1.972744645536073,1.88,0.725,0.835,1.0705128205128205,0.07051282051282048
X_r13,X,r13,43,1.9644779975556212,1.8719999999999999,0.355,0.585,1.2446808510638299,0.24468085106382986
X_r13,X,r13,44,1.9744044169991053,1.928,0.885,1.965,1.3789473684210527,0.3789473684210527
X_r13,X,r13,45,1.9642715341864363,1.92,0.325,1.915,1.7098214285714284,0.7098214285714284
X_r13,X,r13,46,1.980799570328804,1.8639999999999999,1.355,0.385,0.4425287356321839,0.5574712643678161
X_r13,X,r13,47,1.970971658308259,1.904,0.635,1.685,1.4525862068965516,0.4525862068965516
X_r13,X,r13,48,1.9739229289389864,1.848,0.835,0.145,0.29591836734693877,0.7040816326530612
X_r13,X,r13,49,1.9572075646536258,1.896,0.175,1.45,1.7846153846153845,0.7846153846153845
X_r13,X,r13,50,1.9805934093621702,1.8719999999999999,1.335,0.585,0.609375,0.390625
X_r13,X,r13,51,1.9692948745485939,1.928,0.565,1.965,1.5533596837944663,0.5533596837944663
X_r13,X,r13,52,1.9463083645576398,1.896,0.025,1.45,1.9661016949152543,0.9661016949152543
X_r13,X,r13,53,1.928746952433286,1.8639999999999999,0.005,0.385,1.9743589743589742,0.9743589743589742
X_r13,X,r13,54,1.9772355785004077,1.896,1.015,1.45,1.1764705882352942,0.17647058823529416
X_r13,X,r13,55,1.9908722657261861,1.856,1.985,0.235,0.2117117117117117,0.7882882882882883
X_r13,X,r13,56,1.973463390144873,1.888,0.785,1.155,1.190721649484536,0.19072164948453607
X_r13,X,r13,57,1.9735435413238362,1.896,0.795,1.45,1.2917594654788418,0.2917594654788418
X_r13,X,r13,58,1.9718501621653348,1.8719999999999999,0.655,0.585,0.9435483870967741,0.05645161290322587
X_r13,X,r13,59,1.9795038749447664,1.88,1.235,0.835,0.8067632850241544,0.1932367149758456
X_r13,X,r13,60,1.9827306419344315,1.8639999999999999,1.525,0.385,0.40314136125654454,0.5968586387434555
X_r13,X,r13,61,1.9572136864258058,1.84,0.185,0.055,0.45833333333333337,0.5416666666666666
X_r13,X,r13,62,1.9849836779917882,1.888,1.695,1.155,0.8105263157894737,0.18947368421052635
X_r13,X,r13,63,1.9850895597166334,1.8639999999999999,1.725,0.385,0.3649289099526066,0.6350710900473935
X_r13,X,r13,64,1.9650702681534602,1.888,0.375,1.155,1.5098039215686274,0.5098039215686274
X_r13,X,r13,65,1.9677547360913614,1.84,0.495,0.055,0.19999999999999998,0.8
X_r13,X,r13,66,1.9819120915417097,1.896,1.435,1.45,1.0051993067590987,0.005199306759098743
X_r13,X,r13,67,1.9735698910055857,1.8719999999999999,0.805,0.585,0.8417266187050358,0.15827338129496415
X_r13,X,r13,68,1.956822254315662,1.928,0.145,1.965,1.8625592417061614,0.8625592417061614
X_r13,X,r13,69,1.9592615622610767,1.8719999999999999,0.195,0.585,1.4999999999999998,0.4999999999999998
X_r13,X,r13,70,1.9794356395977664,1.912,1.225,1.84,1.200652528548124,0.200652528548124
X_r13,X,r13,71,1.9762487303829803,1.88,0.965,0.835,0.9277777777777778,0.07222222222222219
X_r13,X,r13,72,1.9531163048271982,1.88,0.105,0.835,1.7765957446808511,0.7765957446808511
X_r13,X,r13,73,1.9687635763286802,1.88,0.535,0.835,1.218978102189781,0.21897810218978098
X_r13,X,r13,74,1.9845266667508203,1.896,1.655,1.45,0.9339774557165861,0.06602254428341392
X_r13,X,r13,75,1.97792515718776,1.8639999999999999,1.085,0.385,0.5238095238095238,0.47619047619047616
X_r13,X,r13,76,1.9904594784578142,1.88,1.975,0.835,0.594306049822064,0.40569395017793597
X_r13,X,r13,77,1.9600072201814016,1.8639999999999999,0.255,0.385,1.203125,0.203125
X_r13,X,r13,78,1.9655334186437912,1.8719999999999999,0.395,0.585,1.193877551020408,0.19387755102040805
X_r13,X,r13,79,1.9835731231399862,1.8639999999999999,1.585,0.385,0.39086294416243655,0.6091370558375635
X_r13,X,r13,80,1.9850024705381712,1.88,1.705,0.835,0.6574803149606299,0.34251968503937014
X_r13,X,r13,81,1.9825181285700122,1.8639999999999999,1.495,0.385,0.4095744680851064,0.5904255319148937
X_r13,X,r13,82,1.988014697856938,1.904,1.905,1.685,0.9387186629526463,0.06128133704735372
X_r13,X,r13,83,1.9720950319846233,1.8719999999999999,0.665,0.585,0.9359999999999999,0.06400000000000006
X_r13,X,r13,84,1.9800829622543121,1.8719999999999999,1.305,0.585,0.6190476190476191,0.38095238095238093
X_r13,X,r13,85,1.9660669441705418,1.912,0.405,1.84,1.6391982182628062,0.6391982182628062
X_r13,X,r13,86,1.9858421845986338,1.88,1.775,0.835,0.6398467432950191,0.3601532567049809
X_r13,X,r13,87,1.9801019891764173,1.904,1.315,1.685,1.1233333333333333,0.1233333333333333
X_r13,X,r13,88,1.9757243841755452,1.856,0.945,0.235,0.3983050847457627,0.6016949152542372
X_r13,X,r13,89,1.9742742505828785,1.8719999999999999,0.865,0.585,0.8068965517241379,0.19310344827586212
X_r13,X,r13,90,1.979431908193177,1.896,1.215,1.45,1.0881801125703565,0.08818011257035652
X_r13,X,r13,91,1.9832244376127388,1.8639999999999999,1.565,0.385,0.3948717948717949,0.6051282051282051
X_r13,X,r13,92,1.9570938037115488,1.888,0.165,1.155,1.75,0.75
X_r13,X,r13,93,1.9648293121982736,1.8719999999999999,0.365,0.585,1.231578947368421,0.2315789473684211
X_r13,X,r13,94,1.9690019249620054,1.904,0.545,1.685,1.5112107623318387,0.5112107623318387
X_r13,X,r13,95,1.9744187407317932,1.848,0.905,0.145,0.27619047619047615,0.7238095238095239
X_r13,X,r13,96,1.9644433546681344,1.888,0.335,1.155,1.5503355704697988,0.5503355704697988
X_r13,X,r13,97,1.9622878764344944,1.888,0.285,1.155,1.6041666666666667,0.6041666666666667
X_r13,X,r13,98,1.9750695025449323,1.896,0.915,1.45,1.2262156448202959,0.22621564482029588
X_r13,X,r13,99,1.9888123563162523,1.888,1.935,1.155,0.7475728155339806,0.2524271844660194
X_r13,X,r13,100,1.9767422947044782,1.888,0.985,1.155,1.0794392523364487,0.07943925233644866
X_r13,X,r13,101,1.966456539878339,1.88,0.465,0.835,1.2846153846153845,0.2846153846153845
X_r13,X,r13,102,1.9664461475663464,1.888,0.455,1.155,1.434782608695652,0.4347826086956521
X_r13,X,r13,103,1.9703651902398476,1.888,0.615,1.155,1.305084745762712,0.30508474576271194
X_r13,X,r13,104,1.9820253139780883,1.912,1.445,1.84,1.1202435312024352,0.12024353120243525
X_r13,X,r13,105,1.9817101628111051,1.856,1.405,0.235,0.2865853658536585,0.7134146341463414
X_r13,X,r13,106,1.9597815079721783,1.84,0.235,0.055,0.37931034482758624,0.6206896551724137
X_r13,X,r13,107,1.9597590053360878,1.88,0.225,0.835,1.5754716981132073,0.5754716981132073
X_r13,X,r13,108,1.978561152950277,1.888,1.115,1.155,1.0176211453744493,0.017621145374449254
X_r13,X,r13,109,1.9754796689970886,1.888,0.925,1.155,1.1105769230769231,0.11057692307692313
X_r13,X,r13,110,1.9743124424095753,1.888,0.875,1.155,1.1379310344827585,0.13793103448275845
X_r13,X,r13,111,1.9569925798028234,1.896,0.155,1.45,1.8068535825545171,0.8068535825545171
X_r13,X,r13,112,1.983339961688769,1.856,1.575,0.235,0.2596685082872928,0.7403314917127072
X_r13,X,r13,113,1.9699773939667855,1.8719999999999999,0.595,0.585,0.9915254237288136,0.008474576271186418
X_r13,X,r13,114,1.986118471764098,1.92,1.825,1.915,1.0240641711229945,0.024064171122994527
X_r13,X,r13,115,1.9599492071484863,1.92,0.245,1.915,1.7731481481481481,0.7731481481481481
X_r13,X,r13,116,1.979174649202302,1.8639999999999999,1.185,0.385,0.49044585987261147,0.5095541401273885
X_r13,X,r13,117,1.9857120440595335,1.928,1.765,1.965,1.0536193029490617,0.0536193029490617
X_r13,X,r13,118,1.9840586292171514,1.904,1.625,1.685,1.0181268882175227,0.01812688821752273
X_r13,X,r13,119,1.979990217789643,1.84,1.285,0.055,0.08208955223880599,0.917910447761194
X_r13,X,r13,120,1.9823318780710224,1.896,1.485,1.45,0.9880749574105622,0.011925042589437829
X_r13,X,r13,121,1.985234446344809,1.896,1.745,1.45,0.9076682316118935,0.09233176838810653
X_r13,X,r13,122,1.9783260268712486,1.904,1.105,1.685,1.2078853046594982,0.20788530465949817
X_r13,X,r13,123,1.989469407913432,1.856,1.955,0.235,0.2146118721461187,0.7853881278538812
X_r13,X,r13,124,1.9818170373967396,1.888,1.425,1.155,0.8953488372093024,0.10465116279069764
X_r13,X,r13,125,1.982762128874991,1.88,1.535,0.835,0.7046413502109704,0.2953586497890296
X_r13,X,r13,126,1.963125561728933,1.848,0.295,0.145,0.6590909090909092,0.34090909090909083
X_r13,X,r13,127,1.9509003026120615,1.8639999999999999,0.055,0.385,1.75,0.75
X_r13,X,r13,128,1.9870113054499043,1.936,1.865,1.995,1.0336787564766838,0.033678756476683835
X_r13,X,r13,129,1.9526701003657971,1.888,0.085,1.155,1.8629032258064517,0.8629032258064517
X_r13,X,r13,130,1.961761071065443,1.88,0.275,0.835,1.5045045045045047,0.5045045045045047
X_r13,X,r13,131,1.9644577278115496,1.888,0.345,1.155,1.54,0.54
X_r13,X,r13,132,1.9661953269488812,1.8639999999999999,0.415,0.385,0.9625,0.03749999999999998
X_r13,X,r13,133,1.964174782167419,1.8719999999999999,0.315,0.585,1.3,0.30000000000000004
X_r13,X,r13,134,1.98128238469888,1.92,1.365,1.915,1.1676829268292683,0.16768292682926833
X_r13,X,r13,135,1.976965786941469,1.856,0.995,0.235,0.38211382113821135,0.6178861788617886
X_r13,X,r13,136,1.9851467507196494,1.888,1.735,1.155,0.7993079584775087,0.20069204152249132
X_r13,X,r13,137,1.966970523615281,1.896,0.475,1.45,1.5064935064935066,0.5064935064935066
X_r13,X,r13,138,1.978938654868385,1.928,1.165,1.965,1.255591054313099,0.25559105431309903
X_r13,X,r13,139,1.9785964117504589,1.912,1.125,1.84,1.2411467116357506,0.24114671163575063
X_r13,X,r13,140,1.9707591429750562,1.848,0.625,0.145,0.3766233766233766,0.6233766233766234
X_r13,X,r13,141,1.9725737049283076,1.896,0.705,1.45,1.345707656612529,0.345707656612529
X_r13,X,r13,142,1.9828610701061322,1.888,1.545,1.155,0.8555555555555555,0.1444444444444445
X_r13,X,r13,143,1.9770393248200004,1.888,1.005,1.155,1.0694444444444444,0.06944444444444442
X_r13,X,r13,144,1.980003562964695,1.896,1.295,1.45,1.0564663023679417,0.0564663023679417
X_r13,X,r13,145,1.978632269479028,1.896,1.145,1.45,1.1175337186897882,0.11753371868978824
X_r13,X,r13,146,1.9792563797756446,1.904,1.195,1.685,1.170138888888889,0.17013888888888906
X_r13,X,r13,147,1.9779176209254874,1.896,1.075,1.45,1.1485148514851484,0.14851485148514842
X_r13,X,r13,148,1.985999240261999,1.904,1.785,1.685,0.9711815561959655,0.028818443804034533
X_r13,X,r13,149,1.984947415474936,1.904,1.675,1.685,1.0029761904761905,0.0029761904761904656
X_r13,X,r13,150,1.9797400244603738,1.888,1.265,1.155,0.9545454545454546,0.045454545454545414
X_r13,X,r13,151,1.9730730459258272,1.8719999999999999,0.765,0.585,0.8666666666666666,0.13333333333333341
X_r13,X,r13,152,1.9679242582937564,1.888,0.515,1.155,1.3832335329341319,0.38323353293413187
X_r13,X,r13,153,1.9596432786031055,1.8639999999999999,0.205,0.385,1.305084745762712,0.30508474576271194
X_r13,X,r13,154,1.974255081156262,1.88,0.855,0.835,0.9881656804733727,0.01183431952662728
X_r13,X,r13,155,1.9866038014944223,1.904,1.845,1.685,0.9546742209631728,0.04532577903682722
X_r13,X,r13,156,1.9829548604603975,1.88,1.555,0.835,0.6987447698744771,0.3012552301255229
X_r13,X,r13,157,1.9728661556198699,1.912,0.735,1.84,1.429126213592233,0.4291262135922329
X_r13,X,r13,158,1.9737874115895668,1.904,0.825,1.685,1.3426294820717133,0.3426294820717133
X_r13,X,r13,159,1.9869286186656399,1.88,1.855,0.835,0.620817843866171,0.379182156133829
X_r13,X,r13,160,1.9730313389724117,1.88,0.755,0.835,1.050314465408805,0.05031446540880502
X_r13,X,r13,161,1.975630094643908,1.912,0.935,1.84,1.326126126126126,0.3261261261261259
X_r13,X,r13,162,1.9850049877602436,1.848,1.715,0.145,0.15591397849462363,0.8440860215053764
X_r13,X,r13,163,1.9849513599296595,1.888,1.685,1.155,0.8133802816901409,0.18661971830985913
X_r13,X,r13,164,1.9786275016276647,1.904,1.135,1.685,1.1950354609929077,0.1950354609929077
X_r13,X,r13,165,1.966403447381249,1.8639999999999999,0.435,0.385,0.9390243902439024,0.060975609756097615
X_r13,X,r13,166,1.9825933357139398,1.912,1.515,1.84,1.0968703427719821,0.09687034277198214
X_r13,X,r13,167,1.9865424240793794,1.888,1.835,1.155,0.7725752508361203,0.22742474916387967
X_r13,X,r13,168,1.98526411232954,1.8639999999999999,1.755,0.385,0.3598130841121496,0.6401869158878504
