entity,entity_type,replicate,s1,s2,s3,retained,determinant,closure,balance,relation_dominance
Phi-plus,physically_prepared,0,0.9944404649129694,0.9620842108724971,0.8586793129935943,3,-0.8215289560493826,0.9365715441358865,0.863479859569817,0.9669089780069592
Phi-minus,physically_prepared,0,1.1406637507567061,0.8783422826767383,0.8305120474272839,3,-0.832084375,0.940565667902106,0.7280954153897936,0.9536113934732849
Psi-plus,physically_prepared,0,1.0311797840705508,1.003751816316942,0.7333130901863993,3,-0.759014673580247,0.912185975069465,0.7111399016102393,0.9903317973180673
Psi-minus,physically_prepared,0,0.9807077774759602,0.9088042294994965,0.7573416686299674,3,-0.6749969511574073,0.8772040007404163,0.7722398924775856,0.9788942401081696
Phi-classical,equal_weight_reconstruction,0,0.9216891969720847,0.07459364768909842,0.02544063992840952,1,0.0017490989274691303,0.12048642667701186,0.027602189558027384,0.9036091321938855
Psi-classical,equal_weight_reconstruction,0,0.9369839653045237,0.14161536756677934,0.047523420129905826,1,-0.00630594575906636,0.18474955894593367,0.05071956606478374,0.9718045768336236
Bell-uniform-mixed,equal_weight_reconstruction,0,0.12605655679300304,0.0938373443848456,0.011232624487537824,0,-0.00013286860930266156,0.0510278726666051,0.08910781615257722,0.5192464791747088
Phi-plus,physically_prepared,1,1.0343853945345909,0.9327743452465012,0.9043853337925349,3,-0.8725945244444443,0.9555883090349423,0.8743214459243714,0.9715974540671803
Phi-minus,physically_prepared,1,1.1833887735434192,1.0160012612715743,0.7363847675440955,3,-0.8853734375000002,0.9602304993032259,0.6222678328603201,0.9554385818328669
Psi-plus,physically_prepared,1,1.0088945767772333,0.9148460391163893,0.6833914698003437,3,-0.6307588507407407,0.8576059479132407,0.6773665807416055,0.9881403406210216
Psi-minus,physically_prepared,1,0.9949009464751466,0.8903823418456186,0.8265049394583407,3,-0.7321529824999999,0.9012956575136964,0.8307409319355668,0.9892908232265971
Phi-classical,equal_weight_reconstruction,1,0.950122457900142,0.1272565078804872,0.057323184077955947,1,0.006930904114583333,0.19066162794623562,0.0603324167335708,0.9656956407621671
Psi-classical,equal_weight_reconstruction,1,0.9320829755056089,0.1358944173424452,0.01046965559165438,1,-0.0013261375945216019,0.10986588598805364,0.011232536015342527,0.9802619218891413
Bell-uniform-mixed,equal_weight_reconstruction,1,0.17539225205571649,0.10008882682331935,0.07512206158829077,0,0.0013187531230107066,0.10966158037413029,0.42830889453672616,0.7550022415885919
Phi-plus,physically_prepared,2,1.0431593067142515,1.0100733752718263,0.8066077381902235,3,-0.8498963120987651,0.9472297178723742,0.7732354329760817,0.9888339392923867
Phi-minus,physically_prepared,2,1.184449645629732,0.8961314903589074,0.878262248109713,3,-0.932207421875,0.9768716786373791,0.7414939515159976,0.9612567933034788
Psi-plus,physically_prepared,2,1.0008086047968536,0.9591449487358304,0.7607176750694481,3,-0.7302285046604938,0.9005052737519641,0.7601030520954206,0.9881305322625129
Psi-minus,physically_prepared,2,0.9336149446528347,0.8700496683923523,0.8266934898706122,3,-0.6715159899382717,0.8756934866633612,0.885475853407658,0.9862782608719336
Phi-classical,equal_weight_reconstruction,2,0.9475276172770265,0.17050631226930227,0.019558885159682456,1,0.003159922529417429,0.1467434792171942,0.02064202119605773,0.9740479436544615
Psi-classical,equal_weight_reconstruction,2,0.9235768194557618,0.11113817873955859,0.015328938389894598,1,0.001573433449074066,0.1163097510465569,0.016597361548038328,0.9855025295984989
Bell-uniform-mixed,equal_weight_reconstruction,2,0.11525483812384635,0.03846917783343359,0.024824206517492037,0,-0.00011006454568745198,0.04792356841966101,0.2153853748926127,0.7604895867282712
Phi-plus,physically_prepared,3,1.048010946106721,0.9477744647236822,0.9096423607322164,3,-0.9035277570370369,0.9667492258725094,0.8679702861038492,0.9920608507088023
Phi-minus,physically_prepared,3,1.1159032928943524,0.9495529392608985,0.8205560196894115,3,-0.8694687500000001,0.954445920013829,0.7353289706324913,0.9728350212630638
Psi-plus,physically_prepared,3,1.0270360615478036,0.9343215446921882,0.7273396115402282,3,-0.6979419405555554,0.8870329764991658,0.7081928656371469,0.9889657921836764
Psi-minus,physically_prepared,3,0.9252757760343026,0.8606680889885799,0.8165118481746415,3,-0.6502335655246914,0.8663428486035859,0.882452420481795,0.9786398873436842
Phi-classical,equal_weight_reconstruction,3,0.9688985111507437,0.08989968256847972,0.006628575467183752,1,-0.0005773732407407396,0.08326942210790486,0.006841351690499669,0.9684600328904147
Psi-classical,equal_weight_reconstruction,3,0.9104520956793567,0.14066716040370203,0.06303716627305526,1,-0.008073214702932095,0.20060827068284914,0.0692372136570442,0.9860128167583887
Bell-uniform-mixed,equal_weight_reconstruction,3,0.09091615545474592,0.051835462475877926,0.02130433927627127,0,0.00010040055416907791,0.04647777936578502,0.23432952229128998,0.5021232907080697
Phi-plus,physically_prepared,4,1.0136383544303076,0.9436057637344257,0.9202443782722367,3,-0.8801907358024691,0.958353200904365,0.9078626260047541,0.9943096308251518
Phi-minus,physically_prepared,4,1.0470210712912034,0.9762542871508787,0.8607143141552538,3,-0.87978671875,0.9582065469741673,0.822060164552187,0.973823402859466
Psi-plus,physically_prepared,4,1.013945535560158,0.8858478861689714,0.8238637601059922,3,-0.7399956728395061,0.9045024066139381,0.8125325584187769,0.9901838580153822
Psi-minus,physically_prepared,4,1.0458216155063518,0.8773540259849576,0.8288554404599999,3,-0.7605211207561731,0.9127890604106583,0.7925399783008844,0.9805937730995866
Phi-classical,equal_weight_reconstruction,4,0.9482024770472527,0.06559903216323087,0.03187714251343395,1,-0.001982795394483025,0.12562979000305083,0.033618497404373886,0.9747208816034363
Psi-classical,equal_weight_reconstruction,4,0.9536098192891979,0.09371519408958397,0.0261942832637534,1,-0.002340923615933641,0.13277890444772567,0.027468554469455973,0.9854241576059886
Bell-uniform-mixed,equal_weight_reconstruction,4,0.13431300569162002,0.07710257476015699,0.013166309015647998,0,-0.00013634869728370986,0.051469545230689924,0.09802705961236234,0.7576635680301642
Phi-plus,physically_prepared,5,1.0327981214624455,0.943944418981088,0.9032726025671705,3,-0.8806040938271606,0.958503199070859,0.8745877667632987,0.9922803680589861
Phi-minus,physically_prepared,5,1.100867998887486,0.9790523217903851,0.8245240749804201,3,-0.8886781249999999,0.9614237139991747,0.7489763312346863,0.9624351320151863
Psi-plus,physically_prepared,5,1.0444691297196969,0.963338585334191,0.6743263478206938,3,-0.6784919407407406,0.8787153866432301,0.645616350577697,0.9951144674349994
