layer,entity,axis_a,axis_b,slot,joint_value,independent_child_product,connected_relation,ara9_coordinate
raw_linear,Phi-plus,X,X,XX,0.8533333333333333,-0.0003555555555555546,0.8536888888888888,0.14631111111111117
raw_linear,Phi-plus,X,Y,XY,0.24666666666666662,-0.0007999999999999988,0.2474666666666666,0.7525333333333334
raw_linear,Phi-plus,X,Z,XZ,-0.11333333333333337,-0.0004444444444444435,-0.11288888888888893,1.112888888888889
raw_linear,Phi-plus,Y,X,YX,0.2933333333333333,-0.0017777777777777766,0.29511111111111105,0.7048888888888889
raw_linear,Phi-plus,Y,Y,YY,-0.94,-0.004000000000000003,-0.9359999999999999,1.936
raw_linear,Phi-plus,Y,Z,YZ,0.013333333333333336,-0.0022222222222222222,0.015555555555555559,0.9844444444444445
raw_linear,Phi-plus,Z,X,ZX,0.10666666666666666,0.0,0.10666666666666666,0.8933333333333333
raw_linear,Phi-plus,Z,Y,ZY,0.006666666666666682,0.0,0.006666666666666682,0.9933333333333333
raw_linear,Phi-plus,Z,Z,ZZ,0.9466666666666667,0.0,0.9466666666666667,0.053333333333333344
raw_linear,Phi-minus,X,X,XX,-0.9500000000000002,-0.0,-0.9500000000000002,1.9500000000000002
raw_linear,Phi-minus,X,Y,XY,-0.19999999999999996,-0.0,-0.19999999999999996,1.2
raw_linear,Phi-minus,X,Z,XZ,0.07499999999999998,0.0,0.07499999999999998,0.925
raw_linear,Phi-minus,Y,X,YX,-0.17499999999999993,-0.006249999999999999,-0.16874999999999993,1.16875
raw_linear,Phi-minus,Y,Y,YY,0.9500000000000001,-0.003749999999999997,0.9537500000000001,0.0462499999999999
raw_linear,Phi-minus,Y,Z,YZ,-0.14999999999999997,0.002499999999999996,-0.15249999999999997,1.1524999999999999
raw_linear,Phi-minus,Z,X,ZX,-0.025000000000000022,-0.006249999999999992,-0.01875000000000003,1.01875
raw_linear,Phi-minus,Z,Y,ZY,-0.04999999999999999,-0.003749999999999993,-0.04625,1.04625
raw_linear,Phi-minus,Z,Z,ZZ,0.95,0.0024999999999999935,0.9475,0.05249999999999999
raw_linear,Psi-plus,X,X,XX,0.855,-0.0004222222222222247,0.8554222222222222,0.1445777777777778
raw_linear,Psi-plus,X,Y,XY,0.13499999999999998,-0.003588888888888887,0.13858888888888887,0.8614111111111111
