closure_strength,determinant,directional_balance,fraction_within_0p10,group,mae,median_absolute_error,n,name,pearson,pole_quiet_accuracy,record_type,retained_directions,rmse
,,,0.4888888888888889,primary,0.12393755479865508,0.10050215719528352,45,ara,0.8538026315815387,0.8666666666666667,prediction,,0.16629322169037716
,,,0.5777777777777777,primary,0.18616243068082794,0.04781576033106019,45,ridge,0.0,0.5777777777777777,prediction,,0.30584443721799925
,,,0.5111111111111111,primary,0.2162988456468707,0.09887460874352971,45,mean8,-0.045996080789036775,0.4888888888888889,prediction,,0.3268407207596183
,,,0.7297297297297297,primary,0.08686935672595368,0.03505716918584468,37,physical_midpoint,0.9092967472452785,0.918918918918919,prediction,,0.14963007740766518
,,,0.7222222222222222,secondary,0.07104849757475586,0.05777882685630591,36,ara,0.9582553460455319,0.8888888888888888,prediction,,0.08559794123727926
,,,0.6111111111111112,secondary,0.19515786286151565,0.07080139366828951,36,ridge,0.0,0.6111111111111112,prediction,,0.29395269818021386
,,,0.3611111111111111,secondary,0.233321624291348,0.14865051038789445,36,mean8,0.027006245733747155,0.5,prediction,,0.31023123272516134
,,,0.8055555555555556,secondary,0.0871547173016979,0.07289687475428931,36,physical_midpoint,0.9287516625408944,0.8611111111111112,prediction,,0.11530948276511638
0.008865077334052817,-6.967028474218818e-07,0.1986662495634961,,primary,,,,Fig3a-mixed-input,,,entity,0,
0.5162289248999138,-0.1375710350218835,0.49776541420949133,,primary,,,,Fig3b-AA,,,entity,1,
0.5764918877274272,-0.19159298384268952,0.5525565068875816,,primary,,,,Fig3b-AD,,,entity,2,
0.528552782281336,-0.1476607567555815,0.4428722341386567,,primary,,,,Fig3b-DA,,,entity,2,
0.5276739201152035,-0.14692540282521585,0.42912539270182226,,primary,,,,Fig3b-DD,,,entity,1,
0.4893746079400279,-0.11719910479398789,0.5964545479064004,,secondary,,,,Fig4-AA,,,entity,1,
0.4759045659056388,-0.10778531977878641,0.7275287662913651,,secondary,,,,Fig4-AD,,,entity,1,
0.4999037534477181,-0.12492782897999523,0.6106954406541193,,secondary,,,,Fig4-DA,,,entity,2,
0.506389651517319,-0.12985374098219185,0.6761807461137698,,secondary,,,,Fig4-DD,,,entity,1,
