branch_index,branch,seed,pair_index,pair,scale_h_q95_exposed,crest_start,crest_end,trough_start,trough_end,predicted_return,timing_tolerance,observed_return,local_reconstruction,timing_hit,timing_error,mirror_mae,persistence_mae,no_return_mae,source_hidden_trough,neighbour_hidden_crest,direct_neighbour_transfer,transfer_lag,exact_transfer_overlap,orientation_eligible,orientation_flip,orientation_before,orientation_after,final_source_x,final_neighbour_x
0,c2,0,1,0-2,0.23403331339359276,233,240,245,249,250,10,257,1,1,7,1.216257901279019,0.36539334672065027,0.40374565913890204,250,,0,,0.4226371694429034,1,0,-1,-1,0.00621692343459065,0.25313697975602795
0,c2,0,3,0-4,0.2347406320273875,148,162,232,249,302,18,321,1,0,19,1.1867458463286686,0.3154338259574614,0.2732158204930844,250,,0,,0.16698969566034524,1,0,-1,-1,0.03741670216030042,0.27879484672458127
0,c2,0,4,0-5,0.23014700189232812,69,77,167,191,257,23,257,1,1,0,1.7606533551551244,0.4249751423698875,0.4169945624362554,250,,0,,0.3929399913360916,1,0,-1,-1,0.004284624237074809,0.3045336354557132
0,c2,0,5,0-6,0.2826390430331226,45,54,167,205,280,29,408,1,0,128,1.252504034099575,0.4296729956405672,0.41850819806572986,250,,0,,0.3885095293438541,1,0,-1,-1,0.03375462646533749,0.32169146798812737
0,c2,0,6,0-7,0.22514700889587397,101,107,216,223,325,28,402,1,0,77,1.0991316093645955,0.418755944345321,0.3947597435797029,250,424,0,174,0.27815668411571187,1,0,-1,-1,0.06922937172719429,0.29104707824176973
0,c2,0,7,0-8,0.3468440994620322,194,199,236,249,273,10,,0,0,,1.3159239833243932,0.16265277161631103,0.34266885105260153,258,,0,,0.1767482864223801,0,0,-1,0,0.11353439839173848,1.305279525990383
0,c2,0,8,0-9,0.21940326169133167,67,71,165,176,259,24,256,1,1,3,1.5147501427622754,0.463299597692744,0.41132185261289217,250,,0,,0.3629197373616891,1,0,-1,-1,0.7714413425953116,1.4133701196381447
0,c2,0,9,0-10,0.21249278336763364,46,57,167,172,277,28,256,1,1,21,1.758155739690653,0.6875225004580165,0.6378246534612463,250,483,0,233,0.20862383475601343,1,0,-1,-1,0.42550490688060366,0.3693147036949432
0,c2,0,10,0-11,0.23636834397912015,176,184,228,236,272,11,480,1,0,208,1.4153358935231237,0.30008190895468034,0.3192788383521189,266,254,0,-12,0.3023979118540396,1,0,-1,-1,0.016349220914937776,0.4424900966177096
0,c2,0,12,1-3,0.17469603493809693,162,167,239,244,311,18,250,1,0,61,1.189982968718991,2.5477487896792295,0.6258346801390743,257,,0,,0.23151207813001512,1,0,-1,-1,0.01056586318477055,0.2609697066877884
0,c2,0,13,1-4,0.3133668407797811,96,102,177,216,252,19,,0,0,,1.2848823316287699,0.5439073727317236,0.3594966510286907,256,,0,,0.27110535760325893,0,0,-1,0,0.19772914941358144,0.2906344005607595
0,c2,0,14,1-5,0.19484848529100418,164,170,228,232,286,15,294,1,1,8,1.1785154996710758,0.5140791323182139,0.4209282045215735,268,,0,,0.23681090496767793,1,0,-1,-1,0.020918845836634052,0.29135591072532174
0,c2,0,15,1-6,0.2269107140600681,166,172,212,216,252,10,303,1,0,51,1.807693611898161,0.41529579410925066,0.4483218404736104,250,,0,,0.1869306183806205,1,0,-1,-1,0.29747670206904414,0.29309928624212783
0,c2,0,17,1-8,0.28447584509849533,21,28,139,166,250,28,250,1,1,0,1.2856286424663308,3.1988884039432794,0.44738480767610705,258,,0,,0.29677357823178546,1,0,-1,-1,0.998740192343864,1.36079689399379
0,c2,0,18,1-9,0.18683056235313397,57,69,181,185,293,28,254,1,0,39,1.4128369649227837,0.6128630386842069,0.6130153055537174,284,,0,,0.18466821185920285,1,0,-1,-1,6.551689781648205,1.3943017339155641
0,c2,0,19,1-10,0.14493623226881025,164,172,211,246,250,10,253,1,1,3,1.3236247714873453,0.961947620600098,0.9402561219088773,278,475,0,197,0.198548041170232,1,0,-1,-1,4.50945781053811,0.36574733562779776
0,c2,0,20,1-11,0.23082753419876012,22,29,167,172,305,35,250,1,0,55,1.3350070745396305,3.0128448815697837,0.4662764422964861,257,483,0,226,0.4195901831641348,1,0,-1,-1,0.11117827489616049,0.3469788564235569
