split,branch,seed,time,source_pair,endpoint,lag,weight,release,accumulation,rotation_error,no_rotation_error,angle_deg,spectrum_similarity
development,c2,0,8,"(4, 11)",4,2,0.023168922022036575,0.057625845074653625,0.40205782651901245,0.2568256762581337,1.0,180.0,0.9664577445571804
development,c2,0,14,"(9, 10)",9,2,0.0002157231160695161,0.0156664177775383,0.013769779354333878,0.003843725726973321,0.003843725726973321,0.0,0.9999926128589829
development,c2,0,18,"(3, 5)",5,2,0.0013039244611565692,0.09871429204940796,0.01320907473564148,0.222733188830963,1.0,180.0,0.9748794420815275
development,c2,0,26,"(2, 11)",11,2,5.869172670133413e-05,0.0019425132777541876,0.030214324593544006,0.042120558533435354,1.0,180.0,0.9991125354777767
development,c2,0,38,"(3, 7)",3,2,1.915402667134348e-05,0.004168418236076832,0.004595034755766392,0.004101592092127573,1.0,180.0,0.9999915884357775
development,c2,0,42,"(1, 10)",1,2,0.0006418807501204493,0.016910476610064507,0.037957578897476196,0.04846988248912555,1.0,180.0,0.9988246445154878
development,c2,0,64,"(6, 10)",6,2,3.2094923315789705e-07,0.0009705277043394744,0.0003306955914013088,0.00016677034910974773,0.00016677034910974773,0.0,0.9999999860938253
development,c2,0,68,"(2, 4)",2,2,0.00042589543738952296,0.03254890814423561,0.013084784150123596,0.028355461592116226,1.0,180.0,0.9995979030579736
development,c2,0,72,"(2, 8)",2,2,2.7369070941418716e-05,0.018138930201530457,0.0015088580548763275,0.11343393146808456,0.11343393146808456,0.0,0.9935455415790936
development,c2,0,90,"(7, 9)",7,2,1.5234177043508363e-06,0.0020012902095913887,0.0007612177869305015,0.002628262380638529,0.002628262380638529,0.0,0.9999965461124645
development,c2,0,96,"(7, 10)",10,2,2.2284079026242166e-05,0.011614839546382427,0.001918586902320385,0.010843167222813697,1.0,180.0,0.9999412111342237
development,c2,0,102,"(1, 6)",1,2,0.000572737922140909,0.014210814610123634,0.04030296206474304,0.02191083992872654,0.02191083992872654,0.0,0.9997599287297014
development,c2,0,106,"(1, 10)",1,2,0.00034743517001319113,0.017332009971141815,0.020045867189764977,0.0615145563917132,0.0615145563917132,0.0,0.9981061864110103
development,c2,0,136,"(4, 11)",4,2,0.0010506616176463035,0.018010949715971947,0.058334603905677795,0.20396639144672568,1.0,180.0,0.9789778910476994
development,c2,0,156,"(6, 10)",10,2,2.0186613587562052e-06,0.0022247491870075464,0.0009073658147826791,0.006806591999394715,0.006806591999394715,0.0,0.9999768348843654
development,c2,0,160,"(7, 10)",10,2,7.2775687513272624e-06,0.0012907572090625763,0.005638216622173786,0.017831408867137074,0.017831408867137074,0.0,0.9998410077896449
development,c2,0,196,"(2, 4)",2,2,0.00042232480066435596,0.01220050547271967,0.034615352749824524,0.03662040802170786,0.03662040802170786,0.0,0.9993292479039747
development,c2,0,218,"(7, 9)",7,2,7.094666931271691e-05,0.000741701340302825,0.0956539586186409,0.1739806304921954,1.0,180.0,0.9847490747462209
development,c2,0,220,"(6, 10)",10,2,1.8286407088522892e-06,0.0011788745177909732,0.0015511750243604183,0.0021993146653777294,0.0021993146653777294,0.0,0.9999975815045766
development,c2,0,230,"(3, 7)",3,2,0.007652045167729327,0.04369693994522095,0.17511627078056335,0.051007385644813,1.0,180.0,0.9986982760622355
development,c2,0,234,"(3, 11)",3,2,0.000136234072518171,0.0015011578798294067,0.09075266122817993,0.2881541551787938,1.0,180.0,0.9575840343558344
development,c2,2,3,"(4, 8)",8,2,0.00014536671225706677,0.016013264656066895,0.009077893570065498,0.23443576451803808,0.23443576451803808,0.0,0.9721316126506961
development,c2,2,19,"(4, 6)",6,2,0.001747671528135153,0.04215936362743378,0.04145393520593643,0.0021185513673878447,1.0,180.0,0.9999977558675339
development,c2,2,23,"(8, 10)",8,2,9.870005659114492e-08,0.00020449020667001605,0.00048266397789120674,0.0015778302022012595,1.0,180.0,0.9999987552251517
development,c2,2,27,"(1, 2)",2,2,0.0010593442876978068,0.06835053116083145,0.015498698689043522,0.14824222962102007,1.0,180.0,0.9889510813771268
development,c2,2,27,"(1, 10)",10,2,1.4997425699710826e-05,0.005953654646873474,0.0025190284941345453,0.010458864198189638,1.0,180.0,0.9999453045840476
development,c2,2,35,"(6, 11)",6,2,3.0409284807575432e-05,0.005190432071685791,0.005858719348907471,0.00261579524871783,0.00261579524871783,0.0,0.9999965788017561
development,c2,2,43,"(2, 9)",2,2,3.252178236712311e-06,0.0019903331995010376,0.0016339868307113647,0.08591011409623317,0.08591011409623317,0.0,0.9963028918436262
development,c2,2,59,"(1, 6)",6,2,2.1593327708272284e-05,0.014351380057632923,0.0015046168118715286,0.004056181603555967,0.004056181603555967,0.0,0.9999917736615632
development,c2,2,73,"(0, 7)",7,2,2.2894255469033814e-05,0.0003988812677562237,0.057396166026592255,0.0927708557405871,0.0927708557405871,0.0,0.9956874852709353
development,c2,2,77,"(1, 11)",1,2,1.243933417979467e-06,0.001308324746787548,0.0009507833747193217,0.02056211746761921,0.02056211746761921,0.0,0.9997885773128475
development,c2,2,89,"(0, 5)",5,2,0.0011463871389232327,0.011796575970947742,0.09717965126037598,0.21130637676509184,1.0,180.0,0.9774198765824283
development,c2,2,107,"(2, 9)",2,2,8.262381028427412e-05,0.03729479759931564,0.0022154245525598526,0.039382432021833454,0.039382432021833454,0.0,0.9992242110998139
development,c2,2,115,"(4, 10)",10,2,0.0037999679970646127,0.03821462392807007,0.09943753480911255,0.20752279734450738,0.20752279734450738,0.0,0.9782301817989008
development,c2,2,121,"(0, 9)",9,2,6.82390221429241e-05,0.054251253604888916,0.00125783309340477,0.11695166256596086,1.0,180.0,0.9931376081002358
development,c2,2,147,"(4, 6)",6,2,0.008324359228405243,0.04851113259792328,0.17159688472747803,0.28585863091872,1.0,180.0,0.958271800236903
