control,lag,events,weight,best_error
exact,0,76043,78.51354445110424,0.9026789364819754
exact,1,76043,78.51354445110424,0.9035478650040428
exact,2,76043,78.51354445110424,0.9016332674804396
exact,3,76043,78.51354445110424,0.9013641125398417
exact,4,76043,78.51354445110424,0.9009197053905545
exact,5,76043,78.51354445110424,0.8999000361170365
exact,6,76043,78.51354445110424,0.8991612237161457
seed,0,76043,78.51354445110424,0.9001652746537742
seed,1,76043,78.51354445110424,0.9004847821524753
seed,2,76043,78.51354445110424,0.8998314590564129
seed,3,76043,78.51354445110424,0.89899366335492
seed,4,76043,78.51354445110424,0.9005648609339338
seed,5,76043,78.51354445110424,0.9009036907994405
seed,6,76043,78.51354445110424,0.9004598700530951
time,0,76043,78.51354445110424,0.9003065806631596
time,1,76043,78.51354445110424,0.9003074037920374
time,2,76043,78.51354445110424,0.9004241326581153
time,3,76043,78.51354445110424,0.8988498670396572
time,4,76043,78.51354445110424,0.8996963152821998
time,5,76043,78.51354445110424,0.9010563976903729
time,6,76043,78.51354445110424,0.899067463529633
