run,condition_hz,fold_index,arm,selected_axis,training_cv_i_ba,training_cv_q_ba,balanced_accuracy,mcc,kappa,tn,fp,fn,tp,ara_raw_disagreements,pole_reversal_disagreements,complement_max_residual,ara_out_of_range_fraction,score_margin_median
primary_first_readout,0,0,i_only,I,0.8712579999999999,0.591052,0.94165,0.8838285887497912,0.8833,47947,2053,3782,46218,,,,,
primary_first_readout,0,0,q_only,I,0.8712579999999999,0.591052,0.51599,0.03260421091925665,0.0319799999999999,20931,29069,19332,30668,,,,,
primary_first_readout,0,0,selected_onecut,I,0.8712579999999999,0.591052,0.94165,0.8838285887497912,0.8833,47947,2053,3782,46218,,,,,
primary_first_readout,0,0,ara_twocut,I,0.8712579999999999,0.591052,0.9414,0.883304705504011,0.8828,47915,2085,3775,46225,0,0,4.440892098500626e-16,0.44565,2.6325969118435726
primary_first_readout,0,0,raw_iq_lda,I,0.8712579999999999,0.591052,0.9414,0.883304705504011,0.8828,47915,2085,3775,46225,,,,,2.632596911843547
primary_first_readout,0,0,raw_iq_qda,I,0.8712579999999999,0.591052,0.9405300000000001,0.8814852974331118,0.88106,47803,2197,3750,46250,,,,,
primary_first_readout,0,0,label_shuffle,I,0.8712579999999999,0.591052,0.9273499999999999,0.854709280312806,0.8547,46484,3516,3749,46251,,,,,
primary_first_readout,0,0,pair_destroyed,I,0.8712579999999999,0.591052,0.9413,0.8830962586763121,0.8826,47903,2097,3773,46227,,,,,
primary_first_readout,10,1,i_only,I,0.8696200000000001,0.574622,0.94692,0.8963699921253911,0.89384,49223,777,4531,45469,,,,,
primary_first_readout,10,1,q_only,I,0.8696200000000001,0.574622,0.60084,0.2103877985020715,0.20168000000000008,22924,27076,12840,37160,,,,,
primary_first_readout,10,1,selected_onecut,I,0.8696200000000001,0.574622,0.94692,0.8963699921253911,0.89384,49223,777,4531,45469,,,,,
primary_first_readout,10,1,ara_twocut,I,0.8696200000000001,0.574622,0.9468799999999999,0.8962897656873596,0.8937600000000001,49221,779,4533,45467,0,0,4.440892098500626e-16,0.537215,2.7398844359293175
