split,branch,seed,source_time,origin_time,shared_node,source_other_node,child_other_node,source_pair,child_pair,closing_pair_1p5,open_edge_control,weight,q28_residual_fraction,exact_1p5_error,exact_3p5_composite_error,seed_error,time_error,open_edge_error,exact_beta,exact_flip
development,c2,1,184,186,6,1,5,1-6,5-6,1-5,1-7,0.00024838375181008426,0.009631967706665922,0.998865793907987,0.00962104307021495,0.9796555242502265,0.9677440855743172,0.9977159520778724,0.005557024839492586,I
development,c2,3,118,120,7,4,6,4-7,6-7,4-6,4-5,5.009810987600255e-07,0.11058006035519202,0.9964894990175652,0.11019186894467742,0.9954650485346785,0.9960413915446128,0.9829235127119476,0.0018861845433661084,I
development,c2,5,180,182,11,1,0,1-11,0-11,0-1,1-5,0.00010145370747626295,0.042223821631982315,0.9985094081672541,0.04216088314831036,0.9812875970409972,0.9751807306912974,0.998968603345289,0.006114482283474854,I
development,c2,7,10,12,10,1,11,1-10,10-11,1-11,1-2,9.816635233622552e-05,0.03165405289575321,0.9992227673502267,0.03162945033234498,0.9995425339929237,0.9994613377008982,0.9978804398977421,0.00700042861022489,Fz
development,c2,10,96,98,1,2,0,1-2,0-1,0-2,2-8,0.0002250426215638368,0.18370620701108029,0.9921468587489776,0.1822635362187327,0.9784469802723745,0.9745879138439391,0.982459628507776,0.008102756674350153,Fx
development,c2,13,36,38,9,4,8,4-9,8-9,4-8,4-6,0.00011228745828761877,0.12476794087587738,0.998968905319809,0.12463929331578187,0.9995443441873331,0.9996501718203832,0.9977389004465351,0.030576710617839193,I
development,c2,14,120,122,4,9,5,4-9,4-5,5-9,9-10,1.384339101662222e-06,0.011282190903868448,0.9995322096911887,0.011276913204301459,0.9808758011395433,0.9999065008222126,0.9996584000336624,0.00023853353037484035,Fz
development,c2,14,140,142,6,3,5,3-6,5-6,3-5,3-11,7.949623382880883e-05,0.009424734313615554,0.991356249275406,0.009343269259563134,0.971654223898346,0.9759292886277393,0.9903972337631468,0.0005380563795769197,I
development,c2,16,60,62,10,6,9,6-10,9-10,6-9,6-8,4.634513572033909e-06,0.020253176401370494,0.999747771360022,0.020248067970231542,0.9962867169565877,0.9996642316606108,0.9991854898882665,0.0006846547375327766,I
development,c2,16,92,94,3,5,2,3-5,2-3,2-5,5-8,0.0010475004068432048,0.034900739677497676,0.9963651332491367,0.034773880139263406,0.9924248695191765,0.9956861509829382,0.9964426300187695,0.0147241901706196,I
development,c2,18,54,56,10,7,9,7-10,9-10,7-9,2-7,0.0052721028764379785,0.10012254594147647,0.9871709699715774,0.09883807079307115,0.9867457040163115,0.983532186595217,0.9932512793093173,0.03340248570583291,I
development,c2,20,140,142,11,7,0,7-11,0-11,0-7,2-7,7.869480860874314e-05,0.04066709416363343,0.9993565975845209,0.040640928857018026,0.9973808792875417,0.9982207120273214,0.9993322744197944,0.001230547033159,Fz
development,c2,21,10,12,8,5,7,5-8,7-8,5-7,4-5,5.616946110325455e-06,0.04775367877372454,0.9995147849813867,0.04773050797158949,0.9979354315232488,0.9992775480308672,0.9418373856393095,0.0003432531916664117,Fz
development,c2,21,84,86,11,1,10,1-11,10-11,1-10,1-9,1.0528480380353156e-07,0.0013162997435318374,0.9998905924460978,0.0013161557303966954,0.9969635730907457,0.9992219611045061,0.9951299825950384,2.0804763750407747e-06,Fx
development,c2,29,28,30,3,1,2,1-3,2-3,1-2,1-5,0.0006188704653132746,0.0191500224111984,0.9974368481600946,0.019100937996020907,0.9348715373810359,0.9962682289214659,0.9974440210699194,0.04480903494703821,Fz
development,c2,32,94,96,11,10,0,10-11,0-11,0-10,9-10,3.1184380721201166e-05,0.011673956547442263,0.9991508239747037,0.011664043303421823,0.9996222039589574,0.9978210349409146,0.9956997517666173,0.0003202022761726942,Fx
development,c2,32,228,230,2,4,1,2-4,1-2,1-4,4-5,4.7410057865945876e-05,0.12124208078559859,0.9921433649670451,0.12028952600623011,0.9950498331109952,0.991059399578338,0.9279241764919217,0.0029551036295434566,Fx
development,c2,34,70,72,6,10,5,6-10,5-6,5-10,4-10,9.270085073702361e-05,0.02735346777922925,0.9987307657109716,0.02731874982000002,0.9990952445184359,0.9986024140690771,0.9982384562587542,0.005292571653875887,Fz
development,c2,36,72,74,11,6,0,6-11,0-11,0-6,6-10,1.67863709298402e-05,0.13072561068637586,0.999911278837971,0.13071401255828882,0.9999662045066748,0.9977688572967685,0.9999459311418574,0.03028233848547785,I
development,c2,36,166,168,3,11,4,3-11,3-4,4-11,7-11,6.789137965657554e-06,0.01905219971032579,0.9990137226100173,0.01903340895652206,0.9774079694571759,0.9996566813014662,0.9946536083696137,0.0005820119652520775,I
development,c2,37,72,74,1,5,2,1-5,1-2,2-5,5-7,0.001000885277717689,0.10812738543007931,0.9763971960468196,0.10557527594980318,0.9990805831774645,0.9988162257348772,0.9988084240759979,0.018927496072281485,I
development,c2,37,208,210,2,5,1,2-5,1-2,1-5,5-11,4.520014695825331e-06,0.018103661132895098,0.9998528587816584,0.018100997338139562,0.9964746193763623,0.9991648845086263,0.9997692611570911,0.00027297381434012694,Fz
development,c2,39,10,12,11,1,10,1-11,10-11,1-10,1-2,0.002070730450873026,0.05484384018037946,0.9962963974452843,0.05464072039377699,0.9890395871808705,0.9918516120877333,0.9965799577336641,0.03168311175246783,I
development,c2,39,202,204,2,9,1,2-9,1-2,1-9,5-9,0.001062377103312681,0.18335258644992672,0.999338219992182,0.18323124737383242,0.9789669601763386,0.998641367042356,0.9990945178959364,0.23456286187330622,Fz
development,c2,40,12,14,4,7,5,4-7,4-5,5-7,7-11,0.0023038331194102923,0.07624701620533632,0.9251271818950887,0.07053818722995195,0.8770504370734155,0.9694037646388272,0.9216607845195042,0.06691241572134148,I
development,c2,41,126,128,3,0,4,0-3,3-4,0-4,0-7,0.0022544394606236196,0.141284169463673,0.9973464377776344,0.1409092631289659,0.9933825672272728,0.9975648586915199,0.9967503981820905,0.17367905683440835,I
development,c2,42,6,8,4,11,5,4-11,4-5,5-11,3-11,0.002216604018174806,0.456413382518821,0.9981710187879995,0.4555786110172885,0.998309896377935,0.9911756307280668,0.998383611718723,4.047779174852631,Fz
development,c2,45,38,40,1,3,2,1-3,1-2,2-3,3-6,6.754250884379032e-05,0.07502083831494838,0.9981983512809726,0.07488567711769789,0.9695192560259935,0.9955661526744608,0.9706406747357968,0.0019101896048255738,Fx
development,c2,49,26,28,1,11,2,1-11,1-2,2-11,4-11,0.0006074998576088148,0.11677109922541129,0.9973286831278803,0.11645916661787448,0.9967131086550975,0.9845475955849663,0.9965006199554934,0.024349165706774735,I
development,c2,52,238,240,6,3,7,3-6,6-7,3-7,3-8,5.008579018889181e-07,0.07228643212264294,0.9973153608728061,0.07209236913860124,0.9968650784090205,0.997307535461698,0.9935645198528633,0.006365972185514289,I
development,c2,54,4,6,0,11,8,0-11,0-8,8-11,1-11,0.00013691986632061864,0.05584470658297138,0.998808257901616,0.05577815409516455,0.9996244963454012,0.9936622830908427,0.999060051007632,0.004909184892126334,Fz
development,c2,54,92,94,3,11,4,3-11,3-4,4-11,9-11,0.0015312153245136684,0.03963290573836464,0.9810662921377733,0.03888250787938328,0.9804995245256056,0.9819460712841326,0.9831111249205164,0.025134711603766662,I
development,c2,55,220,222,4,6,3,4-6,3-4,3-6,0-6,0.0043019431323991775,0.025606789490176193,0.9975056000005028,0.025542915914484772,0.9954727031025942,0.9974996863504081,0.9952240496840729,2.5662820894697482,Fx
development,c2,58,176,178,7,3,8,3-7,7-8,3-8,3-10,2.0616334783940798e-05,0.004525361905854737,0.9604227695979048,0.00434626061505386,0.9992781849995305,0.9997923084048004,0.9897643546970024,9.13456149903661e-05,Fx
development,c2,59,240,242,2,11,3,2-11,2-3,3-11,4-11,0.0008710156050384388,0.11097325388289846,0.9970621203549744,0.11064722781917363,0.9974126883388391,0.997696886460347,0.99708845001968,0.12481833516128077,I
development,c2,60,200,202,4,7,3,4-7,3-4,3-7,7-9,1.7325616171214638e-06,0.0027469587947671634,0.9997544325634301,0.0027462842311375695,0.9994950856199422,0.9998941214130176,0.9993928743239865,5.117456342831892e-05,Fz
development,c2,62,58,60,3,9,4,3-9,3-4,4-9,8-9,5.183833370321286e-06,0.03738555337660244,0.9998217773620186,0.037378890424657266,0.9735739089254932,0.9996326533295402,0.9996172814182699,0.003208103693789357,Fz
development,c2,62,156,158,8,3,9,3-8,8-9,3-9,3-7,6.85158860378168e-05,0.039366052807098054,0.999699327790504,0.03935421652902141,0.9984997163247148,0.995408460930661,0.9994195945531166,0.019446028419208106,I
development,c2,62,174,176,7,11,8,7-11,7-8,8-11,5-11,0.0011502982214784616,0.12910705330186792,0.9973854967434748,0.12876950249056981,0.9819573789822903,0.9931577125535774,0.998435497423363,0.06268938581571315,I
development,c2,62,194,196,4,11,3,4-11,3-4,3-11,1-11,0.0003964972794795324,0.0005963900824026132,0.990559082320059,0.0005907596127295169,0.9821392237201728,0.9991046796938539,0.9969286427005467,3.772712364052636e-05,Fx
