stratum,bin,n,gain_mean,gain_median,accumulation_mean,positive_gain_fraction
pooled,pole_x_le_0.5,10267,0.1918590531470789,0.12900263454670235,0.23306047713540096,0.7331255478718224
pooled,lower_0.5_to_1,4838,0.10168306755801641,0.07082782847135605,0.2448539354538557,0.5665564282761472
pooled,upper_1_to_1.5,3113,0.01922060279289294,-0.012665032141654375,0.2519628316601871,0.48988114359139096
pooled,crest_x_ge_1.5,5373,-0.13715936961996208,-0.14979612912369422,0.2693641288743246,0.42136608970779826
c2,pole_x_le_0.5,5051,0.19739967232089664,0.13584038045791655,0.23899879418807696,0.7440110869134825
c2,lower_0.5_to_1,2410,0.09927663145840418,0.07557175009678246,0.24429404632659918,0.5688796680497925
c2,upper_1_to_1.5,1534,0.02440460527446144,-0.008216910615243322,0.2521974645347444,0.4921773142112125
c2,crest_x_ge_1.5,2626,-0.1384830750701772,-0.1390606643602077,0.26742869733851166,0.41964965727341963
c4,pole_x_le_0.5,5216,0.1864937027929851,0.1211088505073534,0.22731000945268118,0.7225843558282209
c4,lower_0.5_to_1,2428,0.10407166352179956,0.06464747129788889,0.24540967383799406,0.5642504118616145
c4,upper_1_to_1.5,1579,0.01418433945741093,-0.0244552642127267,0.25173488559966095,0.4876504116529449
c4,crest_x_ge_1.5,2747,-0.13589397081680774,-0.1625932282145386,0.2712143084203912,0.42300691663633055
