population,estimator,left,right,mid,events,movement,axial,perpendicular,balance,x,heading,mean_relative_movement
fixed,circle,0,25,12.5,53,31.122778259321045,22.015090552398718,6.385996153987909,0.7073626386746292,0.29263736132537077,0.5378901809961317,0.5872222313079443
fixed,circle,25,50,37.5,1012,144.44836022092784,79.09244373929907,-4.639408813300204,0.547548228434926,0.452451771565074,0.4836316810547641,0.1427355338151461
fixed,circle,50,75,62.5,1643,107.30993539127454,67.11159542926286,-4.32169943268487,0.6253996443531524,0.37460035564684757,0.4827219495814431,0.06531341168062967
fixed,circle,75,100,87.5,1832,43.97327212104443,30.99565776149686,-0.3245899122912308,0.7048749448568593,0.2951250551431407,0.49129008794133305,0.02400287779532993
fixed,circle,100,125,112.5,1860,8.389162490396094,2.0292578815364646,-0.34733122727304966,0.24189040131950684,0.7581095986804931,0.46597692670307833,0.004510302414191448
fixed,circle,125,150,137.5,1862,1.860853406673832,0.038609007375977424,-0.01836543539377853,0.020748011228347532,0.9792519887716524,0.4222917681700363,0.0009993842141105436
fixed,circle,150,175,162.5,1869,0.7891269581254499,-0.7840498628847355,-0.040567015301756666,-0.9935661870521129,1.9935661870521129,0.0011841110977598673,0.0004222188111960673
fixed,circle,175,200,187.5,1866,0.749403735754218,-0.745148633672885,-0.02920945716257682,-0.9943220164534533,1.9943220164534532,0.9991923172863583,0.0004016097190537074
fixed,circle,200,225,212.5,1864,0.7985173249994016,-0.7931335066103168,-0.04282994806385991,-0.9932577312720311,1.9932577312720312,0.0015428905506551672,0.00042838912285375624
fixed,circle,225,250,237.5,1870,0.7080837070943424,-0.7041045280607375,-0.033237113999185094,-0.9943803550431436,1.9943803550431436,0.0004640194988047052,0.000378654388820504
fixed,circle,250,275,262.5,1865,0.6440612120682496,-0.6402454040598359,-0.031148689107174384,-0.9940753954175253,1.9940753954175254,0.0006936889693431358,0.00034534113247627326
fixed,circle,275,300,287.5,1865,0.7362832366401828,-0.731776305650721,-0.0420884419655211,-0.9938788080928912,1.9938788080928913,0.002100509034966811,0.0003947899392172562
fixed,circle,300,325,312.5,1870,0.6577403713240593,-0.6541042198603282,-0.03330727945182451,-0.9944717526515647,1.9944717526515647,0.0010539622551740272,0.0003517328188898713
fixed,circle,325,350,337.5,1863,0.6187112446602838,-0.6150944645365459,-0.03024319433914773,-0.9941543326471725,1.9941543326471725,0.0007758077348595979,0.0003321048012132495
fixed,circle,350,375,362.5,1863,0.6731209743439199,-0.6694183431071653,-0.037485938173821745,-0.9944993078839007,1.9944993078839008,0.001859739632581346,0.00036131023850988724
fixed,circle,375,400,387.5,1869,0.6085848012969182,-0.601108393677595,-0.03389273689731968,-0.9877150931088148,1.9877150931088148,0.0019209737723032215,0.00032562054644029865
fixed,circle,400,425,412.5,1861,0.5683219950909418,-0.5606027327457723,-0.014785760726127148,-0.9864174492420722,1.9864174492420723,0.9971534149417116,0.0003053852740950789
fixed,circle,425,450,437.5,1862,0.595568849261989,-0.5914231823579301,-0.0367393988639961,-0.9930391475155289,1.993039147515529,0.0028307832804721966,0.0003198543766176096
fixed,circle,450,475,462.5,1680,2.384533798733207,-0.5060531554969465,-0.04741811622919159,-0.2122231002830781,1.2122231002830781,0.007826409969097432,0.0014193653563888135
fixed,circle,475,500,487.5,31,0.2552111516759289,-0.008898386900018514,-0.24085709359469812,-0.03486676362527381,1.0348667636252737,0.23707946040874778,0.008232617795997706
unrestricted,circle,0,25,12.5,55,31.497280041482302,21.691671557819443,6.236112092029028,0.6886839603055009,0.31131603969449906,0.5375104629620828,0.5726778189360419
unrestricted,circle,25,50,37.5,1025,151.0900675820506,83.64711025503894,-4.035824992252898,0.5536241501090979,0.44637584989090207,0.48528372097762745,0.1474049439824884
unrestricted,circle,50,75,62.5,1662,111.23347944982154,66.79324528643488,-4.732965659924225,0.6004778922389633,0.3995221077610367,0.48169782347237916,0.0669274846268481
unrestricted,circle,75,100,87.5,1839,44.37151532166318,30.775926741160873,-0.4524224436143407,0.6935964777866256,0.3064035222133744,0.49061722141328507,0.02412806705908819
unrestricted,circle,100,125,112.5,1866,8.747500160831304,2.0309903787105226,-0.5303207278164723,0.23217951887611177,0.7678204811238882,0.452306702251774,0.004687835027240785
unrestricted,circle,125,150,137.5,1865,2.0962681273454233,0.14963077944995648,-0.17994849096437787,0.07137959953598069,0.9286204004640193,0.35335727728464117,0.0011240043578259642
unrestricted,circle,150,175,162.5,1873,0.9493599957779827,-0.9404176052097828,-0.07467094971865375,-0.9905806115615059,1.990580611561506,0.005567462934623585,0.0005068659881356021
unrestricted,circle,175,200,187.5,1867,0.7636569376290852,-0.7586757127508386,-0.033700770478802364,-0.9934771431610223,1.9934771431610223,2.18159935884641e-05,0.00040902888999951
unrestricted,circle,200,225,212.5,1865,0.8094556461310866,-0.8036586258420448,-0.04580799009475476,-0.9928383719148177,1.9928383719148177,0.0020186321515290122,0.00043402447513731185
unrestricted,circle,225,250,237.5,1870,0.7080837070943424,-0.7041045280607375,-0.033237113999185094,-0.9943803550431436,1.9943803550431436,0.0004640194988047052,0.000378654388820504
unrestricted,circle,250,275,262.5,1865,0.6440612120682496,-0.6402454040598359,-0.031148689107174384,-0.9940753954175253,1.9940753954175254,0.0006936889693431358,0.00034534113247627326
unrestricted,circle,275,300,287.5,1865,0.7362832366401828,-0.731776305650721,-0.0420884419655211,-0.9938788080928912,1.9938788080928913,0.002100509034966811,0.0003947899392172562
unrestricted,circle,300,325,312.5,1870,0.6577403713240593,-0.6541042198603282,-0.03330727945182451,-0.9944717526515647,1.9944717526515647,0.0010539622551740272,0.0003517328188898713
unrestricted,circle,325,350,337.5,1863,0.6187112446602838,-0.6150944645365459,-0.03024319433914773,-0.9941543326471725,1.9941543326471725,0.0007758077348595979,0.0003321048012132495
unrestricted,circle,350,375,362.5,1863,0.6731209743439199,-0.6694183431071653,-0.037485938173821745,-0.9944993078839007,1.9944993078839008,0.001859739632581346,0.00036131023850988724
unrestricted,circle,375,400,387.5,1869,0.6085848012969182,-0.601108393677595,-0.03389273689731968,-0.9877150931088148,1.9877150931088148,0.0019209737723032215,0.00032562054644029865
unrestricted,circle,400,425,412.5,1861,0.5683219950909418,-0.5606027327457723,-0.014785760726127148,-0.9864174492420722,1.9864174492420723,0.9971534149417116,0.0003053852740950789
unrestricted,circle,425,450,437.5,1864,0.5984325254265523,-0.5942723351045389,-0.03645732114709989,-0.9930481881494524,1.9930481881494524,0.002708304845012942,0.0003210474921816268
unrestricted,circle,450,475,462.5,1682,2.3870077633466207,-0.5085225644106002,-0.047271358050334,-0.21303766674710933,1.2130376667471094,0.007709081536854151,0.001419148491882652
unrestricted,circle,475,500,487.5,31,0.2552111516759289,-0.008898386900018514,-0.24085709359469812,-0.03486676362527381,1.0348667636252737,0.23707946040874778,0.008232617795997706
fixed,centroid,0,25,12.5,53,20.692168200146778,14.100258987603938,2.192874268048221,0.6814297492277257,0.3185702507722743,0.5175118077185713,0.3904182679272977
fixed,centroid,25,50,37.5,1012,128.00796118075294,41.80391507325531,10.994423037884506,0.3265727747528634,0.6734272252471366,0.5338875295093952,0.12649008021813532
fixed,centroid,50,75,62.5,1643,90.54208490153152,43.053976064950795,6.141120441147858,0.47551341579745904,0.524486584202541,0.5155061058100668,0.05510778143732899
fixed,centroid,75,100,87.5,1832,39.13462438754814,22.249881367943527,1.627749085024932,0.5685472063716291,0.43145279362837086,0.5045794114076816,0.02136169453468785
fixed,centroid,100,125,112.5,1860,8.0617129532427,3.3517726700953867,0.31911818987975527,0.41576432819369824,0.5842356718063018,0.5080641247877904,0.004334254275936936
