path_id,group,step_index,source_time_start,source_time_end,heading_start_turns,heading_end_turns,ara_x_start,ara_x_end,absolute_circular_step_turns,step_mean_relative_movement,path_normalized_movement,quadrant_start,quadrant_end,quadrant_transition,large_step_ge_0_125_turn,q52_period
q49_q50,Q49/Q50,0,12.5,37.5,0.537890181,0.483631681,0.292637361,0.452451772,0.05425849999999999,0.3649788825615,1.0,0,0,0,0,not_applicable
q49_q50,Q49/Q50,1,37.5,62.5,0.483631681,0.48272195,0.452451772,0.374600356,0.0009097309999999692,0.104024472748,0.2850150453032624,0,0,0,0,not_applicable
q49_q50,Q49/Q50,2,62.5,87.5,0.48272195,0.491290088,0.374600356,0.295125055,0.008568138000000003,0.044658144738,0.122358160627211,0,0,0,0,not_applicable
q49_q50,Q49/Q50,3,87.5,112.5,0.491290088,0.465976927,0.295125055,0.758109599,0.02531316100000003,0.014256590104499998,0.03906141090806184,0,0,0,0,not_applicable
q49_q50,Q49/Q50,4,112.5,137.5,0.465976927,0.422291768,0.758109599,0.979251989,0.04368515899999997,0.002754843314,0.0075479526230830644,0,0,0,0,not_applicable
q49_q50,Q49/Q50,5,137.5,162.5,0.422291768,0.001184111,0.979251989,1.993566187,0.421107657,0.0007108015125000001,0.0019475140794761679,0,2,1,1,not_applicable
q49_q50,Q49/Q50,6,162.5,187.5,0.001184111,0.999192317,1.993566187,1.994322016,0.0019917940000000467,0.000411914265,0.0011285975290107127,2,2,0,0,not_applicable
q49_q50,Q49/Q50,7,187.5,212.5,0.999192317,0.001542891,1.994322016,1.993257731,0.0023505740000000497,0.000414999421,0.0011370505002575631,2,2,0,0,not_applicable
q49_q50,Q49/Q50,8,212.5,237.5,0.001542891,0.000464019,1.993257731,1.994380355,0.0010788720000000085,0.000403521756,0.001105603023298219,2,2,0,0,not_applicable
q49_q50,Q49/Q50,9,237.5,262.5,0.000464019,0.000693689,1.994380355,1.994075395,0.00022966999999995963,0.00036199776049999997,0.0009918320697335202,2,2,0,0,not_applicable
q49_q50,Q49/Q50,10,262.5,287.5,0.000693689,0.002100509,1.994075395,1.993878808,0.0014068200000000308,0.00037006553549999996,0.0010139368417778057,2,2,0,0,not_applicable
q49_q50,Q49/Q50,11,287.5,312.5,0.002100509,0.001053962,1.993878808,1.994471753,0.0010465470000000088,0.00037326137899999995,0.0010226930839953578,2,2,0,0,not_applicable
