archive,seed,parent_pair_count,child_pair_count,parent_forward_duration,parent_return_duration,child_forward_duration,child_return_duration,r_A,s_A,r_B,s_B,P_A,P_B,C_A,C_B,h_A,h_B,h_A_local_control,h_B_local_control,ratio_phi_error_A,ratio_phi_error_B,additive_phi_error_A,additive_phi_error_B,ratio_within_phi_band_A,ratio_within_phi_band_B,additive_within_phi_band_A,additive_within_phi_band_B
greedy,0,8,18,7.0,7.5,3.75,4.0,1.8666666666666667,1.5357142857142856,1.875,1.5333333333333332,0.9655172413793104,1.0344827586206895,0.967741935483871,1.032258064516129,1.518353726362625,1.481646273637375,2.0022246941045605,1.9977753058954395,0.2486326779167718,0.2569660112501051,0.0996802623872699,0.1363877151125199,0,0,0,0
greedy,1,10,12,8.0,7.0,4.0,4.0,2.0,1.5,1.75,1.5714285714285714,1.0666666666666667,0.9333333333333333,1.0,1.0,1.4333333333333333,1.5666666666666667,1.9333333333333333,2.0666666666666664,0.3819660112501051,0.1319660112501051,0.18470065541656155,0.05136732208322825,0,0,0,1
greedy,2,4,13,6.0,6.5,4.0,3.5,1.5,1.6666666666666665,1.8571428571428572,1.5384615384615383,0.96,1.04,1.0666666666666667,0.9333333333333333,1.5733333333333333,1.4266666666666667,2.1066666666666665,1.8933333333333333,0.1180339887498949,0.2391088683929623,0.04470065541656165,0.19136732208322815,0,0,1,0
greedy,3,3,9,8.0,7.0,4.0,3.5,2.0,1.5,2.0,1.5,1.0666666666666667,0.9333333333333333,1.0666666666666667,0.9333333333333333,1.4666666666666668,1.5333333333333332,2.0,2.0,0.3819660112501051,0.3819660112501051,0.15136732208322812,0.08470065541656169,0,0,0,0
greedy,4,6,6,6.5,7.5,3.75,4.0,1.7333333333333334,1.5769230769230769,1.875,1.5333333333333332,0.9285714285714286,1.0714285714285714,0.967741935483871,1.032258064516129,1.555299539170507,1.444700460829493,2.039170506912442,1.9608294930875576,0.11529934458343849,0.2569660112501051,0.06273444957938801,0.1733335279204018,0,0,1,0
greedy,5,2,1,7.0,8.0,3.5,4.0,2.0,1.5,2.0,1.5,0.9333333333333333,1.0666666666666667,0.9333333333333333,1.0666666666666667,1.5333333333333332,1.4666666666666668,2.0,2.0,0.3819660112501051,0.3819660112501051,0.08470065541656169,0.15136732208322812,0,0,0,0
greedy,6,5,20,7.0,7.0,4.0,4.0,1.75,1.5714285714285714,1.75,1.5714285714285714,1.0,1.0,1.0,1.0,1.5,1.5,2.0,2.0,0.1319660112501051,0.1319660112501051,0.1180339887498949,0.1180339887498949,0,0,0,0
greedy,7,3,11,6.0,9.0,4.0,4.0,1.5,1.6666666666666665,2.25,1.4444444444444444,0.8,1.2,1.0,1.0,1.7,1.3,2.2,1.8,0.1180339887498949,0.6319660112501051,0.08196601125010505,0.31803398874989486,0,0,0,0
greedy,8,4,15,4.0,6.0,3.5,4.0,1.1428571428571428,1.875,1.5,1.6666666666666665,0.8,1.2,0.9333333333333333,1.0666666666666667,1.6666666666666665,1.3333333333333335,2.1333333333333333,1.8666666666666667,0.4751768458927521,0.1180339887498949,0.048632677916771616,0.2847006554165614,0,0,1,0
greedy,9,3,10,7.0,7.0,3.25,4.0,2.1538461538461537,1.4642857142857144,1.75,1.5714285714285714,1.0,1.0,0.896551724137931,1.103448275862069,1.4482758620689655,1.5517241379310345,1.896551724137931,2.103448275862069,0.5358121650962588,0.1319660112501051,0.16975812668092938,0.06630985081886043,0,0,0,1
greedy,10,5,17,7.0,7.0,4.0,4.0,1.75,1.5714285714285714,1.75,1.5714285714285714,1.0,1.0,1.0,1.0,1.5,1.5,2.0,2.0,0.1319660112501051,0.1319660112501051,0.1180339887498949,0.1180339887498949,0,0,0,0
greedy,11,7,8,6.0,6.0,4.0,3.75,1.5,1.6666666666666665,1.6,1.625,1.0,1.0,1.032258064516129,0.967741935483871,1.5161290322580645,1.4838709677419355,2.032258064516129,1.967741935483871,0.1180339887498949,0.018033988749894814,0.1019049564918304,0.1341630210079594,0,1,0,0
greedy,12,8,16,7.5,7.0,4.0,3.75,1.875,1.5333333333333332,1.8666666666666667,1.5357142857142856,1.0344827586206897,0.9655172413793103,1.032258064516129,0.967741935483871,1.4816462736373748,1.5183537263626252,1.9977753058954393,2.0022246941045605,0.2569660112501051,0.2486326779167718,0.13638771511252012,0.09968026238726968,0,0,0,0
greedy,13,4,10,7.0,6.0,3.75,4.0,1.8666666666666667,1.5357142857142856,1.5,1.6666666666666665,1.0769230769230769,0.9230769230769231,0.967741935483871,1.032258064516129,1.4069478908188586,1.5930521091811414,1.8908188585607941,2.1091811414392057,0.2486326779167718,0.1180339887498949,0.21108609793103628,0.02498187956875353,0,0,0,1
greedy,14,4,13,6.0,6.5,3.5,4.0,1.7142857142857142,1.5833333333333335,1.625,1.6153846153846154,0.96,1.04,0.9333333333333333,1.0666666666666667,1.5066666666666668,1.4933333333333332,1.9733333333333334,2.0266666666666664,0.09625172553581929,0.0069660112501050975,0.11136732208322808,0.12470065541656172,0,1,0,0
greedy,15,3,9,6.0,7.0,4.0,4.0,1.5,1.6666666666666665,1.75,1.5714285714285714,0.9230769230769231,1.0769230769230769,1.0,1.0,1.5769230769230769,1.4230769230769231,2.0769230769230766,1.9230769230769231,0.1180339887498949,0.1319660112501051,0.04111091182681803,0.19495706567297177,0,0,1,0
greedy,16,2,9,6.0,8.0,4.0,4.0,1.5,1.6666666666666665,2.0,1.5,0.8571428571428571,1.1428571428571428,1.0,1.0,1.6428571428571428,1.3571428571428572,2.142857142857143,1.8571428571428572,0.1180339887498949,0.3819660112501051,0.02482315410724789,0.2608911316070377,0,0,1,0
greedy,17,5,14,6.0,9.0,3.75,3.75,1.6,1.625,2.4,1.4166666666666667,0.8,1.2,1.0,1.0,1.7,1.3,2.2,1.8,0.018033988749894814,0.781966011250105,0.08196601125010505,0.31803398874989486,1,0,0,0
greedy,18,7,15,7.0,6.0,4.0,4.0,1.75,1.5714285714285714,1.5,1.6666666666666665,1.0769230769230769,0.9230769230769231,1.0,1.0,1.4230769230769231,1.5769230769230769,1.9230769230769231,2.0769230769230766,0.1319660112501051,0.1180339887498949,0.19495706567297177,0.04111091182681803,0,0,0,1
greedy,19,6,7,7.0,6.5,3.5,4.0,2.0,1.5,1.625,1.6153846153846154,1.037037037037037,0.962962962962963,0.9333333333333333,1.0666666666666667,1.4296296296296296,1.5703703703703704,1.8962962962962964,2.1037037037037036,0.3819660112501051,0.0069660112501050975,0.18840435912026532,0.047663618379524486,0,1,0,1
greedy,20,3,9,6.0,7.0,4.0,4.0,1.5,1.6666666666666665,1.75,1.5714285714285714,0.9230769230769231,1.0769230769230769,1.0,1.0,1.5769230769230769,1.4230769230769231,2.0769230769230766,1.9230769230769231,0.1180339887498949,0.1319660112501051,0.04111091182681803,0.19495706567297177,0,0,1,0
greedy,21,10,12,7.0,6.5,4.0,3.75,1.75,1.5714285714285714,1.7333333333333334,1.5769230769230769,1.037037037037037,0.962962962962963,1.032258064516129,0.967741935483871,1.4790919952210275,1.5209080047789725,1.995221027479092,2.004778972520908,0.1319660112501051,0.11529934458343849,0.13894199352886738,0.09712598397092242,0,0,0,0
greedy,22,3,13,4.0,7.0,3.0,4.0,1.3333333333333333,1.75,1.75,1.5714285714285714,0.7272727272727273,1.2727272727272727,0.8571428571428571,1.1428571428571428,1.7012987012987013,1.2987012987012987,2.1298701298701297,1.87012987012987,0.28470065541656164,0.1319660112501051,0.08326471254880641,0.3193326900485962,0,0,0,0
