state,projection,group,expectation,expectation_ci_low,expectation_ci_high,ara_coordinate,reversed_ara_coordinate,ideal_expectation,ideal_ara_coordinate
Phi-plus,ZZ,same_axis_parent,0.9466666666666667,0.9099999999999999,0.98,0.053333333333333344,1.9466666666666668,1.0,0.0
Phi-plus,YZ,mixed_pair_control,0.013333333333333336,-0.0933333333333333,0.12666666666666662,0.9866666666666667,1.0133333333333332,0.0,1.0
Phi-plus,XZ,mixed_pair_control,-0.11333333333333337,-0.2266666666666667,-0.006666666666666654,1.1133333333333333,0.8866666666666667,0.0,1.0
Phi-plus,ZY,mixed_pair_control,0.006666666666666682,-0.11333333333333329,0.11333333333333337,0.9933333333333333,1.0066666666666668,0.0,1.0
Phi-plus,ZX,mixed_pair_control,0.10666666666666666,-0.006666666666666682,0.21999999999999997,0.8933333333333333,1.1066666666666667,0.0,1.0
Phi-plus,YY,same_axis_parent,-0.94,-0.9733333333333334,-0.9,1.94,0.06000000000000005,-1.0,2.0
Phi-plus,YX,mixed_pair_control,0.2933333333333333,0.18666666666666665,0.3933333333333333,0.7066666666666668,1.2933333333333332,0.0,1.0
Phi-plus,XY,mixed_pair_control,0.24666666666666662,0.13333333333333333,0.3533333333333334,0.7533333333333334,1.2466666666666666,0.0,1.0
Phi-plus,XX,same_axis_parent,0.8533333333333333,0.7933333333333333,0.9066666666666667,0.14666666666666672,1.8533333333333333,1.0,0.0
Phi-plus,YI,local_child,-0.06666666666666668,-0.17333333333333334,0.04666666666666666,1.0666666666666667,0.9333333333333333,0.0,1.0
Phi-plus,XI,local_child,-0.013333333333333308,-0.12666666666666662,0.1066666666666666,1.0133333333333332,0.9866666666666668,0.0,1.0
Phi-plus,IY,local_child,0.060000000000000026,-0.04666666666666666,0.17999999999999997,0.94,1.06,0.0,1.0
Phi-plus,IX,local_child,0.026666666666666644,-0.08000000000000007,0.1466666666666666,0.9733333333333334,1.0266666666666666,0.0,1.0
Phi-plus,ZI,local_child,0.0,-0.11341666666666672,0.10666666666666663,1.0,1.0,0.0,1.0
Phi-plus,IZ,local_child,0.033333333333333326,-0.08000000000000002,0.14,0.9666666666666667,1.0333333333333332,0.0,1.0
Phi-minus,ZZ,same_axis_parent,0.95,0.875,1.0,0.050000000000000044,1.95,1.0,0.0
Phi-minus,YZ,mixed_pair_control,-0.14999999999999997,-0.37499999999999994,0.07500000000000001,1.15,0.8500000000000001,0.0,1.0
Phi-minus,XZ,mixed_pair_control,0.07499999999999998,-0.15000000000000002,0.29999999999999993,0.925,1.075,0.0,1.0
Phi-minus,ZY,mixed_pair_control,-0.04999999999999999,-0.275,0.175,1.05,0.95,0.0,1.0
Phi-minus,ZX,mixed_pair_control,-0.025000000000000022,-0.25,0.19999999999999996,1.025,0.9750000000000001,0.0,1.0
Phi-minus,YY,same_axis_parent,0.9500000000000001,0.875,1.0,0.04999999999999993,1.9500000000000002,1.0,0.0
Phi-minus,YX,mixed_pair_control,-0.17499999999999993,-0.375,0.025000000000000022,1.1749999999999998,0.8250000000000002,0.0,1.0
Phi-minus,XY,mixed_pair_control,-0.19999999999999996,-0.4,0.024999999999999967,1.2,0.8,0.0,1.0
Phi-minus,XX,same_axis_parent,-0.9500000000000002,-1.0,-0.875,1.9500000000000002,0.04999999999999982,-1.0,2.0
Phi-minus,YI,local_child,0.04999999999999999,-0.17499999999999996,0.25,0.95,1.05,0.0,1.0
Phi-minus,XI,local_child,0.0,-0.225,0.22499999999999995,1.0,1.0,0.0,1.0
Phi-minus,IY,local_child,-0.07499999999999996,-0.30000000000000004,0.14999999999999994,1.075,0.925,0.0,1.0
Phi-minus,IX,local_child,-0.125,-0.325,0.10000000000000003,1.125,0.875,0.0,1.0
Phi-minus,ZI,local_child,0.04999999999999993,-0.175,0.27499999999999997,0.9500000000000001,1.0499999999999998,0.0,1.0
Phi-minus,IZ,local_child,0.04999999999999993,-0.17499999999999993,0.25,0.9500000000000001,1.0499999999999998,0.0,1.0
Psi-plus,ZZ,same_axis_parent,-0.9266666666666667,-0.9566666666666666,-0.8965833333333337,1.9266666666666667,0.07333333333333325,-1.0,2.0
Psi-plus,YZ,mixed_pair_control,0.04666666666666666,-0.030000000000000027,0.12666666666666668,0.9533333333333334,1.0466666666666666,0.0,1.0
Psi-plus,XZ,mixed_pair_control,0.28666666666666674,0.20666666666666667,0.36000000000000004,0.7133333333333333,1.2866666666666666,0.0,1.0
Psi-plus,ZY,mixed_pair_control,-0.04666666666666666,-0.12999999999999998,0.0333333333333333,1.0466666666666666,0.9533333333333334,0.0,1.0
Psi-plus,ZX,mixed_pair_control,0.18999999999999995,0.11324999999999996,0.26666666666666666,0.81,1.19,0.0,1.0
Psi-plus,YY,same_axis_parent,0.7966666666666666,0.7482916666666667,0.8433333333333333,0.20333333333333337,1.7966666666666666,1.0,0.0
Psi-plus,YX,mixed_pair_control,-0.29333333333333333,-0.37,-0.2166250000000002,1.2933333333333334,0.7066666666666666,0.0,1.0
Psi-plus,XY,mixed_pair_control,0.13499999999999998,0.053333333333333344,0.21333333333333332,0.865,1.135,0.0,1.0
