entity,entity_type,replicate,s1,s2,s3,chsh_smax,retained_axes_at_0p50
Phi-plus,physically_prepared,0,0.9725177926261719,0.8935635060802276,0.8674719879713524,2.6413985661939554,3
Phi-minus,physically_prepared,0,0.9764573450497247,0.8012840182964359,0.7806705086011757,2.526281872379913,3
Psi-plus,physically_prepared,0,0.9219961956377865,0.900894752662595,0.8229071465311453,2.5781298184114387,3
Psi-minus,physically_prepared,0,0.9501358644619605,0.8437589476189049,0.8215936416120914,2.54140695098116,3
Phi-classical,equal_weight_reconstruction,0,0.8807571886617852,0.07865894377695787,0.021968492110572654,1.7685253233307325,1
Psi-classical,equal_weight_reconstruction,0,0.8916914330503595,0.08812080734629509,0.06144629393116275,1.7920701866419926,1
Bell-uniform-mixed,equal_weight_reconstruction,0,0.12359233370134547,0.035725336910614226,0.007598485688947721,0.25730421409002713,0
Phi-plus,physically_prepared,1,0.9917776525029631,0.902365626783335,0.8993889960550739,2.681705902148384,3
Phi-minus,physically_prepared,1,0.9755083411418441,0.8306462460503571,0.8096487740089314,2.562490749029048,3
Psi-plus,physically_prepared,1,0.9152133629990319,0.8605340200406153,0.7817996636311716,2.512476307915567,3
Psi-minus,physically_prepared,1,0.9072726955553753,0.8796056375888319,0.8477453339904677,2.527330466542413,3
Phi-classical,equal_weight_reconstruction,1,0.8958983271324729,0.07705552042527565,0.00851266028856648,1.7984119281040964,1
Psi-classical,equal_weight_reconstruction,1,0.886043877422337,0.10395381138528004,0.04876553755013039,1.7842423015040707,1
Bell-uniform-mixed,equal_weight_reconstruction,1,0.09182028497995746,0.06032724557923939,0.005474335489376334,0.21973020996648104,0
Phi-plus,physically_prepared,2,0.9888144231231843,0.902475956533692,0.8913314805355345,2.677474045063995,3
Phi-minus,physically_prepared,2,0.9705277074404317,0.8424583076351643,0.8213169891644304,2.570338523240147,3
Psi-plus,physically_prepared,2,0.9536835972081257,0.8598551496933285,0.8199346497049721,2.5681614295351194,3
Psi-minus,physically_prepared,2,0.9401403467600353,0.8218887099676089,0.8073068809017456,2.4974906792044687,3
