gate_id,description,passed,value
D1,all 88 physical reconstructions pass,True,true
D2,median compact-core tensor share >= 0.90 in Ramsey and Hahn,True,"{""Hahn"": 0.9806942928935494, ""Ramsey"": 0.9840803682302711}"
D3,"all initial states have K>=0.80, R>=0.80 and TE>=1.60",True,"{""Hahn/Phi-minus"": {""k"": 0.9615784674008645, ""radius"": 0.9466952395361485, ""te_observed"": 1.908273706937013}, ""Hahn/Phi-plus"": {""k"": 0.9531652999410344, ""radius"": 0.9198271964206965, ""te_observed"": 1.8729924963617308}, ""Hahn/Psi-minus"": {""k"": 0.9547666821948644, ""radius"": 0.9456228568541253, ""te_observed"": 1.9003895390489896}, ""Hahn/Psi-plus"": {""k"": 0.9382827858741197, ""radius"": 0.925968157081322, ""te_observed"": 1.8642509429554417}, ""Ramsey/Phi-minus"": {""k"": 0.9932304313233881, ""radius"": 0.978797307365644, ""te_observed"": 1.972027738689032}, ""Ramsey/Phi-plus"": {""k"": 0.9571065677397765, ""radius"": 0.9781512480406148, ""te_observed"": 1.9352578157803912}, ""Ramsey/Psi-minus"": {""k"": 0.9555178599681059, ""radius"": 0.9616914040072521, ""te_observed"": 1.917209263975358}, ""Ramsey/Psi-plus"": {""k"": 0.9670523628682208, ""radius"": 0.9573041146440805, ""te_observed"": 1.9243564775123012}}"
D4,every final Ramsey K retention >= 0.75,True,"{""Phi-minus"": 0.9548171754465143, ""Phi-plus"": 1.0069062862785916, ""Psi-minus"": 0.910512276804809, ""Psi-plus"": 0.8659295901703767}"
D5,every final Ramsey R retention <= 0.20,True,"{""Phi-minus"": 0.026924316594814673, ""Phi-plus"": 0.07188106448582768, ""Psi-minus"": 0.0764053071597572, ""Psi-plus"": 0.03967281098537129}"
D6,median K-minus-R retention gap >= 0.60,True,"{""gap"": 0.8768877883900622, ""median_k_retention"": 0.9326647261256616, ""median_r_retention"": 0.05577693773559948}"
D7,median singular-model MAE <= 0.08,True,0.022184485441159363
D8,Ramsey R<0.50 and first one-axis observations align within one sample,True,"{""Phi-minus"": {""first_R_below_index"": 4, ""first_one_axis_index"": 4}, ""Phi-plus"": {""first_R_below_index"": 4, ""first_one_axis_index"": 4}, ""Psi-minus"": {""first_R_below_index"": 5, ""first_one_axis_index"": 5}, ""Psi-plus"": {""first_R_below_index"": 5, ""first_one_axis_index"": 5}}"
D9,Hahn/Ramsey R<0.50 delay ratio >= 4,True,14.026168551540133
D10,declared initial Bell-family radius exceeds alternate by >= 0.60,True,"{""Hahn/Phi-minus"": 0.9294886252572335, ""Hahn/Phi-plus"": 0.8998909272328736, ""Hahn/Psi-minus"": 0.9370922315809119, ""Hahn/Psi-plus"": 0.9025466005402273, ""Ramsey/Phi-minus"": 0.9758697826451271, ""Ramsey/Phi-plus"": 0.9666134225648056, ""Ramsey/Psi-minus"": 0.9411805045612243, ""Ramsey/Psi-plus"": 0.9452720155779274}"
D11,hidden quadrature magnitude median absolute error <= 0.08,True,0.012046014371446728
