condition,state,wait_index,wait_us,a_x,a_y,a_z,b_x,b_y,b_z,u,v,radius,transverse_radius,k,q8_h_linear,purity,i_child_a,i_child_b,i_relation,i_relation_core,i_relation_off,i_unresolved_to_pure,i_unresolved_half_scale,information3_sum,rho_reconstruction_fro_error,purity_closure_abs_error
Ramsey,Phi-plus,0,0.02,0.01992087720704625,-0.03520784594682881,0.005250031750101136,0.014722935407690409,0.03282211414003934,0.013215644937221493,0.9767429427810378,-0.05246987488884214,0.9781512480406148,0.971502429324859,0.9571065677397765,0.06474218421960865,0.9724041269686148,0.0016639965982909147,0.0014687092747475024,2.8864838020014205,2.8296127100974404,0.0568710919039801,0.11038349212554133,0.055191746062770664,3.0000000000000004,6.298981355736431e-17,0.0
Ramsey,Phi-plus,1,4.02,-0.025145964561066388,-0.12311266495222425,0.0007961602091998143,-0.06100909802026018,-0.08962553706431194,-0.004392906339042657,-0.4358581993131524,0.7845746361282939,0.8975130804419224,0.9004397939011237,0.9799983510233679,0.1224885685347098,0.9072169454739428,0.015789681676423747,0.011774144561415668,2.6013039556579325,2.571456227137217,0.02984772852071549,0.37113221810422825,0.18556610905211413,3.0,1.0742818744294762e-16,4.440892098500626e-16
Ramsey,Phi-plus,2,8.02,0.06542495754510665,-0.01522237485944114,-0.030822208669522178,-0.09196841812246878,0.033561384081626545,-0.010046588283883662,-0.5347476200364489,-0.5668125410435039,0.7792505847407752,0.7807722931102005,0.9697891967723151,0.25096021848690964,0.8004543851158996,0.0054621543134079215,0.009685490369569569,2.1866698957806214,2.1549540338139725,0.031715861966648884,0.7981824595364011,0.39909122976820055,3.0,3.966698524260044e-17,4.440892098500626e-16
Ramsey,Phi-plus,3,12.02,0.0223012905627589,0.07316741199425036,0.08830717430329876,0.045661375619988884,-0.06904391882060953,0.0809569549338997,0.550496132200123,-0.3397888698447487,0.6469176668152345,0.6460533004001584,0.9571025767562555,0.3959797564285099,0.6962104465810466,0.01364897477213416,0.013406052501786102,1.7577867590502667,1.7530502777087977,0.004736481341468979,1.215158213675813,0.6075791068379065,3.0,9.950306416667728e-17,6.661338147750939e-16
Ramsey,Phi-plus,4,16.02,-0.04033142484695973,0.07020378641349692,0.0828715309579473,-0.12941499243660148,-0.046000684289283264,0.11322397763299108,0.11554030952724605,0.38380054670884767,0.4008146988068953,0.38893675864536964,0.9381944535259579,0.6609908476671469,0.5782410593664782,0.013422886100291874,0.031683972333483995,1.267857379032138,1.201513678186195,0.06634370084594288,1.687035762534086,0.843517881267043,3.0,1.9086787252571363e-16,1.1102230246251565e-15
Ramsey,Phi-plus,5,20.02,0.09775496533800729,-0.1034919703828234,0.02651024467028945,-0.20814950970149207,-0.06413141570633342,0.01907954583535887,-0.27991168750990786,0.07760960406264789,0.2904716913012442,0.2877787777954932,0.9383484814635612,0.7711798272351946,0.531615042874275,0.02096941425443281,0.04780308593875365,1.0576876713039136,1.0492454795597819,0.008442191744131744,1.8735398285029,0.93676991425145,3.0,5.3971928267254766e-17,2.220446049250313e-16
Ramsey,Phi-plus,6,24.02,0.12495897052976586,-0.11319786909569568,0.029535547887538538,-0.10606370726711548,-0.06520619084302803,0.03114283827575348,0.004357099759189636,-0.25067530644205693,0.25071316993355314,0.25080331857447113,0.9303404681015777,0.8189463619648691,0.5100945298677357,0.029300850472682233,0.016471233699371493,0.9946060352988902,0.9912475737437241,0.00335846155516617,1.9596218805290562,0.9798109402645281,3.0,2.1200652403954314e-16,1.1102230246251565e-15
Ramsey,Phi-plus,7,28.02,0.05275541151045563,0.020613432647714876,0.06119223766979437,-0.05535866794917268,-0.13777159475864337,0.06505584914479118,0.08228313636513762,-0.006432687534517426,0.08253419896625017,0.08205069986857927,0.985574360497891,0.9318914405358588,0.5053992869821495,0.006952537000195993,0.026277857947396434,0.9883667529810062,0.984980608068828,0.003386144912178146,1.9784028520714014,0.9892014260357007,3.0,1.395718180071713e-16,4.440892098500626e-16
Ramsey,Phi-plus,8,32.02,0.007100682425870062,-0.08942525608292759,0.05357061866596291,-0.13667369179042912,-0.0820852529955365,0.03959410550403175,0.02649807750524169,-0.015653962024217073,0.030776527395556277,0.030192258164330747,0.9440582753831207,1.025165197221323,0.48761448867510404,0.010917107300664253,0.02698537997763084,0.9125554674221206,0.8931404165964111,0.01941505082570949,2.0495420452995843,1.0247710226497921,3.0,1.731775371448561e-16,4.440892098500626e-16
Ramsey,Phi-plus,9,36.02,-0.07300523592014749,-0.015977820513233564,-0.12085340190979843,-0.03290382468027752,-0.026454652731292404,-0.11533661654114069,-0.00497351926183434,0.09204911331844953,0.0921833778756268,0.09220965122789218,0.972883596941778,0.9349330251825952,0.501569548023814,0.020190599973280772,0.015085045444881845,0.9710025466770927,0.963498043511493,0.007504503165599696,1.9937218079047447,0.9968609039523724,3.0,1.2009319418313767e-16,8.881784197001252e-16
