split,candidate,increment_ara,roots,videos,local_directed_mean,local_directed_median,parent_directed_mean,parent_directed_median,local_reversible_mean,local_reversible_median,parent_reversible_mean,parent_reversible_median,return_mae_mean,return_mae_median
calibration,persistence,0.0,123,4,0.11919964160247783,0.09368855227654427,0.28476003640768005,0.2647583724376785,0.11919964160247783,0.09368855227654427,0.28476003640768005,0.2647583724376785,0.15159881054026894,0.13187612797242748
calibration,ridge,1.0,123,4,0.8808003583975221,0.9063114477234557,0.5217692425799823,0.5072743878856179,0.8808003583975221,0.9063114477234557,0.521769242579982,0.5072743878856179,0.6072409708198934,0.6134304503549507
calibration,silver_conjugate,1.1715728752538097,123,4,0.7871055622598266,0.8030623733023892,0.5028693201530401,0.5054748464312471,0.7746345429357362,0.7977362167703921,0.47087867909026077,0.4726666254775411,0.353033151456117,0.3648455817743736
calibration,two_fifths,1.2,123,4,0.764491225409804,0.7804303638563297,0.5027050917688329,0.4936405492109659,0.7503746985246726,0.7723140051352777,0.48223314199085454,0.48153551743027734,0.2952508297723271,0.30880031188796014
calibration,phi,1.2360679774997896,123,4,0.7349199131341135,0.7484136452824826,0.5077289059375608,0.5135439568617852,0.7199943258169642,0.7402215041652613,0.4708920645858643,0.4788639570179223,0.15029659455280067,0.14700685709688457
calibration,fibonacci_8_21,1.2380952380952381,123,4,0.7331940998359502,0.747004388807448,0.5077277368473758,0.5065951278302225,0.7181485433806191,0.7388501213993066,0.46997216859462304,0.4759686642291885,0.155448453468961,0.15201060931140825
calibration,three_eighths,1.25,123,4,0.7228234377765591,0.735416280248097,0.5088565625872323,0.5033946442384838,0.7077108205721528,0.7271982462032951,0.48244777528868316,0.48566619231162766,0.1630999436363292,0.1657727888450475
calibration,one_over_e,1.2642411176571153,123,4,0.7104839726096389,0.7217342621067702,0.5081954625463201,0.5049018929788772,0.6944307019496906,0.7133191832425607,0.4805753070758864,0.484811472192876,0.228270955024775,0.2355922054090344
calibration,one_third,1.3333333333333335,123,4,0.6471205178354613,0.6565943292619856,0.49833476267464616,0.4922393763967152,0.6334575244709022,0.6470970305229962,0.47595107477878135,0.4692351233779206,0.4022402138540035,0.4054623741706749
evaluation,persistence,0.0,170,10,0.1319664212458484,0.10868349531467836,0.2529794300404968,0.1952856497169806,0.1319664212458484,0.10868349531467836,0.2529794300404968,0.1952856497169806,0.16070205873690221,0.14180549565565678
evaluation,ridge,1.0,170,10,0.8680335787541515,0.8913165046853216,0.560840570304303,0.540545200892396,0.8680335787541515,0.8913165046853216,0.560840570304303,0.540545200892396,0.6040912769194513,0.6123260761744682
evaluation,silver_conjugate,1.1715728752538097,170,10,0.7824804024682054,0.8027001445014328,0.5026347993379159,0.4948744245151754,0.7677939414229188,0.7879028018472647,0.4716125720152999,0.47412167806407346,0.34856973381231854,0.3556040076308691
evaluation,two_fifths,1.2,170,10,0.7589743140321049,0.7762445400988901,0.5010348809786508,0.5018318034617516,0.7447881042051037,0.7636489701261292,0.47350561201757196,0.4737918088252169,0.2932148080972524,0.30553170210879926
evaluation,phi,1.2360679774997896,170,10,0.7275458881552563,0.743672653190828,0.5045951896121239,0.5008110821069707,0.7137550592923092,0.7308642327864232,0.4742150599455593,0.47592822263618373,0.15074476938962184,0.14252393364644644
evaluation,fibonacci_8_21,1.2380952380952381,170,10,0.7257561218905043,0.7416453925953794,0.5046373478449988,0.5061831891230217,0.7119790227255091,0.7288369721909747,0.47197896497150693,0.47261422385176366,0.15623192735590685,0.14865363310757934
evaluation,three_eighths,1.25,170,10,0.7156224216048594,0.7316970478278475,0.509273927460188,0.5014667337792857,0.7020374001942167,0.7173496815552372,0.4796527501958004,0.4778602992843407,0.16395146199651742,0.16451349391519599
