draw,split,score,events,observed_score
0,evaluation,0.05201724426207022,688,0.02800712380629125
0,holdout,0.014569646749579293,160,0.03521372233117723
1,evaluation,0.0507001178195426,688,0.02800712380629125
1,holdout,0.03330922642124959,160,0.03521372233117723
2,evaluation,0.06838420316681351,688,0.02800712380629125
2,holdout,0.030770292422342,160,0.03521372233117723
3,evaluation,0.059135831035592966,688,0.02800712380629125
3,holdout,0.018892923911750625,160,0.03521372233117723
4,evaluation,0.06957719781348716,688,0.02800712380629125
4,holdout,0.05502081309847931,160,0.03521372233117723
5,evaluation,0.06793678919775636,688,0.02800712380629125
5,holdout,0.018307919605079118,160,0.03521372233117723
6,evaluation,0.060759820902047096,688,0.02800712380629125
6,holdout,0.018293822730774206,160,0.03521372233117723
7,evaluation,0.07332737727512043,688,0.02800712380629125
7,holdout,0.03480309258226699,160,0.03521372233117723
8,evaluation,0.07319043433988388,688,0.02800712380629125
8,holdout,0.019772287504717878,160,0.03521372233117723
9,evaluation,0.07021100847386649,688,0.02800712380629125
9,holdout,0.03796782444813994,160,0.03521372233117723
10,evaluation,0.059532980332217364,688,0.02800712380629125
10,holdout,0.05200892387505507,160,0.03521372233117723
11,evaluation,0.05562222147631335,688,0.02800712380629125
11,holdout,0.057175779188695125,160,0.03521372233117723
12,evaluation,0.05046776670247691,688,0.02800712380629125
12,holdout,0.03385369623441048,160,0.03521372233117723
13,evaluation,0.06273361758597933,688,0.02800712380629125
13,holdout,0.040540590496775775,160,0.03521372233117723
14,evaluation,0.06774403378763,688,0.02800712380629125
14,holdout,0.03689618745359485,160,0.03521372233117723
15,evaluation,0.05591965688624176,688,0.02800712380629125
15,holdout,0.02573005554835943,160,0.03521372233117723
16,evaluation,0.06653883147202996,688,0.02800712380629125
16,holdout,0.005834953584519742,160,0.03521372233117723
17,evaluation,0.06263753191070842,688,0.02800712380629125
17,holdout,0.021999116971173793,160,0.03521372233117723
18,evaluation,0.06904539097234669,688,0.02800712380629125
18,holdout,0.035302707575533415,160,0.03521372233117723
19,evaluation,0.0626698541858576,688,0.02800712380629125
19,holdout,0.0309792569178875,160,0.03521372233117723
20,evaluation,0.06872835848567044,688,0.02800712380629125
20,holdout,0.011334313974072932,160,0.03521372233117723
21,evaluation,0.05995841263007082,688,0.02800712380629125
21,holdout,0.008524582269127418,160,0.03521372233117723
22,evaluation,0.06029650289343157,688,0.02800712380629125
22,holdout,0.0432135707873373,160,0.03521372233117723
23,evaluation,0.0739417580633703,688,0.02800712380629125
23,holdout,0.050971770959390664,160,0.03521372233117723
24,evaluation,0.06847940898624513,688,0.02800712380629125
24,holdout,0.01817956384970114,160,0.03521372233117723
25,evaluation,0.0552689432168345,688,0.02800712380629125
25,holdout,0.06525636338569471,160,0.03521372233117723
26,evaluation,0.0577248297215671,688,0.02800712380629125
26,holdout,0.012192494594749692,160,0.03521372233117723
27,evaluation,0.057483536765347495,688,0.02800712380629125
27,holdout,0.044562644165081045,160,0.03521372233117723
28,evaluation,0.06475730885136696,688,0.02800712380629125
28,holdout,0.021437037906783585,160,0.03521372233117723
29,evaluation,0.06464683595594456,688,0.02800712380629125
29,holdout,0.04420070376152657,160,0.03521372233117723
30,evaluation,0.06410619349792991,688,0.02800712380629125
30,holdout,0.026498344478526198,160,0.03521372233117723
31,evaluation,0.06283706118636542,688,0.02800712380629125
31,holdout,0.024461951661070624,160,0.03521372233117723
32,evaluation,0.06286348103540007,688,0.02800712380629125
32,holdout,0.040311975574264705,160,0.03521372233117723
33,evaluation,0.062225613492754406,688,0.02800712380629125
33,holdout,0.021442678222851425,160,0.03521372233117723
34,evaluation,0.05373983538428198,688,0.02800712380629125
34,holdout,0.030517510817881732,160,0.03521372233117723
35,evaluation,0.07270496497935708,688,0.02800712380629125
35,holdout,0.06423663075881586,160,0.03521372233117723
36,evaluation,0.05790113948341631,688,0.02800712380629125
36,holdout,0.03816677331045498,160,0.03521372233117723
37,evaluation,0.06095142203791211,688,0.02800712380629125
37,holdout,0.018707141321114742,160,0.03521372233117723
38,evaluation,0.06938714259933292,688,0.02800712380629125
38,holdout,0.024293039911639072,160,0.03521372233117723
39,evaluation,0.06759123901998917,688,0.02800712380629125
39,holdout,0.08122001322938077,160,0.03521372233117723
40,evaluation,0.05776976719157634,688,0.02800712380629125
40,holdout,0.03544158347901377,160,0.03521372233117723
41,evaluation,0.05969469497911255,688,0.02800712380629125
41,holdout,0.007523008483800581,160,0.03521372233117723
42,evaluation,0.07200419729464053,688,0.02800712380629125
42,holdout,0.00771081829322301,160,0.03521372233117723
43,evaluation,0.06672151484924473,688,0.02800712380629125
43,holdout,0.031201682036716652,160,0.03521372233117723
44,evaluation,0.06697233856193287,688,0.02800712380629125
44,holdout,0.011238254340989517,160,0.03521372233117723
45,evaluation,0.07587669188547275,688,0.02800712380629125
45,holdout,0.02644006443440633,160,0.03521372233117723
46,evaluation,0.06854779829851015,688,0.02800712380629125
46,holdout,0.03795621391042793,160,0.03521372233117723
47,evaluation,0.07036296331086496,688,0.02800712380629125
47,holdout,0.034259274773843454,160,0.03521372233117723
48,evaluation,0.05726946073432056,688,0.02800712380629125
48,holdout,0.03308746734106151,160,0.03521372233117723
49,evaluation,0.060714714306716655,684,0.02800712380629125
49,holdout,0.04339623316283292,160,0.03521372233117723
50,evaluation,0.07299400994852888,688,0.02800712380629125
50,holdout,0.03984485380569222,160,0.03521372233117723
51,evaluation,0.07254139076747752,688,0.02800712380629125
51,holdout,0.003325090003052436,160,0.03521372233117723
52,evaluation,0.05852201775012018,688,0.02800712380629125
52,holdout,0.04520236538207997,160,0.03521372233117723
53,evaluation,0.06632676466733345,688,0.02800712380629125
53,holdout,0.006864322099337919,160,0.03521372233117723
54,evaluation,0.06466807514071093,688,0.02800712380629125
54,holdout,0.00477243533193028,160,0.03521372233117723
55,evaluation,0.061735609473346956,688,0.02800712380629125
55,holdout,0.013381224998825311,160,0.03521372233117723
56,evaluation,0.06614389086108984,688,0.02800712380629125
56,holdout,0.0514136419359682,160,0.03521372233117723
57,evaluation,0.06874885962291565,688,0.02800712380629125
57,holdout,0.03826974443295143,160,0.03521372233117723
58,evaluation,0.06179526410133616,688,0.02800712380629125
58,holdout,0.059157791099878426,160,0.03521372233117723
59,evaluation,0.06681828860883934,688,0.02800712380629125
59,holdout,0.057286854666022985,160,0.03521372233117723
60,evaluation,0.05929385338059092,688,0.02800712380629125
60,holdout,0.051789538250681666,160,0.03521372233117723
61,evaluation,0.05099590375164914,688,0.02800712380629125
61,holdout,0.03913459963613129,160,0.03521372233117723
62,evaluation,0.05986013779034699,688,0.02800712380629125
62,holdout,0.00861569315574015,160,0.03521372233117723
63,evaluation,0.07389237287899869,688,0.02800712380629125
63,holdout,0.019958951674404632,160,0.03521372233117723
64,evaluation,0.06194526233004222,688,0.02800712380629125
64,holdout,0.026294249051719842,160,0.03521372233117723
65,evaluation,0.06479832414273799,688,0.02800712380629125
65,holdout,0.02294736185911861,160,0.03521372233117723
66,evaluation,0.06203116375624885,688,0.02800712380629125
66,holdout,0.00974058300959188,160,0.03521372233117723
67,evaluation,0.06172032240729437,688,0.02800712380629125
67,holdout,0.01950614154539608,156,0.03521372233117723
68,evaluation,0.07252140763293813,688,0.02800712380629125
68,holdout,0.02937359551855935,160,0.03521372233117723
69,evaluation,0.06818535924093932,688,0.02800712380629125
69,holdout,0.035545540556165905,160,0.03521372233117723
70,evaluation,0.05344652461714498,688,0.02800712380629125
70,holdout,0.05099647677984703,160,0.03521372233117723
71,evaluation,0.06101581886398077,688,0.02800712380629125
71,holdout,0.03212398959629824,160,0.03521372233117723
72,evaluation,0.059268648847929296,688,0.02800712380629125
72,holdout,0.06431340380304672,160,0.03521372233117723
73,evaluation,0.06602574876253586,688,0.02800712380629125
73,holdout,0.027645234569123003,160,0.03521372233117723
74,evaluation,0.06960450802272761,688,0.02800712380629125
74,holdout,0.00989477199666862,160,0.03521372233117723
75,evaluation,0.06955141018746958,688,0.02800712380629125
75,holdout,0.026845263442188655,160,0.03521372233117723
76,evaluation,0.05714590370038067,688,0.02800712380629125
76,holdout,0.019657827782699838,160,0.03521372233117723
77,evaluation,0.05785144541057274,688,0.02800712380629125
77,holdout,0.005344850357100764,160,0.03521372233117723
78,evaluation,0.049748506618488675,688,0.02800712380629125
78,holdout,0.013022086528553953,160,0.03521372233117723
79,evaluation,0.06583477563256235,688,0.02800712380629125
79,holdout,0.028687409847458448,160,0.03521372233117723
80,evaluation,0.0639447027035494,688,0.02800712380629125
80,holdout,0.04662229122397342,160,0.03521372233117723
81,evaluation,0.0654336310718483,688,0.02800712380629125
81,holdout,0.031461926341562724,160,0.03521372233117723
82,evaluation,0.06512994152808613,688,0.02800712380629125
82,holdout,0.0075144400544914225,160,0.03521372233117723
83,evaluation,0.06056501893217521,688,0.02800712380629125
83,holdout,0.034367704340407756,160,0.03521372233117723
84,evaluation,0.06797099218511218,688,0.02800712380629125
84,holdout,0.010908617336328238,160,0.03521372233117723
85,evaluation,0.060832084521105514,688,0.02800712380629125
85,holdout,0.014321419768753146,160,0.03521372233117723
86,evaluation,0.06360944645822478,688,0.02800712380629125
86,holdout,0.017877831741345926,160,0.03521372233117723
87,evaluation,0.05563880388163435,688,0.02800712380629125
87,holdout,0.006320646337067831,160,0.03521372233117723
88,evaluation,0.06140325468414627,688,0.02800712380629125
88,holdout,0.03836629375891493,160,0.03521372233117723
89,evaluation,0.05819171503043109,684,0.02800712380629125
89,holdout,0.038356778263720887,160,0.03521372233117723
90,evaluation,0.0655193090729988,688,0.02800712380629125
90,holdout,0.03601511311118291,160,0.03521372233117723
91,evaluation,0.063785336089134,688,0.02800712380629125
91,holdout,0.046599123362444136,160,0.03521372233117723
92,evaluation,0.06301731399832414,688,0.02800712380629125
92,holdout,0.053868156184976285,160,0.03521372233117723
93,evaluation,0.059320961718958794,688,0.02800712380629125
93,holdout,0.03889434712097854,160,0.03521372233117723
94,evaluation,0.07372941597718569,688,0.02800712380629125
94,holdout,0.03210236843487402,160,0.03521372233117723
95,evaluation,0.06342952890735859,688,0.02800712380629125
95,holdout,0.018243153914207527,160,0.03521372233117723
96,evaluation,0.056384445212016895,688,0.02800712380629125
96,holdout,0.07406055465386557,160,0.03521372233117723
97,evaluation,0.056964424314305186,688,0.02800712380629125
97,holdout,0.03199680821663971,160,0.03521372233117723
98,evaluation,0.06034843790288201,688,0.02800712380629125
98,holdout,0.012898954263787205,160,0.03521372233117723
99,evaluation,0.06208923143709732,688,0.02800712380629125
99,holdout,0.047406893039393314,160,0.03521372233117723
100,evaluation,0.056527379056606354,688,0.02800712380629125
100,holdout,0.024158306451956088,160,0.03521372233117723
101,evaluation,0.07300440137402076,688,0.02800712380629125
101,holdout,0.018702199097617986,160,0.03521372233117723
102,evaluation,0.06461243080393259,688,0.02800712380629125
102,holdout,0.025913700586088148,160,0.03521372233117723
103,evaluation,0.07204652813013476,688,0.02800712380629125
103,holdout,0.013950539543247015,160,0.03521372233117723
104,evaluation,0.06352999808403036,688,0.02800712380629125
104,holdout,0.016992468077569975,160,0.03521372233117723
105,evaluation,0.05415119783478701,688,0.02800712380629125
105,holdout,0.02310209537182567,160,0.03521372233117723
106,evaluation,0.06716604768807616,688,0.02800712380629125
106,holdout,0.012914897539128875,160,0.03521372233117723
107,evaluation,0.07147565628234762,688,0.02800712380629125
107,holdout,0.04614272610425402,160,0.03521372233117723
108,evaluation,0.06649902279913394,688,0.02800712380629125
108,holdout,0.05181289476005252,160,0.03521372233117723
109,evaluation,0.07351946633463094,688,0.02800712380629125
109,holdout,0.0208387656445526,160,0.03521372233117723
110,evaluation,0.055350547086599214,688,0.02800712380629125
110,holdout,0.03042163301422042,160,0.03521372233117723
111,evaluation,0.07121822314622572,688,0.02800712380629125
111,holdout,0.03131346418321369,160,0.03521372233117723
112,evaluation,0.07397502984877104,688,0.02800712380629125
112,holdout,0.008466136449887057,160,0.03521372233117723
113,evaluation,0.06102158278259658,688,0.02800712380629125
113,holdout,0.02609351432503175,156,0.03521372233117723
114,evaluation,0.06630816941483908,688,0.02800712380629125
114,holdout,0.05691822455653353,160,0.03521372233117723
115,evaluation,0.0612655735859477,688,0.02800712380629125
115,holdout,0.022358667034981128,160,0.03521372233117723
116,evaluation,0.07600637820647366,688,0.02800712380629125
116,holdout,0.04244049727960027,160,0.03521372233117723
117,evaluation,0.08031306415739094,688,0.02800712380629125
117,holdout,0.025998615685430104,160,0.03521372233117723
118,evaluation,0.07985777018248968,688,0.02800712380629125
118,holdout,0.012481281384637333,160,0.03521372233117723
119,evaluation,0.05414816724934018,684,0.02800712380629125
119,holdout,0.014228417535533916,160,0.03521372233117723
120,evaluation,0.07289846670666428,688,0.02800712380629125
120,holdout,0.030991739106764088,160,0.03521372233117723
121,evaluation,0.06465070628818795,688,0.02800712380629125
121,holdout,0.0359046553593748,160,0.03521372233117723
122,evaluation,0.0673382108131281,688,0.02800712380629125
122,holdout,0.02437059791250505,160,0.03521372233117723
123,evaluation,0.060015404581831966,688,0.02800712380629125
123,holdout,0.01399627971933394,160,0.03521372233117723
124,evaluation,0.06035581330361335,688,0.02800712380629125
124,holdout,0.013385347635523098,160,0.03521372233117723
125,evaluation,0.060021656856894874,688,0.02800712380629125
125,holdout,0.019012720068067118,160,0.03521372233117723
126,evaluation,0.07462393518524564,688,0.02800712380629125
126,holdout,0.04739443500236121,160,0.03521372233117723
127,evaluation,0.0695514584869924,688,0.02800712380629125
127,holdout,0.03981078857399682,160,0.03521372233117723
128,evaluation,0.06436774440865324,688,0.02800712380629125
128,holdout,0.015219519648034169,160,0.03521372233117723
129,evaluation,0.0688082323200219,688,0.02800712380629125
129,holdout,0.022170248915752797,160,0.03521372233117723
130,evaluation,0.06322147295650146,688,0.02800712380629125
130,holdout,0.032354402363016344,160,0.03521372233117723
131,evaluation,0.06799404566942588,688,0.02800712380629125
131,holdout,0.030448556296415782,160,0.03521372233117723
132,evaluation,0.06257134094981379,688,0.02800712380629125
132,holdout,0.018431165021008916,160,0.03521372233117723
133,evaluation,0.06040370885631985,688,0.02800712380629125
133,holdout,0.03438393619202937,160,0.03521372233117723
134,evaluation,0.07288262255401612,688,0.02800712380629125
134,holdout,0.023581581070921023,160,0.03521372233117723
135,evaluation,0.0596109392775176,688,0.02800712380629125
135,holdout,0.0327336257249979,160,0.03521372233117723
136,evaluation,0.07125100523064823,688,0.02800712380629125
136,holdout,0.0205905145635136,160,0.03521372233117723
137,evaluation,0.05520901651109953,688,0.02800712380629125
137,holdout,0.03549441991324796,160,0.03521372233117723
138,evaluation,0.08138145784478598,688,0.02800712380629125
138,holdout,0.01861898240073681,160,0.03521372233117723
139,evaluation,0.06565929912799598,688,0.02800712380629125
139,holdout,0.02904983239232399,160,0.03521372233117723
140,evaluation,0.06238718074465336,688,0.02800712380629125
140,holdout,0.005253512712759464,160,0.03521372233117723
141,evaluation,0.06237419783116106,688,0.02800712380629125
141,holdout,0.009735212541019375,160,0.03521372233117723
142,evaluation,0.06836341931421647,688,0.02800712380629125
142,holdout,0.049410309465625746,160,0.03521372233117723
143,evaluation,0.06578731989979082,688,0.02800712380629125
143,holdout,0.05307712463777364,160,0.03521372233117723
144,evaluation,0.07092358679588,688,0.02800712380629125
144,holdout,0.029186247522862238,160,0.03521372233117723
145,evaluation,0.07069822675821147,688,0.02800712380629125
145,holdout,0.02843781152277089,160,0.03521372233117723
146,evaluation,0.07685898294432941,688,0.02800712380629125
146,holdout,0.0512716747650373,160,0.03521372233117723
147,evaluation,0.06293564495816419,688,0.02800712380629125
147,holdout,0.0024874296628637355,160,0.03521372233117723
148,evaluation,0.06613638001974151,688,0.02800712380629125
148,holdout,0.019059133925466917,160,0.03521372233117723
149,evaluation,0.07763511984894525,688,0.02800712380629125
149,holdout,0.07403865651859626,160,0.03521372233117723
150,evaluation,0.061959309350964414,688,0.02800712380629125
150,holdout,0.059487112616553095,160,0.03521372233117723
151,evaluation,0.07270804463934956,688,0.02800712380629125
151,holdout,0.0438479887963298,160,0.03521372233117723
152,evaluation,0.06377138922570139,688,0.02800712380629125
152,holdout,0.01578975296636946,160,0.03521372233117723
153,evaluation,0.06408478690910699,688,0.02800712380629125
153,holdout,0.04129977528040932,160,0.03521372233117723
154,evaluation,0.061926389675579736,688,0.02800712380629125
154,holdout,0.022576889855723106,160,0.03521372233117723
155,evaluation,0.06683161687820473,688,0.02800712380629125
155,holdout,0.035852882790525564,160,0.03521372233117723
156,evaluation,0.06083914582400042,688,0.02800712380629125
156,holdout,0.05665649230936845,160,0.03521372233117723
157,evaluation,0.07091331244756117,688,0.02800712380629125
157,holdout,0.03299364610854072,160,0.03521372233117723
158,evaluation,0.06928008711845157,688,0.02800712380629125
158,holdout,0.023337438686372516,160,0.03521372233117723
159,evaluation,0.05734140527604053,688,0.02800712380629125
159,holdout,0.06648708360522068,160,0.03521372233117723
160,evaluation,0.07511381879913642,688,0.02800712380629125
160,holdout,0.036956647148386576,160,0.03521372233117723
161,evaluation,0.06513908973639708,688,0.02800712380629125
161,holdout,0.013354176588901909,160,0.03521372233117723
162,evaluation,0.06779009321543183,688,0.02800712380629125
162,holdout,0.04420879357034607,160,0.03521372233117723
163,evaluation,0.07248121510970418,688,0.02800712380629125
163,holdout,0.04446801116007778,160,0.03521372233117723
164,evaluation,0.07082477898693196,688,0.02800712380629125
164,holdout,0.021081246659395328,160,0.03521372233117723
165,evaluation,0.05888304197883413,688,0.02800712380629125
165,holdout,0.009414715706434276,160,0.03521372233117723
166,evaluation,0.05768220329486606,688,0.02800712380629125
166,holdout,0.020191033581848483,160,0.03521372233117723
167,evaluation,0.05925712653568913,688,0.02800712380629125
167,holdout,0.03432464145186742,160,0.03521372233117723
168,evaluation,0.06084325542584472,688,0.02800712380629125
168,holdout,0.040395886906546385,160,0.03521372233117723
169,evaluation,0.07381141415469444,688,0.02800712380629125
169,holdout,0.02847470272689627,160,0.03521372233117723
170,evaluation,0.06282934989616407,688,0.02800712380629125
170,holdout,0.0310203765931107,160,0.03521372233117723
171,evaluation,0.0633621372751553,688,0.02800712380629125
171,holdout,0.04583614709862374,160,0.03521372233117723
172,evaluation,0.07349806168681848,688,0.02800712380629125
172,holdout,0.038207684080627885,160,0.03521372233117723
173,evaluation,0.06216707782115109,688,0.02800712380629125
173,holdout,0.04718981977333489,160,0.03521372233117723
174,evaluation,0.07452388984813549,688,0.02800712380629125
174,holdout,0.029861901022958506,160,0.03521372233117723
175,evaluation,0.06633783545847481,684,0.02800712380629125
175,holdout,0.012262711606278703,160,0.03521372233117723
176,evaluation,0.07850950717412176,688,0.02800712380629125
176,holdout,0.06015499089142268,160,0.03521372233117723
177,evaluation,0.07210371102120658,684,0.02800712380629125
177,holdout,0.033306371436728585,160,0.03521372233117723
178,evaluation,0.05968460462412585,688,0.02800712380629125
178,holdout,0.023842658953678125,160,0.03521372233117723
179,evaluation,0.06346871379548485,688,0.02800712380629125
179,holdout,0.01825517942501778,160,0.03521372233117723
180,evaluation,0.07295459335925253,688,0.02800712380629125
180,holdout,0.02120544373757502,160,0.03521372233117723
181,evaluation,0.07291859983790033,688,0.02800712380629125
181,holdout,0.028330384344414525,160,0.03521372233117723
182,evaluation,0.06109687937624085,688,0.02800712380629125
182,holdout,0.020220460067529825,160,0.03521372233117723
183,evaluation,0.06660294056105351,688,0.02800712380629125
183,holdout,0.02790825916513591,160,0.03521372233117723
184,evaluation,0.06153722444997836,688,0.02800712380629125
184,holdout,0.04417279206566124,160,0.03521372233117723
185,evaluation,0.04885689595334747,688,0.02800712380629125
185,holdout,0.05666843013730623,160,0.03521372233117723
186,evaluation,0.058167037823492494,688,0.02800712380629125
186,holdout,0.02487539584122185,160,0.03521372233117723
187,evaluation,0.06502986439154407,688,0.02800712380629125
187,holdout,0.026113220686375754,160,0.03521372233117723
188,evaluation,0.06596229920099962,688,0.02800712380629125
188,holdout,0.039091182773785205,160,0.03521372233117723
189,evaluation,0.06293178493120984,688,0.02800712380629125
189,holdout,0.03961271467219664,160,0.03521372233117723
190,evaluation,0.07582496134599152,688,0.02800712380629125
190,holdout,0.017817568970689285,160,0.03521372233117723
191,evaluation,0.06526492892308652,688,0.02800712380629125
191,holdout,0.0354410462584166,160,0.03521372233117723
192,evaluation,0.07247545549556535,688,0.02800712380629125
192,holdout,0.014867828608733633,160,0.03521372233117723
193,evaluation,0.07631686732917248,688,0.02800712380629125
193,holdout,0.045638993770686725,160,0.03521372233117723
194,evaluation,0.059584915046289835,688,0.02800712380629125
194,holdout,0.028484751226831417,160,0.03521372233117723
195,evaluation,0.05950684659401575,688,0.02800712380629125
195,holdout,0.03650096871379778,160,0.03521372233117723
196,evaluation,0.06453029561166206,688,0.02800712380629125
196,holdout,0.008658636136960163,160,0.03521372233117723
197,evaluation,0.06005829667915522,688,0.02800712380629125
197,holdout,0.04814279170723165,160,0.03521372233117723
198,evaluation,0.07063316724579553,688,0.02800712380629125
198,holdout,0.05229096935272935,160,0.03521372233117723
199,evaluation,0.0671254132733277,688,0.02800712380629125
199,holdout,0.04936746610912086,160,0.03521372233117723
200,evaluation,0.06428972860093035,688,0.02800712380629125
200,holdout,0.04041969207556846,160,0.03521372233117723
201,evaluation,0.061660200780362155,688,0.02800712380629125
201,holdout,0.06803820700616735,160,0.03521372233117723
202,evaluation,0.05739316684017633,688,0.02800712380629125
202,holdout,0.042286556021420466,160,0.03521372233117723
203,evaluation,0.06704285266322235,688,0.02800712380629125
203,holdout,0.026731062405830314,160,0.03521372233117723
204,evaluation,0.06589582301182371,688,0.02800712380629125
204,holdout,0.02281195973915888,160,0.03521372233117723
205,evaluation,0.06646257177872328,688,0.02800712380629125
205,holdout,0.028469736399101164,160,0.03521372233117723
206,evaluation,0.06992264724023592,688,0.02800712380629125
206,holdout,0.025607349777621954,160,0.03521372233117723
207,evaluation,0.06718407557171163,688,0.02800712380629125
207,holdout,0.03502414964915844,160,0.03521372233117723
208,evaluation,0.060857284851004875,688,0.02800712380629125
208,holdout,0.0457116905345068,160,0.03521372233117723
209,evaluation,0.05950257674934864,684,0.02800712380629125
209,holdout,0.020950709758559075,160,0.03521372233117723
210,evaluation,0.06333471177575807,688,0.02800712380629125
210,holdout,0.03878685858521003,160,0.03521372233117723
211,evaluation,0.05734805705911697,688,0.02800712380629125
211,holdout,0.00981367361709784,160,0.03521372233117723
212,evaluation,0.05797637005269829,688,0.02800712380629125
212,holdout,0.0491813788055407,160,0.03521372233117723
213,evaluation,0.0625083646056113,688,0.02800712380629125
213,holdout,0.02146082949129456,160,0.03521372233117723
214,evaluation,0.053855888562893584,688,0.02800712380629125
214,holdout,0.02422916199428629,160,0.03521372233117723
